date,index,open,high,low,close,pct_change,rv20,range20,gap
2026-06-29,Nifty 50,24061.75,24120.0,23924.55,23946.25,-0.46,,,
2026-06-30,Nifty 50,24032.05,24035.55,23829.2,23865.75,-0.34,,,0.3583024481912611
2026-07-01,Nifty 50,23897.65,24049.9,23895.1,24005.85,0.59,,,0.13366435163362222
2026-07-02,Nifty 50,24062.2,24194.55,24058.8,24175.7,0.71,,,0.23473445014445815
2026-07-03,Nifty 50,24375.65,24378.15,24252.35,24270.85,0.39,,,0.8270701572239858
2026-07-06,Nifty 50,24306.85,24458.65,24287.1,24430.35,0.66,,,0.14832607840269407
2026-07-07,Nifty 50,24464.45,24530.9,24348.95,24398.7,-0.13,,,0.13958048083635433
2026-07-08,Nifty 50,24259.55,24300.0,23805.2,23882.05,-2.12,,,-0.570317271002152
2026-07-09,Nifty 50,23928.95,24134.7,23925.7,23962.8,0.34,,,0.1963818013947849
2026-07-10,Nifty 50,24124.7,24228.45,24120.35,24206.9,1.02,,,0.6756305607024338
2026-07-13,Nifty 50,24039.4,24259.8,24000.2,24211.0,0.02,,,-0.6919514683829786
2026-07-14,Nifty 50,24068.0,24157.1,24023.7,24052.05,-0.66,,,-0.5906406179009505
2026-07-15,Nifty 50,24085.85,24220.35,24010.55,24078.5,0.11,,,0.14052856201445252
2026-07-16,Nifty 50,24142.1,24186.5,24050.0,24072.75,-0.02,,,0.2641360549868077
2026-07-17,Nifty 50,24127.6,24367.3,24099.05,24334.3,1.09,,,0.22785099334308168
2026-07-20,Nifty 50,24190.05,24266.1,24135.85,24238.5,-0.39,,,-0.5927846701980322
2026-07-21,Nifty 50,24216.05,24262.2,24135.65,24187.7,-0.21,,,-0.09262124306372854
2026-07-22,Nifty 50,24150.45,24166.3,23961.4,23996.25,-0.79,,,-0.15400389454144348
2026-07-23,Nifty 50,23904.8,23990.75,23807.2,23869.6,-0.53,,,-0.38110121373131634
2026-07-24,Nifty 50,23666.35,23823.6,23606.3,23767.45,-0.43,,,-0.8515014914368013
2026-07-27,Nifty 50,23928.4,24011.6,23891.55,23995.95,0.96,0.5223374288942092,0.7993725177023692,0.6771866565407736
2026-07-28,Nifty 50,23971.25,24041.15,23954.6,23985.35,-0.04,0.5151978540515181,0.7838435191327104,-0.10293403678537372
2026-07-29,Nifty 50,24176.65,24283.55,24136.75,24250.2,1.1,0.504348759352377,0.758964144083605,0.7975701834661786
2026-07-30,Nifty 50,24249.55,24342.95,24187.1,24317.15,0.28,0.5034663859257821,0.7569358942642682,-0.002680390264830912
2026-07-31,Nifty 50,24361.45,24429.4,24299.7,24383.6,0.27,0.5051818289080034,0.7608623673015625,0.1821759540077572
2026-08-03,Nifty 50,24572.7,24774.3,24515.15,24774.3,1.6,0.5054620415839439,0.761677853368657,0.7755212519890531
2026-08-04,Nifty 50,24703.9,24703.9,24427.95,24614.9,-0.64,0.5162350935895139,0.779120730104653,-0.2841654456432585
2026-08-05,Nifty 50,24669.2,24677.6,24497.95,24624.65,0.04,0.5284496528351298,0.7977856237390153,0.22059809302494848
2026-08-06,Nifty 50,24641.0,24677.05,24604.15,24636.0,0.05,0.4610468506704765,0.7322169675084074,0.06639688279832523
2026-08-07,Nifty 50,24538.9,24630.4,24522.75,24570.65,-0.27,0.44777337386416005,0.703338435769747,-0.3941386588731888
2026-08-10,Nifty 50,24581.25,24620.95,24511.1,24583.8,0.05,0.44761027009920995,0.7028685731316878,0.04314090184833752
2026-08-11,Nifty 50,24575.1,24576.85,24429.25,24471.7,-0.46,0.42788753425077786,0.6712181475477258,-0.03538915871428294
2026-08-12,Nifty 50,24472.45,24473.3,24265.95,24435.95,-0.15,0.42907059149446325,0.6735353980826064,0.003064764605653636
2026-08-13,Nifty 50,24431.6,24431.6,24311.4,24395.85,-0.16,0.42837831040230334,0.6723468201985846,-0.017801640615577874
2026-08-14,Nifty 50,24361.9,24405.2,24296.8,24366.0,-0.12,0.4267530430619814,0.668675992296526,-0.1391630133813604
2026-08-17,Nifty 50,24343.45,24360.1,24226.95,24287.65,-0.32,0.40446735073434514,0.6353339826376121,-0.09254699170975211
2026-08-18,Nifty 50,24223.85,24269.65,24154.9,24154.9,-0.55,0.40470671317637913,0.6357599752757765,-0.26268494481764826
2026-08-19,Nifty 50,24152.05,24172.85,24025.65,24078.3,-0.32,0.4036163808868016,0.6333159455676997,-0.01179884826681965
2026-08-20,Nifty 50,24225.45,24265.15,24184.55,24231.85,0.64,0.39567572737692225,0.6213679794732415,0.6111311845105494
2026-08-21,Nifty 50,24284.05,24284.05,24206.8,24252.0,0.08,0.3846012587722721,0.5996115062822559,0.21541896305894426
2026-08-24,Nifty 50,24285.05,24313.0,24144.3,24219.05,-0.14,0.36688889939823544,0.5696079430611944,0.13627742041892876
2026-08-25,Nifty 50,24175.75,24334.55,24115.45,24334.55,0.48,0.37258554475791517,0.5792559917182444,-0.1787848821485527
