index,date,open,high,low,close,pct_change
Nifty 50,29-06-2026,24061.75,24120,23924.55,23946.25,-.46
Nifty 50,30-06-2026,24032.05,24035.55,23829.2,23865.75,-.34
Nifty 50,01-07-2026,23897.65,24049.9,23895.1,24005.85,.59
Nifty 50,02-07-2026,24062.2,24194.55,24058.8,24175.7,.71
Nifty 50,03-07-2026,24375.65,24378.15,24252.35,24270.85,.39
Nifty 50,06-07-2026,24306.85,24458.65,24287.1,24430.35,.66
Nifty 50,07-07-2026,24464.45,24530.9,24348.95,24398.7,-.13
Nifty 50,08-07-2026,24259.55,24300,23805.2,23882.05,-2.12
Nifty 50,09-07-2026,23928.95,24134.7,23925.7,23962.8,.34
Nifty 50,10-07-2026,24124.7,24228.45,24120.35,24206.9,1.02
Nifty 50,13-07-2026,24039.4,24259.8,24000.2,24211.0,.02
Nifty 50,14-07-2026,24068,24157.1,24023.7,24052.05,-.66
Nifty 50,15-07-2026,24085.85,24220.35,24010.55,24078.5,.11
Nifty 50,16-07-2026,24142.1,24186.5,24050,24072.75,-.02
Nifty 50,17-07-2026,24127.6,24367.3,24099.05,24334.3,1.09
Nifty 50,20-07-2026,24190.05,24266.1,24135.85,24238.5,-.39
Nifty 50,21-07-2026,24216.05,24262.2,24135.65,24187.7,-.21
Nifty 50,22-07-2026,24150.45,24166.3,23961.4,23996.25,-.79
Nifty 50,23-07-2026,23904.8,23990.75,23807.2,23869.6,-.53
Nifty 50,24-07-2026,23666.35,23823.6,23606.3,23767.45,-.43
Nifty 50,27-07-2026,23928.4,24011.6,23891.55,23995.95,.96
Nifty 50,28-07-2026,23971.25,24041.15,23954.6,23985.35,-.04
Nifty 50,29-07-2026,24176.65,24283.55,24136.75,24250.2,1.1
Nifty 50,30-07-2026,24249.55,24342.95,24187.1,24317.15,.28
Nifty 50,31-07-2026,24361.45,24429.4,24299.7,24383.6,.27
Nifty 50,03-08-2026,24572.7,24774.3,24515.15,24774.3,1.6
Nifty 50,04-08-2026,24703.9,24703.9,24427.95,24614.9,-.64
Nifty 50,05-08-2026,24669.2,24677.6,24497.95,24624.65,.04
Nifty 50,06-08-2026,24641,24677.05,24604.15,24636.0,.05
Nifty 50,07-08-2026,24538.9,24630.4,24522.75,24570.65,-.27
Nifty 50,10-08-2026,24581.25,24620.95,24511.1,24583.8,.05
Nifty 50,11-08-2026,24575.1,24576.85,24429.25,24471.7,-.46
Nifty 50,12-08-2026,24472.45,24473.3,24265.95,24435.95,-.15
Nifty 50,13-08-2026,24431.6,24431.6,24311.4,24395.85,-.16
Nifty 50,14-08-2026,24361.9,24405.2,24296.8,24366.0,-.12
Nifty 50,17-08-2026,24343.45,24360.1,24226.95,24287.65,-.32
Nifty 50,18-08-2026,24223.85,24269.65,24154.9,24154.9,-.55
Nifty 50,19-08-2026,24152.05,24172.85,24025.65,24078.3,-.32
Nifty 50,20-08-2026,24225.45,24265.15,24184.55,24231.85,.64
Nifty 50,21-08-2026,24284.05,24284.05,24206.8,24252.0,.08
Nifty 50,24-08-2026,24285.05,24313,24144.3,24219.05,-.14
Nifty 50,25-08-2026,24175.75,24334.55,24115.45,24334.55,.48
India VIX,29-06-2026,13.05,14.07,12.9175,13.61,4.29
India VIX,30-06-2026,13.61,13.9675,13.1525,13.6,-.07
India VIX,01-07-2026,13.6,14.0725,13.15,13.24,-2.63
India VIX,02-07-2026,13.2425,13.2925,12.1925,12.29,-7.21
India VIX,03-07-2026,12.2875,12.2875,11.65,11.8,-3.99
India VIX,06-07-2026,11.7975,12.3575,11.7025,11.82,.17
India VIX,07-07-2026,11.8175,11.935,11.055,11.65,-1.44
India VIX,08-07-2026,11.6475,15.16,11.335,14.68,26.04
India VIX,09-07-2026,14.68,14.68,13.0675,13.36,-8.97
India VIX,10-07-2026,13.3625,13.3625,12.1275,12.25,-8.31
India VIX,13-07-2026,12.2525,13.5225,9.475,13.28,8.39
India VIX,14-07-2026,13.28,13.865,11.6575,13.75,3.54
India VIX,15-07-2026,13.75,13.8725,13.04,13.27,-3.49
India VIX,16-07-2026,13.27,13.27,12.775,12.88,-2.92
India VIX,17-07-2026,12.8825,13.35,12.81,13.15,2.08
India VIX,20-07-2026,13.15,13.8425,12.8925,12.98,-1.29
India VIX,21-07-2026,12.98,13.08,12.0975,12.6,-2.93
India VIX,22-07-2026,12.6,13.425,11.725,13.29,5.5
India VIX,23-07-2026,13.2925,13.74,12.915,13.48,1.37
India VIX,24-07-2026,13.475,14.7675,13.18,14.03,4.12
India VIX,27-07-2026,14.03,14.3325,12.6025,12.66,-9.76
India VIX,28-07-2026,12.66,12.82,11.7225,12.56,-.77
India VIX,29-07-2026,12.5625,12.5625,11.5625,12.01,-4.42
India VIX,30-07-2026,12.0075,12.3175,11.3025,12.16,1.23
India VIX,31-07-2026,12.155,12.21,11.645,11.76,-3.29
India VIX,03-08-2026,11.755,12.06,11.695,11.93,1.45
India VIX,04-08-2026,11.925,12.545,11.4275,12.19,2.22
India VIX,05-08-2026,12.19,12.6725,10.805,12.06,-1.07
India VIX,06-08-2026,12.06,12.4325,10.095,12.16,.81
India VIX,07-08-2026,12.1575,12.5475,11.3,12.16,-.02
India VIX,10-08-2026,12.155,12.915,10.815,12.25,.74
India VIX,11-08-2026,12.245,12.455,11.1925,11.86,-3.18
India VIX,12-08-2026,11.855,12.09,11.2575,11.69,-1.39
India VIX,13-08-2026,11.69,12.1975,10.6525,11.42,-2.33
India VIX,14-08-2026,11.4175,11.56,10.825,11.31,-.99
India VIX,17-08-2026,11.305,11.775,11.0925,11.33,.18
India VIX,18-08-2026,11.325,11.785,10.14,11.39,.55
India VIX,19-08-2026,11.3875,11.725,10.06,11.32,-.57
India VIX,20-08-2026,11.3225,11.3225,9.3325,10.76,-5.01
India VIX,21-08-2026,10.755,11.35,9.57,11.2,4.09
India VIX,24-08-2026,11.195,11.76,10.3225,11.53,2.95
India VIX,25-08-2026,11.525,11.615,9.45,11.08,-3.9
