option,entry_time,premium,pay_1_lot_rs,settle_intrinsic,receive_1_lot_rs,ret_pct
77100 PE,2:00pm,41.05,821.0,166.41,3328.0,305.0
77100 PE,2:15pm,40.6,812.0,166.41,3328.0,310.0
77100 PE,14:55 bar,19.35,387.0,166.41,3328.0,760.0
77100 PE,15:15 freeze,29.65,593.0,166.41,3328.0,461.0
77000 PE,14:55 bar,9.75,195.0,66.41,1328.0,581.0
77000 PE,15:15 freeze,15.65,313.0,66.41,1328.0,324.0
77200 CE,2:00pm,114.25,2285.0,0.0,0.0,-100.0
77200 CE,2:15pm,110.15,2203.0,0.0,0.0,-100.0
77200 CE,14:55 bar,133.55,2671.0,0.0,0.0,-100.0
77200 CE,15:15 freeze,112.7,2254.0,0.0,0.0,-100.0
