index,date,live,mp_13,mp_1430,mp_1505,pain_margin_1505,spot_13,spot_1445,spot_1505,freeze,settle,auction,auction_pct,MIG_late,MIG_early,PINPULL,pin_gap,TREND_day,TREND_20,AUCTION,CE_dOI_pct,PE_dOI_pct,CE_dprem_pct,PE_dprem_pct,PRESS,CHEAP,MIG_persist,V2
NIFTY,2026-08-04,False,24500.0,24500.0,24500.0,0.1,24493.65,24469.2,24452.3,24463.45,24614.9,151.5,0.619,0,0,1,47.7,-1,-1,1,-49.5,-27.0,58.8,-7.5,-1,-1,0,1
SENSEX,2026-08-06,False,78800.0,78800.0,78800.0,0.272,78824.25,78836.47,78794.32,78785.62,78954.76,169.1,0.215,0,0,0,5.7,-1,-1,1,-10.9,-12.6,-28.9,-11.2,0,1,0,0
NIFTY,2026-08-11,False,24450.0,24450.0,24500.0,0.019,24456.7,24453.35,24454.6,24450.25,24471.7,21.5,0.088,1,0,1,45.4,-1,1,1,-25.6,-9.7,-27.9,-48.9,-1,-1,0,1
SENSEX,2026-08-13,False,77900.0,77900.0,77900.0,0.138,77872.34,77831.67,77833.14,77861.48,78079.96,218.5,0.281,0,0,1,66.9,-1,1,1,20.1,-8.5,-39.1,-54.4,1,-1,0,1
NIFTY,2026-08-18,False,24200.0,24200.0,24200.0,0.324,24193.7,24207.1,24197.3,24166.35,24154.9,-11.4,-0.047,0,0,0,2.7,1,-1,-1,-27.7,-21.1,0.6,-59.8,-1,-1,0,0
SENSEX,2026-08-20,False,77500.0,77600.0,77500.0,0.254,77550.55,77556.0,77476.59,77485.29,77537.72,52.4,0.068,0,1,0,23.4,-1,-1,1,-2.4,-5.2,-27.2,11.0,0,1,0,0
BANKNIFTY,2026-08-25,False,57400.0,57400.0,57500.0,0.101,57377.65,57412.35,57429.1,57454.1,57514.2,60.1,0.105,1,0,1,70.9,1,1,1,-6.8,41.1,58.0,-73.9,-1,-1,0,1
FINNIFTY,2026-08-25,False,26150.0,26150.0,26200.0,0.052,26114.2,26165.15,26175.95,26182.45,26246.95,64.5,0.246,1,0,0,24.0,1,1,1,-4.0,26.5,116.8,-76.5,-1,-1,0,1
MIDCPNIFTY,2026-08-25,False,14875.0,14900.0,14950.0,0.147,14880.85,14941.2,14965.45,14958.1,15000.9,42.8,0.286,1,1,-1,-15.5,1,1,1,18.3,78.7,250.4,-81.1,-1,-1,1,1
NIFTY,2026-08-25,False,24150.0,24200.0,24250.0,0.201,24144.2,24224.3,24248.65,24260.05,24334.55,74.5,0.307,1,1,0,1.3,1,1,1,-19.7,24.0,544.2,-88.6,-1,-1,1,1
BANKEX,2026-08-27,False,65300.0,65300.0,65300.0,0.011,65233.13,65156.78,65150.31,65106.05,64313.15,-792.9,-1.218,0,0,1,149.7,-1,-1,-1,23.9,45.2,-35.6,-32.2,-1,0,0,1
SENSEX,2026-08-27,False,77300.0,77300.0,77300.0,0.002,77350.44,77235.67,77208.08,77182.91,76933.59,-249.3,-0.323,0,0,1,91.9,-1,-1,-1,-17.7,2.3,-21.4,-24.3,-1,0,0,1
NIFTY,2026-09-01,True,24100.0,24000.0,24000.0,0.358,24084.15,23970.4,23970.7,23980.55,24055.8,75.2,0.314,-1,-1,0,29.3,-1,1,1,-15.3,23.6,16.9,-36.4,-1,-1,-1,-1
SENSEX,2026-09-03,True,76600.0,76600.0,76500.0,0.178,76644.83,76593.35,76492.95,76554.2,76152.86,-401.3,-0.524,-1,0,0,7.1,-1,-1,-1,38.8,13.5,-6.3,8.4,1,1,0,-1
SENSEX,2026-09-10,True,74800.0,74800.0,74700.0,0.254,74787.75,74745.71,74629.57,74629.5,74902.59,273.1,0.366,-1,0,1,70.4,-1,-1,1,9.3,-35.8,-41.7,70.3,1,1,0,-1
