name,date,spot_1505,ce_k,pe_k,ce_p,pe_p,entry,prem_pct,need_pct,settle,settle_val,auction_pct,rule,v_1510,v_1515,v_1520,v_1525,v_1530,v_1535,best_close_val,best_close_time,best_high_val,v_1510_x,v_1515_x,v_1520_x,v_1525_x,v_1530_x,v_1535_x,settle_val_x,best_close_val_x,best_high_val_x,lots,pnl_v_1515,pnl_v_1520,pnl_v_1525,pnl_settle_val,pnl_best_close_val
NIFTY,2026-08-04,24452.3,24500.0,24450.0,38.0,34.55,72.55,0.297,0.306,24614.9,114.9,0.619,SKIP-EXP,81.9,66.75,63.5,113.4,115.1,114.8,115.1,15:30,228.95,1.129,0.92,0.875,1.563,1.586,1.582,1.584,1.586,3.156,4,-1508,-2353,10621.0,11011,11063
SENSEX,2026-08-06,78794.32,78800.0,78700.0,228.55,175.4,403.95,0.513,0.52,78954.76,154.76,0.215,SKIP-EXP,464.6,446.0,506.0,156.9,154.9,154.55,506.0,15:20,694.7,1.15,1.104,1.253,0.388,0.383,0.383,0.383,1.253,1.72,2,1682,4082,-9882.0,-9968,4082
NIFTY,2026-08-11,24454.6,24500.0,24450.0,15.5,15.7,31.2,0.128,0.146,24471.7,0.0,0.088,BUY,31.8,16.5,6.85,0.3,0.1,0.1,16.5,15:15,38.1,1.019,0.529,0.22,0.01,0.003,0.003,0.0,0.529,1.221,9,-8599,-14245,-18076.0,-18252,-8599
SENSEX,2026-08-13,77833.14,77900.0,77800.0,52.65,20.2,72.85,0.094,0.136,78079.96,179.96,0.281,BUY,84.3,60.6,20.95,179.4,180.0,179.8,180.0,15:30,314.4,1.157,0.832,0.288,2.463,2.471,2.468,2.47,2.471,4.316,13,-3185,-13494,27703.0,27849,27859
NIFTY,2026-08-18,24197.3,24200.0,24150.0,28.05,2.8,30.85,0.127,0.139,24154.9,0.0,-0.047,BUY,25.4,31.2,14.1,0.35,0.1,0.1,31.2,15:15,45.1,0.823,1.011,0.457,0.011,0.003,0.003,0.0,1.011,1.462,9,205,-9799,-17842.0,-18047,205
SENSEX,2026-08-20,77476.59,77500.0,77400.0,74.2,26.0,100.2,0.129,0.16,77537.72,37.72,0.068,BUY,103.5,90.65,60.8,38.3,37.75,37.65,90.65,15:15,126.4,1.033,0.905,0.607,0.382,0.377,0.376,0.376,0.905,1.261,9,-1719,-7092,-11142.0,-11246,-1719
BANKNIFTY,2026-08-25,57429.1,57500.0,57400.0,48.95,30.55,79.5,0.138,0.189,57514.2,14.2,0.105,BUY,78.6,70.55,62.65,14.35,14.2,14.25,70.55,15:15,182.9,0.989,0.887,0.788,0.181,0.179,0.179,0.179,0.887,2.301,8,-2148,-4044,-15636.0,-15672,-2148
FINNIFTY,2026-08-25,26175.95,26200.0,26150.0,24.2,15.05,39.25,0.15,0.242,26246.95,46.95,0.246,BUY,40.5,37.85,38.3,46.8,46.85,47.55,47.55,15:35,,1.032,0.964,0.976,1.192,1.194,1.211,1.196,1.211,,8,-672,-456,3624.0,3696,3984
MIDCPNIFTY,2026-08-25,14965.45,14975.0,14950.0,15.7,7.0,22.7,0.152,0.215,15000.9,25.9,0.286,BUY,24.4,19.7,16.0,26.4,26.1,26.25,26.4,15:25,,1.075,0.868,0.705,1.163,1.15,1.156,1.141,1.163,,7,-2520,-5628,3108.0,2688,3108
NIFTY,2026-08-25,24248.65,24250.0,24200.0,26.5,4.95,31.45,0.13,0.135,24334.55,84.55,0.307,BUY,31.45,31.2,72.2,84.65,84.65,84.45,84.65,15:25,182.05,1.0,0.992,2.296,2.692,2.692,2.685,2.688,2.692,5.789,9,-146,23839,31122.0,31064,31122
BANKEX,2026-08-27,65150.31,65200.0,65100.0,60.5,52.85,113.35,0.174,0.25,64313.15,786.85,-1.218,BUY,124.3,108.75,845.6,,,,845.6,15:20,,1.097,0.959,7.46,,,,6.942,7.46,,5,-690,109838,,101025,109838
SENSEX,2026-08-27,77208.08,77300.0,77200.0,50.3,60.95,111.25,0.144,0.155,76933.59,266.41,-0.323,BUY,121.45,111.65,211.1,,,,211.1,15:20,,1.092,1.004,1.898,,,,2.395,1.898,,8,64,15976,,24826,15976
NIFTY,2026-09-01,23970.7,24000.0,23950.0,24.35,20.0,44.35,0.185,0.271,24055.8,55.8,0.314,BUY,51.75,48.7,76.55,55.8,55.7,55.7,76.55,15:20,,1.167,1.098,1.726,1.258,1.256,1.256,1.258,1.726,,6,1697,12558,4465.0,4465,12558
SENSEX,2026-09-10,74629.57,74700.0,74600.0,83.2,152.8,236.0,0.316,0.356,74902.59,202.59,0.366,SKIP-EXP,252.85,247.6,291.7,202.8,202.3,202.85,291.7,15:20,,1.071,1.049,1.236,0.859,0.857,0.86,0.858,1.236,,4,928,4456,-2656.0,-2673,4456
