name,date,spot_1505,ce_k,pe_k,ce_p,pe_p,entry,prem_pct,need_pct,settle,settle_val,auction_pct,rule,v_1510,v_1515,v_1520,v_1525,v_1530,v_1535,best_close_val,best_close_time,best_high_val,v_1510_x,v_1515_x,v_1520_x,v_1525_x,v_1530_x,v_1535_x,settle_val_x,best_close_val_x,best_high_val_x
ADANIENT,2026-08-25,3107.2,3150.0,3100.0,1.5,2.1,3.6,0.116,0.348,3110.0,0.0,0.511,BUY,11.05,11.05,0.15,0.1,0.1,0.55,11.05,15:15,11.05,3.069,3.069,0.042,0.028,0.028,0.153,0.0,3.069,3.069
ADANIPORTS,2026-08-25,1698.9,1700.0,1680.0,2.0,0.05,2.05,0.121,0.185,1702.7,2.7,0.442,BUY,0.15,0.3,0.1,0.1,1.45,1.45,1.45,15:30,2.7,0.073,0.146,0.049,0.049,0.707,0.707,1.317,0.707,1.317
APOLLOHOSP,2026-08-25,8838.0,8900.0,8800.0,0.05,0.05,0.1,0.001,0.431,8889.0,0.0,0.554,SKIP-GEO,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15:15,51.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,510.0
AXISBANK,2026-08-25,1234.4,1240.0,1220.0,2.0,0.4,2.4,0.194,0.648,1235.0,0.0,0.016,SKIP-GEO,3.5,3.85,2.45,0.3,0.15,0.1,3.85,15:15,4.0,1.458,1.604,1.021,0.125,0.062,0.042,0.0,1.604,1.667
BAJFINANCE,2026-08-25,1084.6,1090.0,1080.0,3.9,2.5,6.4,0.59,1.014,1087.4,0.0,0.499,SKIP-EXP,7.0,3.5,2.6,0.65,0.1,0.1,3.5,15:15,10.0,1.094,0.547,0.406,0.102,0.016,0.016,0.0,0.547,1.562
BEL,2026-08-25,411.7,415.0,410.0,0.05,0.05,0.1,0.024,0.437,413.25,0.0,0.499,SKIP-GEO,0.1,0.1,0.1,0.1,0.1,1.0,1.0,15:35,1.55,1.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,15.5
BHARATFORG,2026-08-25,2043.0,2060.0,2040.0,0.15,0.5,0.65,0.032,0.179,2052.5,0.0,0.692,BUY,6.5,6.5,6.5,6.5,0.2,0.2,6.5,15:15,7.0,10.0,10.0,10.0,10.0,0.308,0.308,0.0,10.0,10.769
BHARTIARTL,2026-08-25,1938.8,1940.0,1920.0,0.05,0.05,0.1,0.005,0.067,1947.0,7.0,0.165,BUY,0.1,0.1,0.1,0.55,0.1,0.55,0.55,15:25,1.05,1.0,1.0,1.0,5.5,1.0,5.5,70.0,5.5,10.5
BOSCHLTD,2026-08-25,48350.0,48500.0,48000.0,139.95,5.0,144.95,0.3,0.61,48680.0,180.0,0.579,SKIP-EXP,157.7,92.8,101.0,112.05,162.0,106.9,162.0,15:30,171.75,1.088,0.64,0.697,0.773,1.118,0.737,1.242,1.118,1.185
BSE,2026-08-25,3298.9,3300.0,3200.0,5.0,0.7,5.7,0.173,0.206,3303.0,3.0,0.24,BUY,4.9,6.05,12.2,12.1,16.05,39.05,39.05,15:35,39.05,0.86,1.061,2.14,2.123,2.816,6.851,0.526,6.851,6.851
CGPOWER,2026-08-25,879.8,880.0,860.0,0.05,0.05,0.1,0.011,0.034,878.5,0.0,-0.329,BUY,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15:15,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
COALINDIA,2026-08-25,402.1,405.0,400.0,0.2,0.75,0.95,0.236,0.759,404.0,0.0,0.323,SKIP-GEO,1.3,0.65,0.4,0.1,0.1,0.15,0.65,15:15,1.3,1.368,0.684,0.421,0.105,0.105,0.158,0.0,0.684,1.368
