,0
dist_edge_atr,-0.17035472629973888
pos_edge,-0.1642477247450671
abs_ret30,-0.10717745760301921
rv20_rank,-0.07048792812310342
bb_bw_pct,-0.06732595075803925
is_expiry,-0.06131422475638211
tod,-0.037703753033726896
or_break,0.009435081924833652
abs_ema_spread_atr,0.02884572265464867
abs_ret15,0.043410208471994054
breakout,0.04396747225496264
gap_abs,0.048876459323202184
bar_range_atr,0.06629642378829027
range_sofar_rel,0.07785286432849073
or30_rel,0.08869798846349569
tod_x_expiry,0.10488987408400366
log_var_spent,0.2593435129238794
tod2,0.6241527557709576
