index,date,auction,strangle_win,CE_state,CE_doi_pct,CE_leg_won,PE_state,PE_doi_pct,PE_leg_won,chain_CE_doi_pct,chain_PE_doi_pct
NIFTY,2026-08-04,162.6,True,SHORT-COVER,-49.6,True,LONG-UNWIND,-14.4,False,-33.9,-24.9
SENSEX,2026-08-06,160.4,False,LONG-UNWIND,-16.1,True,LONG-UNWIND,-15.9,False,-9.3,-9.9
NIFTY,2026-08-11,17.1,False,LONG-UNWIND,-28.2,False,SHORT-BUILDUP,1.3,False,-24.3,-11.7
SENSEX,2026-08-13,246.8,True,SHORT-BUILDUP,43.7,True,LONG-UNWIND,-14.7,False,5.4,-20.1
NIFTY,2026-08-18,-42.4,False,SHORT-COVER,-36.4,False,LONG-UNWIND,-13.7,False,-23.9,-9.8
SENSEX,2026-08-20,61.1,False,LONG-UNWIND,-3.0,True,SHORT-COVER,-6.1,False,-2.7,-13.6
BANKNIFTY,2026-08-25,85.1,False,SHORT-COVER,-11.0,True,SHORT-BUILDUP,78.2,False,-18.2,3.9
FINNIFTY,2026-08-25,71.0,True,SHORT-COVER,-24.6,True,SHORT-BUILDUP,85.1,False,-11.2,-3.0
MIDCPNIFTY,2026-08-25,35.4,True,LONG-BUILDUP,57.9,True,SHORT-BUILDUP,208.1,False,-1.2,-0.2
NIFTY,2026-08-25,85.9,True,SHORT-COVER,-32.0,True,SHORT-BUILDUP,123.9,False,-34.6,12.3
BANKEX,2026-08-27,-837.2,True,SHORT-BUILDUP,23.6,False,SHORT-BUILDUP,85.3,True,11.5,17.8
SENSEX,2026-08-27,-274.5,True,LONG-UNWIND,-16.5,False,LONG-UNWIND,-0.2,True,-11.8,-4.0
