hold,into_expiry,gap_pct,cost,value_open,ret_pct,pnl_1lot
2026-08-03->2026-08-04,True,-0.7,181.1,143.0,-21.0,-2476
2026-08-05->2026-08-06,False,0.01,245.9,241.39999999999998,-2.0,-293
2026-08-06->2026-08-07,False,-0.18,227.45000000000002,238.1,5.0,692
2026-08-07->2026-08-10,False,0.13,189.95,171.15,-10.0,-1222
2026-08-10->2026-08-11,True,-0.32,125.55,127.15,1.0,104
2026-08-12->2026-08-13,False,-0.38,219.9,206.14999999999998,-6.0,-894
2026-08-13->2026-08-14,False,-0.3,184.15,166.65,-10.0,-1137
2026-08-14->2026-08-17,False,-0.25,146.95,117.65,-20.0,-1904
2026-08-17->2026-08-18,True,-0.2,110.4,64.8,-41.0,-2964
2026-08-19->2026-08-20,False,0.47,210.85,227.75,8.0,1099
2026-08-20->2026-08-21,False,0.02,174.15,159.35,-8.0,-962
2026-08-21->2026-08-24,False,0.21,134.05,108.19999999999999,-19.0,-1680
2026-08-24->2026-08-25,True,-0.14,95.35,67.15,-30.0,-1833
