hold,into_expiry,gap_pct,cost,value_open,ret_pct,pnl_1lot
2026-08-03->2026-08-04,False,0.14,598.0,604.15,1.0,123
2026-08-04->2026-08-05,False,0.57,572.1,550.0,-4.0,-442
2026-08-05->2026-08-06,True,0.17,501.29999999999995,545.45,9.0,883
2026-08-07->2026-08-10,False,0.16,910.5,964.35,6.0,1077
2026-08-10->2026-08-11,False,-0.39,759.5,485.45,-36.0,-5481
2026-08-11->2026-08-12,False,-0.29,569.15,481.2,-15.0,-1759
2026-08-12->2026-08-13,True,-0.2,369.70000000000005,310.6,-16.0,-1182
2026-08-14->2026-08-17,False,-0.37,743.1,440.0,-41.0,-6062
2026-08-17->2026-08-18,False,-0.32,615.45,565.15,-8.0,-1006
2026-08-18->2026-08-19,False,-0.13,500.9,416.9,-17.0,-1680
2026-08-19->2026-08-20,True,0.64,328.85,398.6399999999994,21.0,1396
2026-08-21->2026-08-24,False,0.26,697.5999999999999,653.6500000000001,-6.0,-879
2026-08-24->2026-08-25,False,-0.06,614.85,538.75,-12.0,-1522
2026-08-25->2026-08-26,False,0.22,467.25,480.7,3.0,269
2026-08-26->2026-08-27,True,0.05,345.95000000000005,220.9,-36.0,-2501
