entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
14:50,OTM1,,,,12,7,58,77147,-1105,-19610
14:50,OTM1,,,0.1,12,7,58,77147,-1105,-19610
14:50,OTM1,,,0.2,12,7,58,77147,-1105,-19610
14:50,OTM1,,,0.3,10,5,50,34306,-43946,-19610
14:50,OTM1,,0.3,,10,6,60,80704,2452,-19610
14:50,OTM1,,0.3,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,,0.3,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,,0.3,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,,0.35,,10,6,60,80704,2452,-19610
14:50,OTM1,,0.35,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,,0.35,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,,0.35,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,,0.4,,11,7,64,91871,13619,-19610
14:50,OTM1,,0.4,0.1,11,7,64,91871,13619,-19610
14:50,OTM1,,0.4,0.2,11,7,64,91871,13619,-19610
14:50,OTM1,,0.4,0.3,9,5,56,49030,-29222,-19610
14:50,OTM1,0.2,,,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,,0.1,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,,0.2,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,,0.3,7,3,43,-40389,-40389,-19610
14:50,OTM1,0.2,0.3,,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.3,0.1,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.3,0.2,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.3,0.3,7,3,43,-40389,-40389,-19610
14:50,OTM1,0.2,0.35,,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.35,0.1,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.35,0.2,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.35,0.3,7,3,43,-40389,-40389,-19610
14:50,OTM1,0.2,0.4,,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.4,0.1,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.4,0.2,9,5,56,2452,2452,-19610
14:50,OTM1,0.2,0.4,0.3,7,3,43,-40389,-40389,-19610
14:50,OTM1,0.25,,,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.25,0.3,,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.3,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.3,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.3,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.25,0.35,,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.35,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.35,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.35,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.25,0.4,,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.4,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.4,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.25,0.4,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.3,,,11,7,64,91871,13619,-19610
14:50,OTM1,0.3,,0.1,11,7,64,91871,13619,-19610
14:50,OTM1,0.3,,0.2,11,7,64,91871,13619,-19610
14:50,OTM1,0.3,,0.3,9,5,56,49030,-29222,-19610
14:50,OTM1,0.3,0.3,,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.3,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.3,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.3,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.3,0.35,,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.35,0.1,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.35,0.2,10,6,60,80704,2452,-19610
14:50,OTM1,0.3,0.35,0.3,8,4,50,37863,-40389,-19610
14:50,OTM1,0.3,0.4,,11,7,64,91871,13619,-19610
14:50,OTM1,0.3,0.4,0.1,11,7,64,91871,13619,-19610
14:50,OTM1,0.3,0.4,0.2,11,7,64,91871,13619,-19610
