dist_cap,delta_floor,iv_cap,n,wins,win_rate,mean_ret,median_ret,sum_ret_per_1unit
,,,57,11,19,2900,-100,165328
,,30.0,11,7,64,14682,8900,161500
,,50.0,23,8,35,6975,-100,160435
,0.05,,30,7,23,1394,-100,41828
,0.05,30.0,7,4,57,6243,1900,43700
,0.05,50.0,10,5,50,4353,-32,43535
,0.1,,19,4,21,28,-100,528
,0.2,,15,4,27,62,-100,928
,0.3,,9,4,44,170,-40,1528
0.3,,,13,8,62,5585,35,72600
0.3,,30.0,8,6,75,9100,9400,72800
0.3,,50.0,9,7,78,8093,8900,72835
0.3,0.05,,11,6,55,3964,5,43600
0.3,0.05,30.0,6,4,67,7300,5400,43800
0.3,0.05,50.0,7,5,71,6262,1900,43835
0.3,0.1,,7,3,43,229,-40,1600
0.3,0.2,,7,3,43,229,-40,1600
0.3,0.3,,5,3,60,360,5,1800
0.5,,,22,9,41,3265,-100,71828
0.5,,30.0,9,6,67,8078,8900,72700
0.5,,50.0,12,7,58,6045,968,72535
0.5,0.05,,19,7,37,2259,-100,42928
0.5,0.05,30.0,6,4,67,7300,5400,43800
0.5,0.05,50.0,9,5,56,4848,35,43635
0.5,0.1,,13,4,31,87,-100,1128
0.5,0.2,,13,4,31,87,-100,1128
0.5,0.3,,8,4,50,204,-18,1628
1.0,,,46,11,24,3618,-100,166428
1.0,,30.0,10,7,70,16160,9400,161600
1.0,,50.0,22,8,36,7297,-100,160535
1.0,0.05,,27,7,26,1560,-100,42128
1.0,0.05,30.0,6,4,67,7300,5400,43800
1.0,0.05,50.0,9,5,56,4848,35,43635
1.0,0.1,,17,4,24,43,-100,728
1.0,0.2,,14,4,29,73,-100,1028
1.0,0.3,,8,4,50,204,-18,1628
