index,date,lot,auction_pts,ce,pe,pay_rs,recv_rs,net_rs,ret_pct
NIFTY,2026-08-04,65,151.5,24500CE @38.00,24450PE @34.55,4716,7468,2753,58
SENSEX,2026-08-06,20,169.1,78800CE @228.55,78700PE @175.40,8079,3095,-4984,-62
NIFTY,2026-08-11,65,21.5,24500CE @15.50,24450PE @15.70,2028,0,-2028,-100
SENSEX,2026-08-13,20,218.5,77900CE @52.65,77800PE @20.20,1457,3599,2142,147
NIFTY,2026-08-18,65,-11.4,24200CE @28.05,24150PE @2.80,2005,0,-2005,-100
SENSEX,2026-08-20,20,52.4,77500CE @74.20,77400PE @26.00,2004,754,-1250,-62
BANKNIFTY,2026-08-25,30,60.1,57500CE @48.95,57400PE @30.55,2385,426,-1959,-82
FINNIFTY,2026-08-25,60,64.5,26200CE @24.20,26150PE @15.05,2355,2817,462,20
MIDCPNIFTY,2026-08-25,120,42.8,14975CE @15.70,14950PE @7.00,2724,3108,384,14
NIFTY,2026-08-25,65,74.5,24250CE @26.50,24200PE @4.95,2044,5496,3452,169
BANKEX,2026-08-27,30,-792.9,65200CE @60.50,65100PE @52.85,3400,23606,20205,594
SENSEX,2026-08-27,20,-249.3,77300CE @50.30,77200PE @60.95,2225,5328,3103,139
