index,date,lot,auction_pts,ce,pe,pay_rs,recv_rs,net_rs,ret_pct,lots,deployed,received,net
NIFTY,2026-08-04,65,151.5,24500CE @38.00,24450PE @34.55,4716,7468,2753,58,4,18864,29872,11008
SENSEX,2026-08-06,20,169.1,78800CE @228.55,78700PE @175.40,8079,3095,-4984,-62,2,16158,6190,-9968
NIFTY,2026-08-11,65,21.5,24500CE @15.50,24450PE @15.70,2028,0,-2028,-100,9,18252,0,-18252
SENSEX,2026-08-13,20,218.5,77900CE @52.65,77800PE @20.20,1457,3599,2142,147,13,18941,46787,27846
NIFTY,2026-08-18,65,-11.4,24200CE @28.05,24150PE @2.80,2005,0,-2005,-100,9,18045,0,-18045
SENSEX,2026-08-20,20,52.4,77500CE @74.20,77400PE @26.00,2004,754,-1250,-62,9,18036,6786,-11250
BANKNIFTY,2026-08-25,30,60.1,57500CE @48.95,57400PE @30.55,2385,426,-1959,-82,8,19080,3408,-15672
FINNIFTY,2026-08-25,60,64.5,26200CE @24.20,26150PE @15.05,2355,2817,462,20,8,18840,22536,3696
MIDCPNIFTY,2026-08-25,120,42.8,14975CE @15.70,14950PE @7.00,2724,3108,384,14,7,19068,21756,2688
NIFTY,2026-08-25,65,74.5,24250CE @26.50,24200PE @4.95,2044,5496,3452,169,9,18396,49464,31068
BANKEX,2026-08-27,30,-792.9,65200CE @60.50,65100PE @52.85,3400,23606,20205,594,5,17000,118030,101030
SENSEX,2026-08-27,20,-249.3,77300CE @50.30,77200PE @60.95,2225,5328,3103,139,8,17800,42624,24824
