index,date,auction,spot,settle,ce_k,pe_k,ce_p,pe_p,comb,prem_pct,need_up,need_dn,need_pct,verdict,lots,deployed,received,net,taken_net,taken_dep
NIFTY,2026-08-04,162.6,24452.3,24614.9,24500.0,24450.0,38.0,34.55,72.55,0.29670010592050644,120.25000000000072,74.84999999999927,0.3061061740613327,SKIP-EXPENSIVE,4,18863,29874,11011,0,0
SENSEX,2026-08-06,160.4,78794.32,78954.76,78800.0,78700.0,228.55,175.4,403.95000000000005,0.5126638569886763,409.62999999999306,498.27000000000703,0.5198724984237354,SKIP-EXPENSIVE,2,16158,6190,-9968,0,0
NIFTY,2026-08-11,17.1,24454.6,24471.7,24500.0,24450.0,15.5,15.7,31.2,0.12758335855012964,76.60000000000146,35.79999999999855,0.14639372551584795,BUY,9,18252,0,-18252,-18252,18252
SENSEX,2026-08-13,246.8,77833.14,78079.96,77900.0,77800.0,52.65,20.2,72.85,0.09359766289783503,139.71000000000058,105.98999999999941,0.13617592711793386,BUY,13,18941,46790,27849,27849,18941
NIFTY,2026-08-18,-42.4,24197.3,24154.9,24200.0,24150.0,28.05,2.8,30.85,0.12749356333144607,33.55000000000073,78.14999999999927,0.13865183305575718,BUY,9,18047,0,-18047,-18047,18047
SENSEX,2026-08-20,61.1,77476.59,77537.72,77500.0,77400.0,74.2,26.0,100.2,0.12932938839977343,123.6100000000035,176.7899999999965,0.15954496706683077,BUY,9,18036,6790,-11246,-11246,18036
BANKNIFTY,2026-08-25,85.1,57429.1,57514.2,57500.0,57400.0,48.95,30.55,79.5,0.1384315616995565,150.40000000000146,108.59999999999854,0.1891027371141086,BUY,8,19080,3408,-15672,-15672,19080
FINNIFTY,2026-08-25,71.0,26175.95,26246.95,26200.0,26150.0,24.2,15.05,39.25,0.14994680231281005,63.29999999999927,65.20000000000073,0.24182503404842717,BUY,8,18840,22536,3696,3696,18840
MIDCPNIFTY,2026-08-25,35.4,14965.45,15000.9,14975.0,14950.0,15.7,7.0,22.7,0.15168270917346288,32.249999999999275,38.15000000000073,0.21549635994907787,BUY,7,19068,21756,2688,2688,19068
NIFTY,2026-08-25,85.9,24248.65,24334.55,24250.0,24200.0,26.5,4.95,31.45,0.12969794194728365,32.79999999999855,80.10000000000146,0.13526526218984786,BUY,9,18398,49462,31063,31063,18398
BANKEX,2026-08-27,-837.2,65150.31,64313.15,65200.0,65100.0,60.5,52.85,113.35,0.17398228803516055,163.04000000000232,163.65999999999767,0.2502520709417996,BUY,5,17002,118027,101025,101025,17002
SENSEX,2026-08-27,-274.5,77208.08,76933.59,77300.0,77200.0,50.3,60.95,111.25,0.1440911365753429,203.16999999999825,119.33000000000175,0.1545563624947049,BUY,8,17800,42626,24826,24826,17800
