set,id,delta,iv,gamma,ret_pct,won
index,NIFTY 2026-08-04 CE,0.37,79.6,0.00258,202,True
index,NIFTY 2026-08-04 PE,0.49,48.5,0.00445,-100,False
index,SENSEX 2026-08-06 CE,0.5,97.3,0.00069,-32,False
index,SENSEX 2026-08-06 PE,0.43,92.5,0.00071,-100,False
index,NIFTY 2026-08-11 CE,0.29,45.2,0.00412,-100,False
index,NIFTY 2026-08-11 PE,0.46,24.4,0.00881,-100,False
index,SENSEX 2026-08-13 CE,0.37,34.8,0.00185,242,True
index,SENSEX 2026-08-13 PE,0.35,14.7,0.00429,-100,False
index,NIFTY 2026-08-18 CE,0.49,40.2,0.00543,-100,False
index,NIFTY 2026-08-18 PE,0.13,23.2,0.00504,-100,False
index,SENSEX 2026-08-20 CE,0.46,36.5,0.00186,-49,False
index,SENSEX 2026-08-20 PE,0.29,24.1,0.00244,-100,False
index,BANKNIFTY 2026-08-25 CE,0.36,45.8,0.00189,-71,False
index,BANKNIFTY 2026-08-25 PE,0.39,25.3,0.00351,-100,False
index,NIFTY 2026-08-25 CE,0.49,37.1,0.00587,219,True
index,NIFTY 2026-08-25 PE,0.18,28.6,0.00494,-100,False
stock,HDFCBANK CE,0.03,69.1,0.01981,-100,False
stock,KEI CE,0.01,53.0,0.00087,-100,False
stock,BHARATFORG CE,0.04,62.1,0.00879,-100,False
stock,PAYTM CE,0.24,152.5,0.0159,-100,False
stock,NTPC CE,0.27,105.6,0.12299,-100,False
stock,KAYNES CE,0.02,36.0,0.0054,-100,False
stock,MARUTI CE,0.23,79.8,0.0037,-100,False
stock,MCX CE,0.01,41.9,0.00337,-100,False
stock,GRASIM CE,0.04,11.7,0.03098,19100,True
stock,KALYANKJIL CE,0.07,33.8,0.08719,-100,False
stock,NESTLEIND CE,0.1,17.9,0.09119,8900,True
stock,MANAPPURAM CE,0.09,89.8,0.06385,-100,False
stock,BEL CE,0.06,66.6,0.05491,-100,False
stock,TVSMOTOR CE,0.01,55.0,0.00122,-100,False
stock,LICI CE,0.06,55.5,0.07125,-100,False
stock,COALINDIA CE,0.14,89.2,0.08368,-100,False
stock,TITAN CE,0.01,43.5,0.00143,-100,False
stock,NATIONALUM CE,0.04,96.5,0.03149,-100,False
stock,SWIGGY CE,0.11,90.0,0.09408,-100,False
stock,DIXON CE,0.06,115.5,0.0009,-100,False
stock,HCLTECH CE,0.48,152.9,0.02634,5,True
stock,BSE CE,0.47,55.5,0.02873,-40,False
stock,HINDALCO CE,0.06,103.3,0.01407,-100,False
stock,APOLLOHOSP CE,0.01,37.0,0.00071,-100,False
stock,LT CE,0.01,49.6,0.00167,-100,False
stock,NYKAA CE,0.09,46.2,0.14205,-100,False
stock,POWERINDIA CE,0.09,73.6,0.00087,-100,False
stock,GVT&D CE,0.32,136.0,0.00836,-100,False
stock,IDEA CE,0.0,0.0,0.0,-100,False
stock,TECHM CE,0.06,46.3,0.02195,-100,False
stock,BOSCHLTD CE,0.39,141.3,0.00074,29,True
stock,DIVISLAB CE,0.01,27.9,0.00122,88900,True
stock,BAJFINANCE CE,0.37,190.1,0.02419,-100,False
stock,TATASTEEL CE,0.07,24.0,0.39139,19300,True
stock,CUMMINSIND CE,0.01,79.2,0.00047,-100,False
stock,ADANIENT CE,0.1,139.3,0.00528,-100,False
stock,RELIANCE CE,0.03,37.4,0.02032,-100,False
stock,HINDZINC CE,0.17,175.5,0.03201,-100,False
stock,SAIL CE,0.42,116.9,0.23985,-100,False
stock,ETERNAL CE,0.39,7.2,2.14138,1900,True
stock,HEROMOTOCO CE,0.02,84.4,0.0013,-100,False
stock,AXISBANK CE,0.3,113.2,0.03293,-100,False
stock,SBIN CE,0.17,85.1,0.03741,-100,False
stock,BHARTIARTL CE,0.11,6.6,0.19053,13900,True
stock,SHRIRAMFIN CE,0.11,21.1,0.10563,-100,False
stock,JIOFIN CE,0.2,147.3,0.10362,-100,False
stock,ICICIBANK CE,0.03,42.8,0.01408,-100,False
stock,M&M CE,0.02,24.7,0.00783,-100,False
stock,CGPOWER CE,0.26,4.7,1.04456,-100,False
stock,INFY CE,0.03,58.3,0.01226,7900,True
stock,TCS CE,0.02,37.4,0.00777,-100,False
stock,MAZDOCK CE,0.05,23.7,0.0226,9900,True
stock,HAL CE,0.26,51.0,0.01733,-100,False
stock,MUTHOOTFIN CE,0.01,61.6,0.00176,-100,False
stock,ITC CE,0.08,71.4,0.09823,-100,False
stock,KOTAKBANK CE,0.04,91.4,0.03376,-100,False
stock,ADANIPORTS CE,0.43,49.0,0.06255,35,True
