score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,527,89.12,14.23,6.26,1.33,0.0,1.22,-3.09,-25.49,31.5,23.91,-6.7,-3.06
<0.2,2,527,55.79,16.7,8.54,3.8,0.76,1.25,-2.26,-35.69,27.7,35.1,-9.47,-4.94
<0.2,3,527,32.73,19.92,10.63,5.31,1.71,1.28,1.38,-46.57,25.05,47.44,-15.63,-9.75
0.2-0.3,1,161,70.96,25.47,12.42,2.48,0.0,1.43,8.77,-22.67,37.89,33.54,5.07,8.63
0.2-0.3,2,161,40.05,28.57,17.39,5.59,0.62,1.46,12.25,-35.91,34.78,44.72,2.22,10.41
0.2-0.3,3,161,21.27,32.92,21.74,10.56,3.11,1.47,16.45,-50.0,27.95,50.93,-3.47,13.88
0.3-0.4,1,109,45.15,38.53,18.35,3.67,0.0,1.71,-4.45,-52.54,32.11,53.21,-0.88,-6.04
0.3-0.4,2,109,19.4,43.12,23.85,9.17,0.0,1.87,-11.66,-65.41,29.36,62.39,-2.02,-6.96
0.3-0.4,3,109,7.08,44.95,27.52,11.01,0.0,1.49,-23.11,-50.0,22.02,70.64,2.97,-5.55
0.4-0.5,1,69,31.65,40.58,33.33,18.84,5.8,1.73,23.76,-69.91,26.09,63.77,15.45,22.12
0.4-0.5,2,69,10.61,39.13,31.88,17.39,8.7,1.4,36.41,-52.01,14.49,79.71,6.6,4.22
0.4-0.5,3,69,3.0,30.43,23.19,18.84,7.25,1.0,-34.02,-50.0,8.7,88.41,-7.74,13.92
>=0.5,1,85,12.78,54.12,43.53,31.76,18.82,2.4,237.79,-50.0,40.0,57.65,30.97,71.02
>=0.5,2,85,3.0,34.12,29.41,20.0,12.94,1.13,255.76,-50.0,17.65,78.82,-3.9,12.07
>=0.5,3,85,3.0,18.82,16.47,12.94,7.06,1.0,178.76,-50.0,10.59,87.06,-23.66,-7.2
