score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,527,94.73,13.09,5.88,1.14,0.0,1.22,0.07,-21.77,33.59,18.22,-3.05,0.33
<0.2,2,527,61.32,16.51,7.78,3.23,0.76,1.25,1.99,-29.96,31.5,26.57,-5.53,-0.06
<0.2,3,527,37.68,19.92,10.06,5.12,1.14,1.29,5.96,-37.54,27.89,38.33,-9.4,-3.16
0.2-0.3,1,161,82.14,23.6,10.56,0.62,0.0,1.41,11.94,-15.89,40.99,26.09,9.84,11.93
0.2-0.3,2,161,49.86,28.57,15.53,4.97,0.0,1.49,16.61,-22.15,37.89,32.92,9.23,18.03
0.2-0.3,3,161,28.4,31.06,21.12,9.94,1.24,1.6,22.92,-34.03,34.16,42.24,5.63,22.0
0.3-0.4,1,109,61.93,32.11,12.84,0.0,0.0,1.59,6.94,-24.77,40.37,29.36,8.3,6.94
0.3-0.4,2,109,32.79,38.53,18.35,5.5,0.0,1.65,8.31,-33.43,33.94,41.28,5.36,6.61
0.3-0.4,3,109,14.58,44.95,22.94,8.26,0.0,1.71,0.7,-50.0,30.28,51.38,4.55,3.99
0.4-0.5,1,65,55.39,38.46,21.54,4.62,0.0,1.49,24.91,-20.96,38.46,38.46,14.18,26.57
0.4-0.5,2,65,27.2,41.54,32.31,13.85,0.0,1.53,38.66,-35.79,35.38,44.62,20.88,31.69
0.4-0.5,3,65,11.72,40.0,29.23,16.92,3.08,1.56,35.42,-50.0,29.23,50.77,6.59,13.03
>=0.5,1,59,40.07,49.15,28.81,13.56,1.69,1.9,133.06,54.52,69.49,16.95,64.82,102.26
>=0.5,2,59,17.26,50.85,35.59,23.73,6.78,2.01,211.09,55.01,64.41,25.42,55.16,99.27
>=0.5,3,59,6.27,45.76,37.29,25.42,6.78,1.83,161.1,4.41,50.85,30.51,33.6,75.66
