hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,6300,87.24,13.81,4.52,0.86,0.1,1.25,-0.06,-19.02,35.68,22.02,-3.08,-0.88
09:15-11,2,6300,54.36,18.59,7.22,2.21,0.33,1.29,1.51,-26.54,32.84,29.73,-5.26,-1.71
09:15-11,3,6300,31.8,22.89,10.49,3.9,0.75,1.33,4.1,-36.23,30.25,39.16,-8.64,-4.05
11-12,1,3600,72.03,12.58,3.03,0.64,0.0,1.22,-9.13,-24.84,30.08,24.31,-10.46,-9.25
11-12,2,3600,41.72,16.58,5.89,1.58,0.33,1.26,-11.68,-35.1,26.75,35.22,-14.61,-13.28
11-12,3,3600,22.13,20.78,10.06,2.97,0.81,1.28,-16.13,-48.97,22.25,49.08,-19.95,-18.84
12-13,1,3600,58.4,16.14,5.06,1.36,0.0,1.26,-8.97,-29.73,29.42,31.33,-11.54,-9.36
12-13,2,3600,30.77,20.72,8.61,2.64,0.44,1.29,-11.55,-43.69,24.97,45.19,-17.48,-15.57
12-13,3,3600,14.46,24.47,12.31,4.72,1.47,1.29,-13.53,-52.89,20.08,59.08,-22.23,-19.33
13-14,1,3600,45.07,22.17,10.5,3.17,0.36,1.32,-17.01,-54.25,24.0,52.75,-20.61,-17.98
13-14,2,3600,20.44,25.44,14.06,5.5,1.39,1.33,-21.52,-68.7,17.64,67.72,-27.11,-25.03
13-14,3,3600,7.89,24.97,15.25,7.75,2.25,1.22,-23.62,-60.48,13.22,79.53,-28.93,-24.06
14-15,1,3600,22.85,30.58,18.31,9.28,2.69,1.37,0.63,-84.74,19.28,75.64,-26.02,-18.48
14-15,2,3600,6.25,25.42,16.42,9.72,4.06,1.17,7.38,-63.47,9.28,88.47,-31.63,-26.4
14-15,3,3600,3.0,15.03,9.81,6.31,2.64,1.0,-6.11,-50.0,4.06,95.28,-38.14,-33.78
15-15:30,1,600,5.09,28.33,19.5,12.17,4.5,1.16,5.56,-51.37,14.0,82.83,-22.82,-10.89
15-15:30,2,600,3.0,9.0,6.83,4.5,2.5,1.0,-26.83,-50.0,3.5,95.33,-40.06,-35.3
15-15:30,3,600,3.0,2.0,1.83,1.5,1.17,1.0,-43.53,-50.0,0.83,99.0,-47.63,-45.88
