hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,6300,92.71,13.44,4.22,0.75,0.1,1.25,2.48,-15.27,37.81,18.67,-0.19,1.84
09:15-11,2,6300,59.04,18.21,6.9,1.92,0.25,1.3,4.85,-21.04,35.65,24.95,-1.19,2.19
09:15-11,3,6300,35.52,22.89,10.21,3.59,0.63,1.34,8.44,-28.88,33.03,33.11,-3.37,1.16
11-12,1,3600,80.84,11.17,2.5,0.44,0.0,1.22,-5.79,-19.41,33.22,18.75,-6.86,-5.73
11-12,2,3600,49.32,15.78,4.61,1.31,0.28,1.25,-6.84,-27.27,29.92,26.92,-9.57,-7.74
11-12,3,3600,27.79,19.92,8.75,2.5,0.64,1.29,-8.87,-37.95,26.5,38.69,-13.14,-11.87
12-13,1,3600,69.77,14.06,3.78,0.72,0.0,1.25,-3.18,-19.74,33.89,21.72,-5.11,-3.36
12-13,2,3600,39.74,18.97,6.61,1.97,0.25,1.29,-3.74,-29.65,30.25,30.67,-8.6,-5.98
12-13,3,3600,20.82,23.81,10.56,3.53,1.0,1.33,-4.19,-42.67,25.92,43.61,-12.97,-10.19
13-14,1,3600,60.35,19.19,7.39,1.47,0.08,1.31,-5.77,-29.83,31.5,34.03,-7.8,-5.92
13-14,2,3600,32.03,23.94,11.44,3.44,0.67,1.35,-7.52,-44.53,26.28,46.11,-12.76,-10.47
13-14,3,3600,15.31,26.25,14.56,5.58,1.53,1.34,-11.38,-52.47,21.11,58.67,-18.07,-14.86
14-15,1,3600,45.57,22.69,9.22,2.17,0.33,1.36,7.45,-27.01,35.78,35.03,-1.99,3.06
14-15,2,3600,20.66,27.39,14.14,5.08,1.0,1.39,14.33,-43.93,29.89,47.11,-7.18,0.19
14-15,3,3600,8.04,27.42,16.06,6.97,1.97,1.29,12.52,-50.0,23.03,60.25,-14.95,-6.7
