k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,951,73.09,24.92,15.14,6.94,2.1,1.31,24.88,-33.94,31.65,38.91,-0.11,6.29,30.81,16.72,5.99,69.23,28.92
1,0.0,951,73.09,24.4,13.99,5.78,2.1,1.31,22.24,-31.6,33.02,34.81,0.93,7.03,30.18,16.09,4.84,51.24,31.65
2,0.0,951,43.12,24.92,15.35,7.15,2.31,1.31,24.98,-45.45,27.23,47.0,-4.97,-0.39,31.02,18.3,7.05,69.53,21.14
3,0.0,951,22.95,25.66,15.88,8.52,2.63,1.29,14.41,-50.0,22.71,57.2,-11.59,-3.32,29.55,19.45,8.41,74.15,13.46
0,0.3,263,16.86,45.63,31.18,19.01,7.6,1.84,90.27,-70.47,30.42,63.5,9.15,24.32,37.26,25.1,10.27,136.61,28.9
1,0.3,263,31.66,44.11,30.42,16.73,7.6,1.81,81.24,-54.56,33.08,57.41,13.7,26.25,36.88,24.33,9.13,118.97,33.46
2,0.3,263,10.7,39.16,27.76,14.83,6.46,1.4,87.38,-50.0,21.67,72.24,-0.36,2.12,33.08,22.43,8.75,136.49,19.39
3,0.3,263,3.06,32.7,22.81,13.69,4.18,1.09,39.27,-50.0,14.83,80.61,-8.44,-0.98,27.0,19.39,7.6,82.42,11.41
0,0.4,154,13.33,48.7,38.31,27.27,12.99,1.93,160.88,-65.91,29.87,64.94,18.74,47.26,42.21,30.52,12.99,171.84,31.82
1,0.4,154,17.63,48.05,38.96,25.97,12.99,1.93,141.89,-58.34,33.77,60.39,24.02,49.11,42.86,29.22,12.99,152.3,35.71
2,0.4,154,3.8,36.36,30.52,18.83,11.04,1.22,157.48,-50.0,16.23,79.22,0.81,8.55,33.77,22.73,11.69,170.14,17.53
3,0.4,154,3.0,24.03,19.48,15.58,7.14,1.0,83.43,-50.0,9.74,87.66,-16.53,2.26,22.73,19.48,9.09,94.22,9.74
0,0.5,85,9.99,54.12,43.53,31.76,18.82,2.35,275.43,-58.7,36.47,62.35,27.08,65.32,44.71,32.94,18.82,269.45,34.12
1,0.5,85,12.78,54.12,43.53,31.76,18.82,2.4,237.79,-50.0,40.0,57.65,30.97,71.02,44.71,32.94,18.82,234.62,40.0
2,0.5,85,3.0,34.12,29.41,20.0,12.94,1.13,255.76,-50.0,17.65,78.82,-3.9,12.07,29.41,21.18,12.94,249.1,16.47
3,0.5,85,3.0,18.82,16.47,12.94,7.06,1.0,178.76,-50.0,10.59,87.06,-23.66,-7.2,16.47,14.12,7.06,170.13,9.41
