k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,921,85.22,22.04,10.75,2.82,0.22,1.31,15.31,-20.39,37.57,23.78,5.38,11.55,27.04,11.51,2.82,50.87,35.61
1,0.0,921,85.22,21.28,10.1,1.95,0.11,1.3,13.23,-18.45,38.33,22.26,6.11,11.52,26.17,10.31,1.41,38.23,36.37
2,0.0,921,52.74,25.19,13.9,5.86,0.87,1.35,21.27,-28.64,35.29,30.62,4.09,12.49,30.29,15.42,5.1,63.64,32.36
3,0.0,921,30.58,27.9,16.61,8.47,1.52,1.38,20.32,-38.78,30.84,40.93,-1.24,8.27,33.01,19.87,7.71,81.84,27.69
0,0.3,233,56.6,38.63,20.6,6.44,0.86,1.66,49.65,-14.08,45.06,32.19,21.89,36.76,28.76,10.73,1.29,79.78,45.92
1,0.3,233,56.6,38.2,19.31,4.72,0.43,1.62,43.89,-12.52,47.21,28.76,24.25,36.56,27.47,8.58,0.86,72.48,46.78
2,0.3,233,28.14,42.49,26.61,12.45,1.72,1.73,68.12,-24.75,42.06,38.2,22.3,37.07,33.05,18.03,4.29,113.5,43.35
3,0.3,233,12.69,43.78,28.33,15.02,2.58,1.7,51.0,-44.21,35.19,45.92,12.47,24.66,34.76,21.89,4.72,92.73,36.05
0,0.4,124,24.06,44.35,27.42,10.48,1.61,1.74,87.52,4.63,51.61,30.65,36.58,63.49,32.26,10.48,1.61,101.11,55.65
1,0.4,124,50.2,43.55,25.0,8.87,0.81,1.68,76.37,10.22,53.23,28.23,38.27,62.59,30.65,8.87,0.81,89.22,57.26
2,0.4,124,22.52,45.97,33.87,18.55,3.23,1.77,120.7,-2.35,49.19,35.48,37.19,63.84,38.71,20.16,3.23,136.4,53.23
3,0.4,124,9.0,42.74,33.06,20.97,4.84,1.67,95.22,-37.03,39.52,41.13,19.44,42.83,37.9,24.19,4.84,113.3,45.16
0,0.5,59,20.18,49.15,32.2,15.25,3.39,1.9,149.05,54.52,66.1,20.34,62.7,103.86,33.9,15.25,3.39,153.0,67.8
1,0.5,59,40.07,49.15,28.81,13.56,1.69,1.9,133.06,54.52,69.49,16.95,64.82,102.26,30.51,13.56,1.69,136.65,71.19
2,0.5,59,17.26,50.85,35.59,23.73,6.78,2.01,211.09,55.01,64.41,25.42,55.16,99.27,37.29,25.42,6.78,214.91,66.1
3,0.5,59,6.27,45.76,37.29,25.42,6.78,1.83,161.1,4.41,50.85,30.51,33.6,75.66,38.98,27.12,6.78,164.75,54.24
