score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,554,20.17,18.59,4.51,0.54,0.36,1.27,-7.06,-28.18,31.95,32.31,-8.67,-7.32
<0.2,2,554,8.3,23.65,9.03,2.35,0.54,1.28,-11.92,-50.0,23.83,50.9,-17.95,-14.69
<0.2,3,554,2.92,21.48,12.64,4.69,1.08,1.18,-11.93,-50.0,17.51,67.33,-23.96,-19.61
0.2-0.3,1,161,13.19,24.22,6.21,0.62,0.0,1.45,-11.83,-37.5,32.3,45.34,-12.61,-11.65
0.2-0.3,2,161,4.02,26.71,9.32,3.11,0.0,1.34,-22.62,-50.0,21.12,62.11,-28.06,-21.25
0.2-0.3,3,161,1.5,22.36,7.45,1.86,0.62,1.0,-40.3,-50.0,7.45,80.12,-35.84,-38.71
0.3-0.4,1,82,8.51,34.15,20.73,6.1,2.44,1.42,4.37,-58.62,24.39,62.2,-8.15,-19.82
0.3-0.4,2,82,1.77,32.93,18.29,3.66,0.0,1.22,-37.77,-50.0,9.76,76.83,-15.28,-30.45
0.3-0.4,3,82,1.5,18.29,13.41,8.54,2.44,1.0,-41.31,-50.0,2.44,93.9,-26.96,-20.75
0.4-0.5,1,63,2.81,34.92,28.57,22.22,6.35,1.3,27.61,-50.0,14.29,74.6,-7.9,17.52
0.4-0.5,2,63,1.5,11.11,6.35,3.17,1.59,1.0,-21.26,-50.0,4.76,92.06,-43.03,-42.24
0.4-0.5,3,63,1.5,6.35,3.17,1.59,1.59,1.0,-50.69,-50.0,0.0,98.41,-45.38,-45.93
>=0.5,1,79,1.5,31.65,22.78,20.25,13.92,1.08,93.45,-50.0,16.46,82.28,-12.96,17.43
>=0.5,2,79,1.5,15.19,13.92,8.86,6.33,1.0,35.11,-50.0,7.59,92.41,-27.16,-21.57
>=0.5,3,79,1.5,7.59,5.06,3.8,3.8,1.0,1.61,-50.0,3.8,96.2,-42.41,-38.61
