score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,554,22.11,18.59,4.15,0.54,0.18,1.28,-2.99,-22.05,34.84,26.71,-4.27,-3.09
<0.2,2,554,9.76,24.91,8.3,2.17,0.54,1.31,-6.1,-38.59,28.52,42.78,-11.58,-8.05
<0.2,3,554,3.64,23.1,13.54,3.97,0.72,1.24,-7.0,-50.0,20.22,60.11,-18.51,-14.75
0.2-0.3,1,161,16.61,21.12,5.59,0.0,0.0,1.43,-5.25,-28.44,37.89,36.02,-4.44,-5.25
0.2-0.3,2,161,6.13,31.06,10.56,2.48,0.0,1.54,-12.7,-47.17,28.57,47.83,-16.5,-10.73
0.2-0.3,3,161,1.77,24.84,12.42,1.86,0.0,1.14,-28.86,-50.0,16.15,72.67,-26.38,-28.18
0.3-0.4,1,82,13.39,29.27,9.76,3.66,1.22,1.44,8.36,-27.64,31.71,36.59,-4.35,-3.36
0.3-0.4,2,82,4.22,36.59,21.95,7.32,0.0,1.45,-5.9,-50.0,23.17,58.54,-4.58,-10.62
0.3-0.4,3,82,1.5,24.39,14.63,3.66,0.0,1.02,-36.09,-50.0,9.76,78.05,-20.03,-31.82
0.4-0.5,1,55,7.88,45.45,27.27,9.09,0.0,1.85,31.42,-13.01,43.64,30.91,32.69,38.89
0.4-0.5,2,55,1.5,34.55,12.73,7.27,3.64,1.12,20.27,-50.0,21.82,69.09,-22.24,-14.29
0.4-0.5,3,55,1.5,12.73,3.64,1.82,1.82,1.0,-12.02,-50.0,5.45,90.91,-45.27,-42.69
>=0.5,1,54,6.9,37.04,22.22,11.11,0.0,1.51,43.67,-41.63,35.19,46.3,10.6,30.47
>=0.5,2,54,1.5,27.78,18.52,16.67,7.41,1.07,59.43,-50.0,24.07,72.22,-8.27,24.2
>=0.5,3,54,1.5,24.07,16.67,12.96,5.56,1.0,28.62,-50.0,20.37,79.63,-17.41,7.59
