hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,4914,21.42,18.29,5.94,1.1,0.12,1.28,-4.46,-26.73,33.29,32.17,-6.27,-4.71
09:15-11,2,4914,9.33,24.22,11.13,3.54,0.75,1.32,-6.47,-45.57,27.51,46.48,-13.19,-9.2
09:15-11,3,4914,3.39,23.36,12.94,5.11,1.06,1.22,-12.48,-50.0,20.11,64.61,-21.97,-17.26
11-12,1,2808,16.34,16.77,5.16,1.07,0.18,1.26,-10.27,-32.68,30.06,35.51,-12.94,-11.17
11-12,2,2808,5.98,21.65,9.97,2.49,0.46,1.26,-17.59,-50.0,21.87,55.63,-21.86,-20.91
11-12,3,2808,1.73,16.6,9.08,3.42,1.25,1.07,-24.23,-50.0,12.71,75.82,-32.45,-30.58
12-13,1,2808,12.43,19.94,6.87,1.57,0.07,1.33,-14.05,-41.28,26.32,42.74,-17.21,-15.02
12-13,2,2808,3.68,22.65,10.01,3.45,0.57,1.27,-20.49,-50.0,16.67,66.45,-27.73,-24.35
12-13,3,2808,1.5,15.06,7.55,3.63,1.28,1.0,-27.68,-50.0,8.37,84.94,-37.56,-34.16
13-14,1,2808,8.81,27.39,14.28,4.74,0.96,1.37,-19.53,-63.43,21.62,63.14,-21.81,-20.61
13-14,2,2808,1.87,22.12,13.14,5.41,1.0,1.13,-33.31,-50.0,10.72,82.69,-30.46,-29.62
13-14,3,2808,1.5,10.93,7.09,3.56,1.21,1.0,-40.31,-50.0,4.13,93.84,-39.83,-38.54
14-15,1,2808,3.36,29.17,18.73,10.54,5.16,1.28,29.43,-61.75,13.96,83.4,-25.41,-18.74
14-15,2,2808,1.5,12.57,8.26,4.74,2.56,1.0,-15.93,-50.0,4.1,95.33,-38.82,-36.93
14-15,3,2808,1.5,2.31,1.5,0.93,0.78,1.0,-41.09,-50.0,0.82,99.11,-47.86,-47.29
15-15:30,1,468,1.5,11.11,7.69,4.7,2.78,1.0,-22.02,-50.0,5.77,92.95,-38.29,-33.77
15-15:30,2,468,1.5,0.64,0.43,0.21,0.21,1.0,-44.7,-50.0,0.43,99.57,-49.07,-49.07
15-15:30,3,468,1.5,0.21,0.0,0.0,0.0,1.0,-49.71,-50.0,0.21,99.79,-49.71,-49.71
