hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,4914,22.95,17.66,5.51,0.83,0.08,1.28,-1.03,-21.62,35.65,27.39,-2.57,-1.2
09:15-11,2,4914,10.4,24.34,10.91,3.19,0.59,1.34,-1.46,-37.06,30.81,40.33,-7.91,-3.83
09:15-11,3,4914,4.07,24.54,13.57,5.33,0.96,1.27,-6.03,-50.0,23.16,58.26,-16.81,-11.25
11-12,1,2808,18.98,15.35,4.06,0.82,0.11,1.25,-5.93,-24.83,33.19,27.46,-7.99,-6.43
11-12,2,2808,7.66,22.61,9.12,2.31,0.68,1.29,-11.42,-43.8,26.92,45.3,-15.41,-13.74
11-12,3,2808,2.56,19.3,9.58,2.96,0.93,1.16,-19.03,-50.0,16.74,67.02,-26.58,-24.95
12-13,1,2808,15.72,16.99,4.95,0.89,0.0,1.32,-6.72,-27.36,31.73,29.24,-9.02,-7.11
12-13,2,2808,5.57,24.29,10.29,2.78,0.28,1.34,-11.94,-50.0,23.72,51.07,-17.66,-14.55
12-13,3,2808,1.54,18.63,9.44,3.81,0.82,1.07,-21.33,-50.0,13.21,73.22,-29.94,-25.7
13-14,1,2808,13.13,25.04,9.94,2.1,0.18,1.37,-8.52,-40.36,30.45,43.27,-10.5,-9.57
13-14,2,2808,4.03,26.03,14.0,5.16,0.75,1.32,-16.91,-50.0,20.66,63.5,-20.03,-17.01
13-14,3,2808,1.5,17.31,9.29,4.31,0.71,1.0,-32.88,-50.0,10.26,81.94,-33.36,-30.07
14-15,1,2808,9.31,29.91,14.07,4.88,1.57,1.46,19.03,-40.19,34.44,44.55,-3.32,3.52
14-15,2,2808,2.12,25.21,14.81,7.55,2.14,1.25,10.21,-50.0,21.12,67.91,-19.05,-10.91
14-15,3,2808,1.5,12.36,6.91,2.67,1.25,1.0,-24.79,-50.0,8.08,86.47,-37.3,-35.94
