k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,939,7.08,25.88,12.03,4.9,2.24,1.32,5.55,-50.0,26.09,50.48,-12.6,-8.03,29.29,18.74,8.84,52.51,17.89
1,0.0,939,15.58,23.11,9.37,4.15,2.02,1.3,3.9,-41.65,28.86,44.2,-9.61,-5.41,28.75,17.25,6.82,47.32,24.81
2,0.0,939,5.42,23.43,10.12,3.19,0.96,1.21,-12.68,-50.0,19.49,61.34,-21.91,-19.62,25.45,16.08,7.77,36.38,12.25
3,0.0,939,1.53,19.17,10.54,4.26,1.38,1.02,-20.82,-50.0,12.14,76.36,-29.24,-26.35,20.77,12.78,6.82,31.01,5.11
0,0.3,224,2.8,34.38,24.55,15.62,8.04,1.34,52.49,-50.0,16.96,74.55,-9.48,1.39,28.12,19.2,8.04,69.64,15.62
1,0.3,224,3.19,33.48,23.66,15.62,7.59,1.33,42.32,-50.0,18.75,72.77,-9.78,3.82,27.68,19.2,7.59,59.39,17.41
2,0.3,224,1.5,20.54,13.39,5.36,2.68,1.0,-7.42,-50.0,7.59,86.61,-27.27,-30.63,17.86,8.93,3.57,5.5,7.14
3,0.3,224,1.5,11.16,7.59,4.91,2.68,1.0,-28.81,-50.0,2.23,95.98,-37.59,-34.13,8.93,6.25,3.12,-18.53,3.57
0,0.4,142,1.52,33.8,26.06,21.13,11.27,1.22,82.82,-50.0,15.49,78.87,-9.15,17.01,27.46,21.83,11.27,87.51,16.9
1,0.4,142,1.52,33.1,25.35,21.13,10.56,1.22,64.24,-50.0,15.49,78.87,-10.71,17.47,26.76,21.83,10.56,69.8,16.9
2,0.4,142,1.5,13.38,10.56,6.34,4.23,1.0,10.1,-50.0,6.34,92.25,-34.2,-30.74,11.97,7.75,4.23,15.57,7.04
3,0.4,142,1.5,7.04,4.23,2.82,2.82,1.0,-21.59,-50.0,2.11,97.18,-43.72,-41.86,5.63,4.23,2.82,-17.25,3.52
0,0.5,79,1.5,31.65,24.05,20.25,15.19,1.08,126.49,-50.0,16.46,82.28,-10.52,16.24,24.05,20.25,15.19,123.39,16.46
1,0.5,79,1.5,31.65,22.78,20.25,13.92,1.08,93.45,-50.0,16.46,82.28,-12.96,17.43,22.78,20.25,13.92,92.41,16.46
2,0.5,79,1.5,15.19,13.92,8.86,6.33,1.0,35.11,-50.0,7.59,92.41,-27.16,-21.57,13.92,8.86,6.33,32.01,7.59
3,0.5,79,1.5,7.59,5.06,3.8,3.8,1.0,1.61,-50.0,3.8,96.2,-42.41,-38.61,5.06,3.8,3.8,-4.3,3.8
