k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,906,8.33,26.93,10.49,3.42,0.77,1.38,3.33,-33.3,32.78,38.63,-4.34,-0.85,28.81,16.56,6.84,54.43,32.34
1,0.0,906,19.15,22.74,7.4,1.88,0.22,1.35,2.5,-23.44,35.65,30.68,-1.18,1.05,27.04,13.02,3.97,45.15,36.09
2,0.0,906,7.64,27.81,10.82,3.86,0.99,1.33,-1.75,-45.93,27.37,48.45,-12.27,-7.22,28.7,18.1,7.62,62.03,26.49
3,0.0,906,2.49,22.96,13.02,3.97,0.88,1.14,-11.7,-50.0,17.66,67.0,-21.61,-19.04,24.94,15.78,7.51,47.81,16.45
0,0.3,191,5.82,38.74,21.47,10.99,2.09,1.59,33.21,-40.94,32.98,46.07,7.69,17.87,27.75,14.14,2.62,39.36,35.08
1,0.3,191,10.55,36.13,18.32,7.33,0.52,1.55,24.98,-27.35,36.13,37.7,10.54,18.37,26.7,8.9,1.05,32.0,37.7
2,0.3,191,2.38,33.51,18.32,9.95,3.14,1.32,20.11,-50.0,23.04,65.45,-10.71,-1.83,22.51,13.61,3.66,26.46,24.08
3,0.3,191,1.5,20.94,12.04,5.76,2.09,1.0,-10.86,-50.0,11.52,82.2,-26.56,-23.81,13.61,7.33,2.62,-6.6,11.52
0,0.4,109,5.84,42.2,25.69,14.68,2.75,1.74,57.81,-33.45,38.53,42.2,19.37,38.16,28.44,14.68,2.75,60.97,42.2
1,0.4,109,7.77,41.28,24.77,10.09,0.0,1.7,37.49,-26.25,39.45,38.53,21.74,34.71,27.52,10.09,0.0,41.37,43.12
2,0.4,109,1.5,31.19,15.6,11.93,5.5,1.11,39.67,-50.0,22.94,70.64,-15.32,4.77,17.43,11.93,5.5,42.26,24.77
3,0.4,109,1.5,18.35,10.09,7.34,3.67,1.0,8.11,-50.0,12.84,85.32,-31.47,-17.78,11.93,9.17,3.67,11.78,13.76
0,0.5,54,6.07,37.04,22.22,16.67,3.7,1.54,62.72,-44.16,35.19,50.0,7.39,37.34,22.22,16.67,3.7,63.59,37.04
1,0.5,54,6.9,37.04,22.22,11.11,0.0,1.51,43.67,-41.63,35.19,46.3,10.6,30.47,22.22,11.11,0.0,44.55,37.04
2,0.5,54,1.5,27.78,18.52,16.67,7.41,1.07,59.43,-50.0,24.07,72.22,-8.27,24.2,18.52,16.67,7.41,59.43,24.07
3,0.5,54,1.5,24.07,16.67,12.96,5.56,1.0,28.62,-50.0,20.37,79.63,-17.41,7.59,16.67,12.96,5.56,28.62,20.37
