index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
NIFTY,GO,0,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,11:45–12:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,12:15–12:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,0,12:45–13:15,1,0.008547008547008548,"{""2"": 1.0}",3.853899711072245,122.04999999999927,0.0,0.0,0.0,0.0,-77.03208465144624,-77.03208465144624,0.0,100.0,-77.03208465144624,-77.03208465144624
NIFTY,GO,0,13:15–13:45,6,0.05128205128205128,"{""1"": 0.67, ""2"": 0.33}",19.72004629149592,55.349999999998545,16.666666666666664,0.0,0.0,0.0,-28.47505614292834,-31.924839176650334,33.33333333333333,33.33333333333333,-28.47505614292834,-28.47505614292834
NIFTY,GO,0,13:45–14:15,17,0.1452991452991453,"{""1"": 0.76, ""2"": 0.24}",6.637435263437965,57.25,23.52941176470588,11.76470588235294,11.76470588235294,0.0,-1.6459870133740415,-13.00576364285132,29.411764705882355,35.294117647058826,2.4815676575423153,-16.318707557727954
NIFTY,GO,0,14:15–14:55,76,0.6495726495726496,"{""1"": 0.75, ""2"": 0.25}",5.346790872561314,63.875,50.0,31.57894736842105,15.789473684210526,3.9473684210526314,82.69679080734174,-29.85211943629413,40.78947368421053,42.10526315789473,52.07601857738451,34.189984952393644
NIFTY,GO,0,all,100,0.8547008547008547,"{""1"": 0.74, ""2"": 0.26}",5.933169565509843,63.875,43.0,26.0,14.000000000000002,3.0,60.09091900621597,-29.85211943629413,38.0,41.0,37.520816405504256,20.73138406391525
NIFTY,GO,1,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,11:45–12:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,12:15–12:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,1,12:45–13:15,1,0.008547008547008548,,11.244880427032967,72.04999999999927,0.0,0.0,0.0,0.0,-91.48565192968402,-91.48565192968402,0.0,100.0,-91.48565192968402,-91.48565192968402
NIFTY,GO,1,13:15–13:45,6,0.05128205128205128,,25.486667256441706,37.974999999998545,0.0,0.0,0.0,0.0,-22.26974235216964,-24.46223488692504,33.33333333333333,33.33333333333333,-22.26974235216964,-22.26974235216964
NIFTY,GO,1,13:45–14:15,17,0.1452991452991453,,8.109009737680026,55.79999999999927,23.52941176470588,11.76470588235294,0.0,0.0,-8.642853700263364,-13.00576364285132,29.411764705882355,35.294117647058826,-8.642853700263364,-10.176078538295426
NIFTY,GO,1,14:15–14:55,76,0.6495726495726496,,6.555771198661205,52.650000000001455,50.0,30.263157894736842,13.157894736842104,0.0,54.88225338201139,-24.077370124772095,42.10526315789473,38.15789473684211,51.95724794681159,35.29151409075719
NIFTY,GO,1,all,100,0.8547008547008547,,7.795459255004062,52.650000000001455,42.0,25.0,10.0,0.0,37.99018638085686,-24.077370124772095,39.0,38.0,35.767182250105016,22.840576297038222
NIFTY,GO,2,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,11:45–12:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,12:15–12:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,2,12:45–13:15,1,0.008547008547008548,,3.853899711072245,122.04999999999927,0.0,0.0,0.0,0.0,-77.03208465144624,-77.03208465144624,0.0,100.0,-77.03208465144624,-77.03208465144624
NIFTY,GO,2,13:15–13:45,6,0.05128205128205128,,11.872298585263934,87.97499999999854,33.33333333333333,0.0,0.0,0.0,-28.990286753248494,-39.88670219098099,16.666666666666664,33.33333333333333,-28.990286753248494,-28.990286753248494
NIFTY,GO,2,13:45–14:15,17,0.1452991452991453,,1.9262021594181533,105.79999999999927,17.647058823529413,11.76470588235294,11.76470588235294,0.0,-20.62571285700654,-50.0,11.76470588235294,76.47058823529412,-16.498158186090183,-35.298433401360455
NIFTY,GO,2,14:15–14:55,76,0.6495726495726496,,1.5,102.65000000000146,35.526315789473685,17.105263157894736,11.842105263157894,6.578947368421052,58.049154941640154,-50.0,26.31578947368421,71.05263157894737,10.835143053825554,-9.3373606928903
NIFTY,GO,2,all,100,0.8547008547008547,,1.5,102.65000000000146,32.0,15.0,11.0,5.0,38.101248518246045,-50.0,23.0,70.0,2.9202837775627155,-15.606865856537281
NIFTY,GO,3,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,11:45–12:15,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,12:15–12:45,0,0.0,,,,,,,,,,,,,
NIFTY,GO,3,12:45–13:15,1,0.008547008547008548,,1.5,172.04999999999927,0.0,0.0,0.0,0.0,-50.0,-50.0,0.0,100.0,-50.0,-50.0
NIFTY,GO,3,13:15–13:45,6,0.05128205128205128,,4.8363560063017985,137.97499999999854,33.33333333333333,0.0,0.0,0.0,-40.771433764828096,-51.594372437162306,16.666666666666664,66.66666666666666,-40.771433764828096,-40.771433764828096
NIFTY,GO,3,13:45–14:15,17,0.1452991452991453,,1.5,155.79999999999927,17.647058823529413,0.0,0.0,0.0,-51.30001416358304,-50.0,0.0,94.11764705882352,-51.30001416358304,-51.30001416358304
NIFTY,GO,3,14:15–14:55,76,0.6495726495726496,,1.5,152.65000000000146,17.105263157894736,11.842105263157894,9.210526315789473,5.263157894736842,26.4658105303996,-50.0,14.473684210526317,85.52631578947368,-12.046626270014835,-27.862997214514223
NIFTY,GO,3,all,100,0.8547008547008547,,1.5,152.65000000000146,18.0,9.0,7.000000000000001,4.0,8.4467275694049,-50.0,12.0,86.0,-20.82272439891008,-32.843166316729615
NIFTY,LEAN,0,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,0,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,0,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,0,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,0,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,0,11:45–12:15,1,0.008547008547008548,"{""1"": 1.0}",24.755985240767586,40.349999999998545,0.0,0.0,0.0,0.0,-31.485693642500223,-31.485693642500223,0.0,0.0,-31.485693642500223,-31.485693642500223
NIFTY,LEAN,0,12:15–12:45,3,0.02564102564102564,"{""2"": 1.0}",6.260837421989436,99.79999999999927,66.66666666666666,0.0,0.0,0.0,-8.177407717924067,-21.099314428194084,33.33333333333333,0.0,-8.177407717924067,-8.177407717924067
NIFTY,LEAN,0,12:45–13:15,13,0.1111111111111111,"{""2"": 0.62, ""1"": 0.38}",8.265214228880268,91.15000000000146,46.15384615384615,23.076923076923077,7.6923076923076925,0.0,18.668108810682014,-5.580604216185192,38.46153846153847,30.76923076923077,25.865463880200036,27.43776537033354
NIFTY,LEAN,0,13:15–13:45,29,0.24786324786324787,"{""2"": 0.62, ""1"": 0.38}",5.148220694320571,77.40000000000146,34.48275862068966,20.689655172413794,3.4482758620689653,0.0,-11.094696570107745,-54.09973285181911,27.586206896551722,55.172413793103445,-12.942664862959138,4.931504633744538
NIFTY,LEAN,0,13:45–14:15,20,0.17094017094017094,"{""2"": 0.6, ""1"": 0.4}",4.664967750748815,82.375,45.0,20.0,15.0,5.0,38.97161180588269,-73.77842149004105,25.0,65.0,-2.412774541851928,-24.11416663478175
NIFTY,LEAN,0,14:15–14:55,16,0.13675213675213677,"{""1"": 0.56, ""2"": 0.44}",6.931213926159671,69.44999999999982,6.25,0.0,0.0,0.0,-37.71327862589817,-53.81584666154876,12.5,56.25,-37.71327862589817,-37.71327862589817
NIFTY,LEAN,0,all,82,0.7008547008547008,"{""2"": 0.59, ""1"": 0.41}",5.82343021353563,79.35000000000036,34.146341463414636,15.853658536585366,6.097560975609756,1.2195121951219512,0.4992814062530764,-50.704380982177696,25.609756097560975,51.21951219512195,-9.106977027206055,-7.829379552601834
NIFTY,LEAN,1,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,1,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,1,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,1,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,1,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,1,11:45–12:15,1,0.008547008547008548,,24.755985240767586,40.349999999998545,0.0,0.0,0.0,0.0,-31.485693642500223,-31.485693642500223,0.0,0.0,-31.485693642500223,-31.485693642500223
NIFTY,LEAN,1,12:15–12:45,3,0.02564102564102564,,16.63341448079518,49.79999999999927,33.33333333333333,0.0,0.0,0.0,-4.243538704429687,-18.101088346357052,33.33333333333333,0.0,-4.243538704429687,-4.243538704429687
NIFTY,LEAN,1,12:45–13:15,13,0.1111111111111111,,20.037998580985914,46.54999999999927,46.15384615384615,15.384615384615385,0.0,0.0,22.8626938607039,-10.54537685853757,46.15384615384615,23.076923076923077,22.8626938607039,24.89206588022347
NIFTY,LEAN,1,13:15–13:45,29,0.24786324786324787,,14.250357796937351,45.5,31.03448275862069,10.344827586206897,3.4482758620689653,0.0,1.0755776246340447,-26.30472724258808,37.93103448275862,31.03448275862069,-0.7723906682173514,8.461882180030116
NIFTY,LEAN,1,13:45–14:15,20,0.17094017094017094,,13.841204689298593,54.024999999999636,35.0,15.0,10.0,5.0,42.72967490448747,-71.0178956859345,30.0,55.00000000000001,-2.616955853060824,-21.400870721915602
