score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,141,82.26,9.93,0.71,0.0,0.0,1.28,-12.56,-15.48,31.91,20.57,-12.2,-12.56
<0.2,2,141,49.57,14.18,2.84,0.0,0.0,1.33,-14.6,-22.52,29.79,26.24,-11.36,-14.6
<0.2,3,141,28.2,19.86,7.09,2.84,0.0,1.38,-15.86,-33.33,29.08,35.46,-10.55,-9.82
0.2-0.3,1,48,64.69,8.33,0.0,0.0,0.0,1.24,-21.84,-33.62,29.17,33.33,-21.84,-21.84
0.2-0.3,2,48,35.65,22.92,2.08,0.0,0.0,1.29,-25.1,-43.39,27.08,43.75,-22.44,-25.1
0.2-0.3,3,48,17.89,31.25,4.17,2.08,0.0,1.34,-28.16,-52.37,22.92,52.08,-27.16,-23.12
0.3-0.4,1,22,55.72,13.64,0.0,0.0,0.0,1.26,-39.34,-48.14,18.18,50.0,-39.34,-39.34
0.3-0.4,2,22,27.15,18.18,9.09,0.0,0.0,1.32,-52.92,-71.1,13.64,63.64,-42.77,-52.92
0.3-0.4,3,22,11.37,13.64,4.55,0.0,0.0,1.19,-46.08,-45.12,4.55,50.0,-44.01,-46.08
0.4-0.5,1,23,38.08,8.7,4.35,4.35,0.0,1.25,-67.8,-86.71,8.7,82.61,-56.83,-48.65
0.4-0.5,2,23,15.92,13.04,4.35,4.35,0.0,1.28,-61.58,-72.57,8.7,73.91,-54.33,-47.08
0.4-0.5,3,23,5.92,21.74,4.35,0.0,0.0,1.22,-53.04,-33.33,0.0,43.48,-45.79,-53.04
>=0.5,1,24,11.37,50.0,37.5,33.33,16.67,1.88,122.43,-55.6,25.0,54.17,16.59,65.23
>=0.5,2,24,5.0,37.5,12.5,12.5,8.33,1.28,96.63,-33.33,8.33,25.0,-23.13,-2.3
>=0.5,3,24,5.0,16.67,4.17,4.17,4.17,1.0,-1.71,-33.33,4.17,12.5,-30.52,-23.58
