score_bucket,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
<0.2,1,141,86.13,9.22,0.71,0.0,0.0,1.3,-9.7,-11.54,34.75,17.73,-9.32,-9.7
<0.2,2,141,53.28,14.89,2.84,0.0,0.0,1.34,-10.64,-17.88,31.91,23.4,-7.51,-10.64
<0.2,3,141,30.04,18.44,7.09,2.84,0.0,1.4,-11.14,-26.72,31.21,26.95,-5.79,-4.59
0.2-0.3,1,48,72.72,6.25,0.0,0.0,0.0,1.24,-17.7,-31.2,31.25,27.08,-17.7,-17.7
0.2-0.3,2,48,42.29,20.83,2.08,0.0,0.0,1.28,-19.36,-38.34,29.17,35.42,-16.83,-19.36
0.2-0.3,3,48,22.72,29.17,4.17,2.08,0.0,1.31,-20.45,-44.55,22.92,43.75,-20.59,-15.43
0.3-0.4,1,22,66.49,9.09,0.0,0.0,0.0,1.23,-27.15,-34.47,31.82,27.27,-27.15,-27.15
0.3-0.4,2,22,35.36,18.18,4.55,0.0,0.0,1.28,-36.12,-53.16,13.64,50.0,-31.13,-36.12
0.3-0.4,3,22,16.84,18.18,4.55,0.0,0.0,1.34,-44.14,-51.83,9.09,54.55,-42.99,-44.14
0.4-0.5,1,23,50.17,4.35,4.35,4.35,0.0,1.26,-43.6,-51.49,13.04,52.17,-38.16,-29.81
0.4-0.5,2,23,25.76,13.04,4.35,4.35,0.0,1.26,-48.91,-59.28,13.04,69.57,-43.5,-35.87
0.4-0.5,3,23,11.87,17.39,8.7,0.0,0.0,1.26,-47.96,-57.24,8.7,65.22,-36.09,-47.96
>=0.5,1,16,37.26,43.75,31.25,31.25,0.0,1.82,20.67,-58.23,31.25,56.25,23.01,82.21
>=0.5,2,16,14.97,50.0,37.5,18.75,0.0,1.8,35.36,-56.31,25.0,50.0,21.2,23.24
>=0.5,3,16,5.14,31.25,18.75,12.5,6.25,1.42,44.74,-33.33,18.75,25.0,-6.49,4.02
