hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,1890,86.09,14.6,2.75,0.48,0.0,1.3,0.34,-14.23,37.88,18.68,-0.46,0.33
09:15-11,2,1890,53.31,20.48,5.98,0.74,0.0,1.35,0.95,-19.58,35.61,25.19,0.1,0.19
09:15-11,3,1890,30.97,26.72,10.58,2.33,0.37,1.4,2.23,-27.84,32.86,32.22,0.34,1.2
11-12,1,1080,73.89,13.8,2.69,0.19,0.0,1.3,-0.24,-11.71,40.19,16.39,-0.81,-0.13
11-12,2,1080,42.93,22.31,6.85,1.2,0.0,1.36,1.42,-17.52,37.13,24.44,0.57,1.37
11-12,3,1080,22.78,29.54,13.7,3.61,0.56,1.44,3.36,-27.34,34.17,32.5,2.74,3.44
12-13,1,1080,67.23,15.56,3.61,0.28,0.0,1.36,-5.56,-14.87,38.7,25.0,-5.09,-5.46
12-13,2,1080,37.35,24.26,8.33,1.85,0.0,1.44,-6.3,-22.9,34.91,32.59,-3.66,-4.89
12-13,3,1080,18.84,32.04,14.44,5.46,0.46,1.55,-5.39,-33.33,30.74,35.93,-0.8,0.36
13-14,1,1080,58.19,21.76,7.69,1.11,0.28,1.37,-12.75,-38.55,29.72,41.3,-13.18,-13.9
13-14,2,1080,30.2,29.07,13.52,4.44,0.46,1.42,-14.75,-51.86,25.56,50.93,-13.26,-13.54
13-14,3,1080,13.85,32.13,17.31,5.83,1.02,1.43,-16.78,-43.81,19.54,45.19,-10.55,-13.3
14-15,1,1080,39.56,26.57,11.94,5.28,1.39,1.38,-28.27,-83.77,15.37,75.93,-40.09,-36.79
14-15,2,1080,15.71,26.02,12.5,7.13,3.33,1.33,-16.46,-70.91,7.69,67.69,-37.25,-33.23
14-15,3,1080,5.21,20.46,10.56,4.81,2.04,1.08,-23.29,-33.33,4.26,41.48,-30.12,-31.86
15-15:30,1,180,12.43,20.56,12.78,5.56,2.22,1.13,-16.48,-63.45,11.67,61.11,-30.66,-26.28
15-15:30,2,180,5.0,12.78,7.78,3.33,0.56,1.0,-33.74,-33.33,3.89,17.22,-25.87,-25.48
15-15:30,3,180,5.0,3.89,1.11,0.0,0.0,1.0,-33.8,-33.33,0.0,0.56,-31.94,-33.8
