hour,k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
09:15-11,1,1890,89.66,14.55,2.59,0.48,0.0,1.31,2.62,-11.07,39.84,15.71,1.82,2.68
09:15-11,2,1890,56.23,20.32,5.61,0.69,0.0,1.36,4.07,-15.51,38.04,21.96,3.12,3.45
09:15-11,3,1890,33.5,26.56,10.48,2.06,0.32,1.41,6.18,-22.55,35.61,27.83,4.63,5.09
11-12,1,1080,80.33,13.15,2.41,0.09,0.0,1.29,2.47,-8.21,42.5,13.33,1.96,2.58
11-12,2,1080,48.36,22.13,5.74,1.11,0.0,1.36,5.18,-11.93,40.56,20.37,3.91,5.41
11-12,3,1080,26.77,29.17,12.87,3.15,0.46,1.45,9.08,-19.3,37.96,27.31,7.04,7.81
12-13,1,1080,75.89,13.8,2.87,0.28,0.0,1.35,-1.56,-8.93,42.41,19.63,-1.32,-1.37
12-13,2,1080,44.68,22.78,7.22,1.39,0.0,1.43,-0.86,-14.43,40.74,26.76,1.42,0.34
12-13,3,1080,24.01,30.93,13.89,4.63,0.37,1.53,1.5,-23.39,37.69,32.69,5.28,6.31
13-14,1,1080,69.7,20.19,5.74,0.46,0.09,1.35,-4.37,-23.63,36.2,28.89,-4.6,-5.16
13-14,2,1080,39.61,27.78,11.48,2.31,0.37,1.41,-2.87,-32.81,32.69,38.24,-3.22,-4.09
13-14,3,1080,20.55,32.69,16.67,6.3,0.74,1.48,-2.38,-38.01,29.44,41.3,-1.86,1.18
14-15,1,1080,58.14,21.67,7.41,2.31,0.09,1.37,-8.64,-35.8,28.52,40.28,-13.0,-7.63
14-15,2,1080,30.17,27.5,11.48,4.72,0.46,1.41,-7.78,-48.86,23.8,48.8,-16.42,-11.48
14-15,3,1080,13.68,27.87,14.17,6.11,1.94,1.38,-6.07,-42.04,16.76,43.15,-16.09,-13.84
