k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,258,73.16,15.89,6.2,3.49,1.55,1.28,-9.55,-33.07,26.36,36.43,-15.84,-13.16,21.32,9.3,2.33,-14.39,16.28
1,0.0,258,73.16,13.57,4.26,3.49,1.55,1.27,-8.94,-31.01,27.52,34.11,-17.61,-12.55,18.6,8.14,1.94,-13.33,20.54
2,0.0,258,42.16,18.22,4.26,1.55,0.78,1.31,-13.66,-34.08,24.03,36.82,-21.02,-21.58,21.32,9.3,1.55,-15.16,12.02
3,0.0,258,22.78,21.32,5.81,2.33,0.39,1.31,-22.72,-33.33,20.93,38.37,-21.49,-20.52,20.93,10.47,1.55,-18.26,8.53
0,0.3,69,21.11,27.54,15.94,13.04,5.8,1.3,4.43,-71.02,14.49,68.12,-27.59,-9.08,20.29,15.94,8.7,36.26,14.49
1,0.3,69,34.82,24.64,14.49,13.04,5.8,1.27,7.44,-67.77,17.39,62.32,-25.72,-6.07,18.84,15.94,7.25,21.48,17.39
2,0.3,69,13.78,23.19,8.7,5.8,2.9,1.3,-3.79,-61.32,10.14,53.62,-39.79,-33.37,13.04,8.7,5.8,29.4,8.7
3,0.3,69,5.0,17.39,4.35,1.45,1.45,1.08,-32.97,-33.33,2.9,34.78,-39.91,-40.57,5.8,4.35,4.35,22.39,4.35
0,0.4,47,15.79,31.91,21.28,19.15,8.51,1.33,28.2,-72.93,14.89,72.34,-20.47,8.37,25.53,23.4,12.77,80.82,14.89
1,0.4,47,29.1,29.79,21.28,19.15,8.51,1.3,29.34,-75.86,17.02,68.09,-19.34,9.5,25.53,23.4,10.64,54.47,17.02
2,0.4,47,9.32,25.53,8.51,8.51,4.26,1.28,19.21,-47.92,8.51,48.94,-38.4,-24.22,12.77,12.77,8.51,72.77,8.51
3,0.4,47,5.0,19.15,4.26,2.13,2.13,1.0,-26.83,-33.33,2.13,27.66,-37.99,-37.99,6.38,6.38,6.38,62.02,6.38
0,0.5,24,9.73,50.0,37.5,33.33,16.67,1.98,121.06,-61.84,20.83,58.33,15.22,63.86,37.5,33.33,16.67,121.06,20.83
1,0.5,24,11.37,50.0,37.5,33.33,16.67,1.88,122.43,-55.6,25.0,54.17,16.59,65.23,37.5,33.33,16.67,122.43,25.0
2,0.5,24,5.0,37.5,12.5,12.5,8.33,1.28,96.63,-33.33,8.33,25.0,-23.13,-2.3,12.5,12.5,8.33,96.63,8.33
3,0.5,24,5.0,16.67,4.17,4.17,4.17,1.0,-1.71,-33.33,4.17,12.5,-30.52,-23.58,4.17,4.17,4.17,-1.71,4.17
