k,tau,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean,p_3x_toclose,p_5x_toclose,p_10x_toclose,net_mean_toclose,p_net_pos_toclose
0,0.0,250,79.19,13.6,4.4,2.4,0.0,1.29,-13.0,-24.72,30.0,27.6,-11.08,-8.8,20.0,4.4,0.4,-6.2,26.0
1,0.0,250,79.19,10.4,2.8,2.4,0.0,1.27,-13.94,-23.78,31.6,26.0,-13.08,-8.74,17.2,3.6,0.0,-6.98,27.6
2,0.0,250,46.71,18.4,5.2,1.6,0.0,1.32,-15.13,-33.33,27.6,34.0,-12.85,-14.71,23.6,7.2,0.4,-6.83,22.4
3,0.0,250,26.36,21.2,7.2,2.8,0.4,1.37,-15.64,-37.46,24.8,36.0,-14.74,-13.59,24.0,10.8,0.8,-6.65,18.0
0,0.3,61,25.66,24.59,9.84,9.84,0.0,1.31,-19.51,-55.32,19.67,50.82,-20.85,-2.29,13.11,13.11,1.64,-4.43,21.31
1,0.3,61,50.17,16.39,9.84,9.84,0.0,1.26,-20.81,-44.14,24.59,44.26,-18.14,0.53,13.11,13.11,0.0,-7.71,24.59
2,0.3,61,23.66,24.59,13.11,6.56,0.0,1.31,-22.2,-56.76,16.39,57.38,-22.07,-20.46,16.39,9.84,1.64,-5.1,19.67
3,0.3,61,9.81,21.31,9.84,3.28,1.64,1.36,-22.27,-50.59,11.48,50.82,-30.81,-32.95,11.48,6.56,3.28,2.73,11.48
0,0.4,39,23.08,28.21,15.38,15.38,0.0,1.32,-12.24,-64.05,20.51,56.41,-14.34,14.69,20.51,20.51,2.56,12.9,20.51
1,0.4,39,46.02,20.51,15.38,15.38,0.0,1.27,-17.23,-55.32,20.51,53.85,-13.06,16.15,20.51,20.51,0.0,0.72,20.51
2,0.4,39,20.81,28.21,17.95,10.26,0.0,1.32,-14.34,-59.28,17.95,61.54,-16.96,-11.62,23.08,15.38,2.56,15.31,17.95
3,0.4,39,7.79,23.08,12.82,5.13,2.56,1.38,-9.93,-48.75,12.82,48.72,-23.95,-26.64,15.38,10.26,5.13,37.59,12.82
0,0.5,16,18.86,50.0,31.25,31.25,0.0,1.96,34.54,-64.17,31.25,56.25,21.59,80.35,31.25,31.25,0.0,34.54,31.25
1,0.5,16,37.26,43.75,31.25,31.25,0.0,1.82,20.67,-58.23,31.25,56.25,23.01,82.21,31.25,31.25,0.0,20.67,31.25
2,0.5,16,14.97,50.0,37.5,18.75,0.0,1.8,35.36,-56.31,25.0,50.0,21.2,23.24,37.5,18.75,0.0,35.36,25.0
3,0.5,16,5.14,31.25,18.75,12.5,6.25,1.42,44.74,-33.33,18.75,25.0,-6.49,4.02,18.75,12.5,6.25,44.74,18.75
