index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
SENSEX,GO,0,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,12:15–12:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,12:45–13:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,13:15–13:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,0,13:45–14:15,12,0.26666666666666666,"{""2"": 0.5, ""1"": 0.5}",43.61563683824261,150.00500000000102,16.666666666666664,0.0,0.0,0.0,-33.5802668917953,-42.84789103830286,16.666666666666664,33.33333333333333,-33.5802668917953,-33.5802668917953
SENSEX,GO,0,14:15–14:55,25,0.5555555555555556,"{""1"": 0.64, ""2"": 0.36}",22.71843868792712,140.1999999999971,32.0,20.0,20.0,0.0,-14.941776641391998,-67.83312940341335,20.0,68.0,27.23029369497723,-10.359529253625944
SENSEX,GO,0,all,37,0.8222222222222222,"{""1"": 0.59, ""2"": 0.41}",23.077959316942724,140.1999999999971,27.027027027027028,13.513513513513514,13.513513513513514,0.0,-20.98669239827955,-64.04641670776839,18.91891891891892,56.75675675675676,7.5079497208888455,-17.890579298437626
SENSEX,GO,1,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,12:15–12:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,12:45–13:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,13:15–13:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,1,13:45–14:15,12,0.26666666666666666,,55.8169267004705,101.9900000000016,0.0,0.0,0.0,0.0,-32.22918791724551,-38.98655183237238,16.666666666666664,33.33333333333333,-32.22918791724551,-32.22918791724551
SENSEX,GO,1,14:15–14:55,25,0.5555555555555556,,40.897733664016414,101.83999999999651,28.000000000000004,20.0,20.0,0.0,-23.75708009827864,-64.04641670776839,20.0,64.0,28.4794320118573,-9.389150956196644
SENSEX,GO,1,all,37,0.8222222222222222,,46.0194105682458,101.83999999999651,18.91891891891892,13.513513513513514,13.513513513513514,0.0,-26.504790742267897,-55.320084668065874,18.91891891891892,54.054054054054056,8.790149872688815,-16.79673051113141
SENSEX,GO,2,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,12:15–12:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,12:45–13:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,13:15–13:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,2,13:45–14:15,12,0.26666666666666666,,28.24106013696928,201.9900000000016,16.666666666666664,0.0,0.0,0.0,-38.47670172848554,-50.3646689442782,16.666666666666664,50.0,-38.47670172848554,-38.47670172848554
SENSEX,GO,2,14:15–14:55,25,0.5555555555555556,,16.949713940672154,201.8399999999965,32.0,24.0,12.0,0.0,-21.723582343954213,-71.70859419683347,16.0,68.0,-10.035303916009111,-11.13987597948558
SENSEX,GO,2,all,37,0.8222222222222222,,20.81105858593037,201.8399999999965,27.027027027027028,16.216216216216218,8.108108108108109,0.0,-27.157026468667077,-59.27849968657893,16.216216216216218,62.16216216216216,-19.259541044379848,-20.005873519701783
SENSEX,GO,3,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,12:15–12:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,12:45–13:15,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,13:15–13:45,0,0.0,,,,,,,,,,,,,
SENSEX,GO,3,13:45–14:15,12,0.26666666666666666,,12.64871425721094,301.9900000000016,25.0,8.333333333333332,0.0,0.0,-39.22778747425465,-55.87723014902225,16.666666666666664,75.0,-39.22778747425465,-30.3673152732707
SENSEX,GO,3,14:15–14:55,25,0.5555555555555556,,5.606909017855287,301.8399999999965,20.0,12.0,4.0,4.0,-7.489469285387849,-33.333333333333336,8.0,36.0,-32.52138305028738,-25.913401730842555
SENSEX,GO,3,all,37,0.8222222222222222,,7.794622648551922,301.8399999999965,21.62162162162162,10.81081081081081,2.7027027027027026,2.7027027027027026,-17.782977887182486,-48.75365800551232,10.81081081081081,48.64864864864865,-34.69643313373622,-27.35791423108952
SENSEX,LEAN,0,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,0,12:15–12:45,3,0.06666666666666667,"{""1"": 0.67, ""2"": 0.33}",94.06184412438597,92.02999999999884,0.0,0.0,0.0,0.0,-48.1678134039641,-82.46284954625736,33.33333333333333,66.66666666666666,-48.1678134039641,-48.1678134039641
SENSEX,LEAN,0,12:45–13:15,5,0.1111111111111111,"{""1"": 0.8, ""2"": 0.2}",87.69677736475205,109.66000000000349,0.0,0.0,0.0,0.0,-37.10895096860754,-27.719359604433468,0.0,40.0,-37.10895096860754,-37.10895096860754
SENSEX,LEAN,0,13:15–13:45,7,0.15555555555555556,"{""2"": 0.57, ""1"": 0.43}",28.94433261847007,196.5399999999936,14.285714285714285,0.0,0.0,0.0,-27.638618556202125,-49.22428168626594,14.285714285714285,28.57142857142857,-27.638618556202125,-27.638618556202125
SENSEX,LEAN,0,13:45–14:15,6,0.13333333333333333,"{""1"": 0.5, ""2"": 0.5}",26.549069223355218,153.1800000000003,50.0,0.0,0.0,0.0,-16.70415486367779,-13.57992376889317,33.33333333333333,33.33333333333333,-16.70415486367779,-16.70415486367779
SENSEX,LEAN,0,14:15–14:55,1,0.022222222222222223,"{""1"": 1.0}",102.628511365343,51.580000000001746,0.0,0.0,0.0,0.0,-88.88119529899554,-88.88119529899554,0.0,100.0,-88.88119529899554,-88.88119529899554
