stock,option,lot_size_shares,screen_price_1pm_rs_per_share,PAY_to_buy_1_lot_at_1pm_rs,screen_price_1510_rs_per_share,PAY_to_buy_1_lot_at_1510_rs,settlement_rs_per_share,RECEIVE_for_1_lot_at_settlement_rs,PROFIT_1_lot_bought_1pm_rs,PROFIT_1_lot_bought_1510_rs
PAYTM,CE 1680,725,0.65,471.0,0.65,471.0,38.0,27550.0,27079.0,27079.0
BHARATFORG,CE 2040,500,1.65,825.0,1.65,825.0,12.5,6250.0,5425.0,5425.0
TATASTEEL,CE 185,2750,0.19,522.0,0.01,28.0,1.94,5335.0,4813.0,5307.0
DIVISLAB,CE 8700,100,4.5,450.0,4.5,450.0,44.5,4450.0,4000.0,4000.0
BOSCHLTD,CE 48500,25,2.0,50.0,40.05,1001.0,180.0,4500.0,4450.0,3499.0
ADANIENT,CE 3100,309,1.5,464.0,1.5,464.0,10.0,3090.0,2626.0,2626.0
TVSMOTOR,CE 4400,175,8.6,1505.0,8.6,1505.0,20.0,3500.0,1995.0,1995.0
ETERNAL,CE 330,2425,0.2,485.0,0.2,485.0,1.0,2425.0,1940.0,1940.0
CUMMINSIND,CE 5200,200,16.5,3300.0,30.55,6110.0,39.5,7900.0,4600.0,1790.0
MAZDOCK,CE 2600,225,2.2,495.0,2.2,495.0,10.0,2250.0,1755.0,1755.0
INFY,CE 1140,400,0.05,20.0,0.05,20.0,4.0,1600.0,1580.0,1580.0
HCLTECH,CE 1310,400,1.2,480.0,2.45,980.0,5.8,2320.0,1840.0,1340.0
ADANIPORTS,CE 1700,475,0.35,166.0,2.05,974.0,2.7,1282.0,1116.0,308.0
