symbol,otm,spot_1pm,spot_1510,cas_close,stk_1pm_to_1510_pct,stk_auction_pct,opt_1pm,opt_1510,opt_settle,opt_ret_1510_pct,opt_ret_1pm_pct,lot_size,cost_1_lot_at_1pm_rs,cost_1_lot_at_1510_rs,payout_1_lot_settle_rs,profit_1_lot_from_1510_rs,profit_1_lot_from_1pm_rs
PAYTM,CE 1680,1668.1,1668.1,1718.0,0.0,2.99,0.65,0.65,38.0,28.0,5746.0,725,471.0,471.0,27550.0,27079.0,27079.0
BHARATFORG,CE 2040,2030.0,2038.4,2052.5,0.41,0.69,1.65,1.65,12.5,2400.0,658.0,500,825.0,825.0,6250.0,5425.0,5425.0
TATASTEEL,CE 185,183.83,184.45,186.94,0.34,1.35,0.19,0.01,1.94,19300.0,921.0,2750,522.0,28.0,5335.0,5308.0,4812.0
DIVISLAB,CE 8700,8547.0,8675.0,8744.5,1.5,0.8,4.5,4.5,44.5,88900.0,889.0,100,450.0,450.0,4450.0,4000.0,4000.0
BOSCHLTD,CE 48500,47880.0,48250.0,48680.0,0.77,0.89,2.0,40.05,180.0,29.0,8900.0,25,50.0,1001.0,4500.0,3499.0,4450.0
ADANIENT,CE 3100,3035.8,3094.2,3110.0,1.92,0.51,1.5,1.5,10.0,199.0,567.0,309,464.0,464.0,3090.0,2626.0,2626.0
TVSMOTOR,CE 4400,4373.9,4373.9,4420.0,0.0,1.05,8.6,8.6,20.0,188.0,133.0,175,1505.0,1505.0,3500.0,1995.0,1995.0
ETERNAL,CE 330,329.25,329.6,331.0,0.11,0.42,0.2,0.2,1.0,1900.0,400.0,2425,485.0,485.0,2425.0,1940.0,1940.0
CUMMINSIND,CE 5200,5205.0,5194.5,5239.5,-0.2,0.87,16.5,30.55,39.5,29.0,139.0,200,3300.0,6110.0,7900.0,1790.0,4600.0
MAZDOCK,CE 2600,2538.9,2575.0,2610.0,1.42,1.36,2.2,2.2,10.0,19900.0,355.0,225,495.0,495.0,2250.0,1755.0,1755.0
INFY,CE 1140,1123.5,1131.6,1144.0,0.72,1.1,0.05,0.05,4.0,7900.0,7900.0,400,20.0,20.0,1600.0,1580.0,1580.0
HCLTECH,CE 1310,1297.4,1309.3,1315.8,0.92,0.5,1.2,2.45,5.8,5.0,383.0,400,480.0,980.0,2320.0,1340.0,1840.0
ADANIPORTS,CE 1700,1683.8,1695.2,1702.7,0.68,0.44,0.35,2.05,2.7,2600.0,671.0,475,166.0,974.0,1282.0,309.0,1116.0
