symbol,date,p1510,cas_close,approx_close,auction_move_pct,abs_move_pct,max_pain,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,best_option
HDFCBANK,2026-08-20,725.05,725.05,True,0.0,0.0,730.0,-0.683,32.4,0.177,0.66,0.1263,"{'side': 'CE', 'strike': 730.0, 'entry': 4.1, 'settle': 0.0, 'ret_pct': -100.0}"
HDFCBANK,2026-08-21,729.0,726.95,True,-0.281,0.281,740.0,-1.509,29.2,0.185,0.66,0.1814,"{'side': 'CE', 'strike': 730.0, 'entry': 3.5, 'settle': 0.0, 'ret_pct': -100.0}"
HDFCBANK,2026-08-24,727.45,729.0,True,0.213,0.213,730.0,-0.351,26.4,0.177,0.63,0.0871,"{'side': 'CE', 'strike': 730.0, 'entry': 1.55, 'settle': 0.0, 'ret_pct': -100.0}"
HDFCBANK,2026-08-25,724.0,727.5,False,0.483,0.483,740.0,-2.21,25.1,0.186,0.64,0.1633,"{'side': 'CE', 'strike': 730.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
KEI,2026-08-20,5671.4,5675.0,True,0.063,0.063,5600.0,1.259,21.4,0.121,0.62,0.086,"{'side': 'CE', 'strike': 5700.0, 'entry': 54.25, 'settle': 0.0, 'ret_pct': -100.0}"
KEI,2026-08-21,5518.0,5527.6,True,0.174,0.174,5600.0,-1.486,23.4,0.116,0.61,0.096,"{'side': 'CE', 'strike': 5600.0, 'entry': 28.5, 'settle': 0.0, 'ret_pct': -100.0}"
KEI,2026-08-24,5500.0,5494.0,True,-0.109,0.109,5500.0,0.0,42.3,0.148,0.84,0.0774,"{'side': 'CE', 'strike': 5600.0, 'entry': 11.6, 'settle': 0.0, 'ret_pct': -100.0}"
KEI,2026-08-25,5555.0,5588.0,False,0.594,0.594,5500.0,0.99,17.2,0.138,0.72,0.075,"{'side': 'CE', 'strike': 5600.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
BHARATFORG,2026-08-20,2055.0,2062.0,True,0.341,0.341,2080.0,-1.217,23.1,0.142,1.07,0.1039,"{'side': 'CE', 'strike': 2060.0, 'entry': 16.75, 'settle': 2.0, 'ret_pct': -88.0}"
BHARATFORG,2026-08-21,2062.0,2063.0,True,0.048,0.048,2080.0,-0.873,29.1,0.151,1.17,0.1104,"{'side': 'CE', 'strike': 2080.0, 'entry': 6.75, 'settle': 0.0, 'ret_pct': -100.0}"
BHARATFORG,2026-08-24,2040.7,2041.0,True,0.015,0.015,2080.0,-1.926,21.9,0.17,0.94,0.1361,"{'side': 'CE', 'strike': 2060.0, 'entry': 6.8, 'settle': 0.0, 'ret_pct': -100.0}"
BHARATFORG,2026-08-25,2038.4,2052.5,False,0.692,0.692,2080.0,-2.041,16.5,0.214,1.03,0.1421,"{'side': 'CE', 'strike': 2040.0, 'entry': 0.5, 'settle': 12.5, 'ret_pct': 2400.0}"
PAYTM,2026-08-20,1609.3,1603.6,True,-0.354,0.354,1580.0,1.821,34.1,0.156,0.6,0.1716,"{'side': 'CE', 'strike': 1620.0, 'entry': 13.45, 'settle': 0.0, 'ret_pct': -100.0}"
PAYTM,2026-08-21,1635.8,1632.0,True,-0.232,0.232,1600.0,2.189,26.5,0.161,0.62,0.1471,"{'side': 'CE', 'strike': 1640.0, 'entry': 9.25, 'settle': 0.0, 'ret_pct': -100.0}"
PAYTM,2026-08-24,1618.0,1623.5,True,0.34,0.34,1600.0,1.112,37.7,0.177,0.6,0.1781,"{'side': 'CE', 'strike': 1620.0, 'entry': 8.6, 'settle': 3.5, 'ret_pct': -59.0}"
PAYTM,2026-08-25,1668.1,1718.0,False,2.991,2.991,1580.0,5.281,6.1,0.172,0.71,0.069,"{'side': 'CE', 'strike': 1680.0, 'entry': 29.75, 'settle': 38.0, 'ret_pct': 28.0}"
NTPC,2026-08-20,338.85,337.5,True,-0.398,0.398,340.0,-0.339,16.0,0.18,0.49,0.0628,"{'side': 'CE', 'strike': 340.0, 'entry': 1.95, 'settle': 0.0, 'ret_pct': -100.0}"
NTPC,2026-08-21,339.45,340.0,True,0.162,0.162,345.0,-1.635,11.9,0.174,0.37,0.0953,"{'side': 'CE', 'strike': 340.0, 'entry': 2.3, 'settle': 0.0, 'ret_pct': -100.0}"
NTPC,2026-08-24,340.0,339.5,True,-0.147,0.147,345.0,-1.471,33.8,0.214,0.34,0.2312,"{'side': 'CE', 'strike': 345.0, 'entry': 0.15, 'settle': 0.0, 'ret_pct': -100.0}"
