symbol,shortlisted,spot_1pm,spot_1510,cas_close,stk_1pm_to_1510_pct,stk_auction_pct,otm,opt_1pm,opt_1510,opt_settle,opt_ret_1510_pct,opt_ret_1pm_pct
DIVISLAB,True,8547.0,8675.0,8744.5,1.5,0.8,CE 8700,4.5,4.5,44.5,88900.0,889.0
MAZDOCK,True,2538.9,2575.0,2610.0,1.42,1.36,CE 2600,2.2,2.2,10.0,19900.0,355.0
TATASTEEL,True,183.83,184.45,186.94,0.34,1.35,CE 185,0.19,0.01,1.94,19300.0,921.0
INFY,True,1123.5,1131.6,1144.0,0.72,1.1,CE 1140,0.05,0.05,4.0,7900.0,7900.0
ADANIPORTS,True,1683.8,1695.2,1702.7,0.68,0.44,CE 1700,0.35,2.05,2.7,2600.0,671.0
BHARATFORG,True,2030.0,2038.4,2052.5,0.41,0.69,CE 2040,1.65,1.65,12.5,2400.0,658.0
ETERNAL,True,329.25,329.6,331.0,0.11,0.42,CE 330,0.2,0.2,1.0,1900.0,400.0
ADANIENT,True,3035.8,3094.2,3110.0,1.92,0.51,CE 3100,1.5,1.5,10.0,199.0,567.0
TVSMOTOR,True,4373.9,4373.9,4420.0,0.0,1.05,CE 4400,8.6,8.6,20.0,188.0,133.0
CUMMINSIND,True,5205.0,5194.5,5239.5,-0.2,0.87,CE 5200,16.5,30.55,39.5,29.0,139.0
BOSCHLTD,True,47880.0,48250.0,48680.0,0.77,0.89,CE 48500,2.0,40.05,180.0,29.0,8900.0
PAYTM,False,1668.1,1668.1,1718.0,0.0,2.99,CE 1680,0.65,0.65,38.0,28.0,5746.0
HCLTECH,True,1297.4,1309.3,1315.8,0.92,0.5,CE 1310,1.2,2.45,5.8,5.0,383.0
BSE,False,3299.3,3295.1,3303.0,-0.13,0.24,CE 3300,9.7,4.0,3.0,-25.0,-69.0
NESTLEIND,True,1465.5,1466.5,1479.0,0.07,0.85,CE 1470,3.2,1.65,9.0,-33.0,181.0
CGPOWER,True,873.3,881.4,878.5,0.93,-0.33,PE 880,12.5,12.5,1.5,-62.0,-88.0
COALINDIA,True,401.45,402.7,404.0,0.31,0.32,CE 405,0.35,0.2,0.0,-100.0,-100.0
