symbol,liq_rank,spike,aug25_CAS_z,aug25_CAS_lasthr_pct,max_pain,p1510,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,jul28_preCAS_spike_pct,jun30_preCAS_spike_pct
TATASTEEL,32,1.35,13.1,0.39,185.0,184.45,-0.298,15.5,0.162,0.51,0.0536,0.0,0.21
INFY,7,1.1,10.1,0.77,1120.0,1131.6,1.025,44.3,0.179,0.8,0.1961,-0.27,0.54
CUMMINSIND,71,0.87,5.3,-0.01,5300.0,5194.5,-2.031,30.1,0.195,0.92,0.1959,-0.06,0.75
NESTLEIND,61,0.85,6.3,0.31,1470.0,1466.5,-0.239,30.1,0.156,1.08,0.0778,0.95,0.65
DIVISLAB,34,0.8,5.5,0.64,8500.0,8675.0,2.017,20.9,0.12,0.74,0.0923,0.13,0.52
NTPC,65,0.79,8.8,-0.06,345.0,337.2,-2.313,5.6,0.225,0.35,0.0878,-0.25,0.38
LICI,8,0.71,6.5,-0.36,415.0,421.0,1.425,33.7,0.159,0.59,0.1682,0.2,0.39
BHARATFORG,64,0.69,3.4,0.12,2080.0,2038.4,-2.041,16.5,0.214,1.03,0.1421,0.22,0.4
NYKAA,87,0.6,4.0,-0.05,335.0,332.0,-0.904,21.4,0.155,0.47,0.0926,-0.3,0.68
KEI,54,0.59,7.8,0.45,5500.0,5555.0,0.99,17.2,0.138,0.72,0.075,-0.09,-1.14
BOSCHLTD,82,0.58,7.8,0.88,48000.0,48250.0,0.518,11.7,0.306,0.24,0.1008,0.11,0.18
APOLLOHOSP,38,0.55,4.5,0.47,8800.0,8840.0,0.452,27.6,0.153,0.76,0.0836,0.45,0.04
TVSMOTOR,45,0.54,3.5,0.09,4300.0,4373.9,1.69,17.3,0.143,0.73,0.0976,-0.36,0.4
MANAPPURAM,62,0.52,3.1,0.11,365.0,365.55,0.15,28.4,0.135,0.73,0.0597,0.14,-0.37
ADANIENT,58,0.51,3.9,1.04,3050.0,3094.2,1.428,40.6,0.158,0.77,0.1943,-0.04,0.14
BAJFINANCE,13,0.5,3.6,0.26,1090.0,1082.0,-0.739,24.5,0.162,0.94,0.0972,0.24,0.09
HCLTECH,78,0.5,3.1,0.45,1320.0,1309.3,-0.817,18.5,0.147,0.89,0.0764,0.21,-0.07
BEL,31,0.5,7.2,0.29,400.0,411.2,2.724,18.7,0.153,0.83,0.1097,0.0,0.02
HDFCBANK,1,0.48,5.9,0.08,740.0,724.0,-2.21,25.1,0.186,0.64,0.1633,0.31,0.37
DIXON,21,0.48,3.0,1.26,14000.0,14863.0,5.806,23.6,0.142,0.61,0.1189,0.21,-0.11
NATIONALUM,43,0.47,3.1,0.48,390.0,395.95,1.503,16.2,0.163,0.69,0.1069,0.52,-0.16
ADANIPORTS,67,0.44,4.8,0.56,1700.0,1695.2,-0.283,31.5,0.153,0.66,0.0814,0.32,-0.07
MARUTI,26,0.42,4.8,0.5,13800.0,13621.0,-1.314,20.6,0.169,1.17,0.1196,-0.06,0.44
ETERNAL,12,0.42,3.1,-0.03,320.0,329.6,2.913,48.8,0.183,0.6,0.2687,-0.06,0.28
ITC,39,0.39,3.1,0.45,272.5,270.35,-0.795,17.6,0.181,1.2,0.0898,0.12,0.05
MAZDOCK,76,0.38,3.0,1.23,2500.0,2575.0,2.913,23.3,0.136,0.79,0.1135,-0.26,-0.4
SBIN,6,0.38,3.1,0.36,1040.0,1044.0,0.383,27.2,0.14,1.0,0.0717,0.35,0.24
CGPOWER,100,-0.33,3.2,0.83,860.0,881.4,2.428,36.8,0.148,0.83,0.1724,0.0,-0.15
COALINDIA,77,0.32,3.5,0.3,410.0,402.7,-1.813,22.0,0.176,0.64,0.141,0.01,0.25
