symbol,blasted,auction_pct,dist_to_strike_pct,margin_pct,strike_step_pct,lasthr_pct,day_to_1510_pct,typical_abs_eod_move,liq_rank,pcr_oi,atm_oi_share,oi_hhi,mp_dist_pct,call_oi_chg_day,put_oi_chg_day,doi_near_strike,late_vol_share,nifty50
PAYTM,True,2.99,0.71,2.28,1.2,0.45,2.65,0.121,10.0,0.71,6.1,0.172,5.281,-3191450.0,-287100.0,-266800.0,0.15,False
TATASTEEL,True,1.35,0.3,1.05,1.36,0.39,-1.05,0.066,32.0,0.51,15.5,0.162,-0.298,-8604750.0,-5128750.0,-1405250.0,0.1,True
CUMMINSIND,True,0.87,0.11,0.76,1.93,-0.01,0.3,0.126,71.0,0.92,30.1,0.195,-2.031,-197600.0,-134200.0,21600.0,0.06,False
BHARATFORG,True,0.69,0.08,0.61,0.98,0.12,-0.69,0.114,64.0,1.03,16.5,0.214,-2.041,-283000.0,-279500.0,-21000.0,0.09,False
DIVISLAB,True,0.8,0.29,0.51,1.15,0.64,1.48,0.088,34.0,0.74,20.9,0.12,2.017,-295900.0,-88600.0,-51700.0,0.02,False
TVSMOTOR,True,1.05,0.6,0.45,1.14,0.09,0.14,0.088,45.0,0.73,17.3,0.143,1.69,-304675.0,-116375.0,-156450.0,0.1,False
HCLTECH,True,0.5,0.05,0.45,0.76,0.45,0.32,0.089,78.0,0.89,18.5,0.147,-0.817,-491600.0,-445600.0,-36400.0,0.05,True
MAZDOCK,True,1.36,0.97,0.39,1.94,1.23,1.78,0.07,76.0,0.79,23.3,0.136,2.913,-600975.0,-122850.0,-346500.0,0.14,False
BOSCHLTD,True,0.89,0.52,0.37,1.04,0.88,0.27,0.046,82.0,0.24,11.7,0.306,0.518,-128000.0,-36275.0,-10425.0,0.08,False
INFY,True,1.1,0.74,0.36,1.33,0.77,0.07,0.068,7.0,0.8,44.3,0.179,1.025,-1184000.0,-1924800.0,-280000.0,0.08,True
ADANIENT,True,0.51,0.19,0.32,1.62,1.04,3.88,0.075,58.0,0.77,40.6,0.158,1.428,-814215.0,-131634.0,-226188.0,0.09,True
ETERNAL,True,0.42,0.12,0.3,1.52,-0.03,0.03,0.075,12.0,0.6,48.8,0.183,2.913,-9845500.0,-4323775.0,-4059450.0,0.02,True
ADANIPORTS,True,0.44,0.28,0.16,1.18,0.56,0.66,0.054,67.0,0.66,31.5,0.153,-0.283,-1435450.0,-586625.0,-849300.0,0.1,True
NESTLEIND,False,0.85,0.24,0.61,0.68,0.31,0.04,0.082,61.0,1.08,30.1,0.156,-0.239,-245000.0,-229500.0,-37000.0,0.1,True
