regime,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,09:15-10,1768,442,50.0,0.16,15.21,23.64,8.14,18.89,-3.41,-3.8,-5.84,36.54,-7.51,21.55,-9.15,112.72
expiry,10-11,3536,442,49.94,0.14,12.78,22.82,7.44,20.78,0.57,0.73,-1.61,38.4,-5.3,21.32,-5.73,100.32
expiry,11-12,3536,442,49.94,0.13,13.46,23.9,8.14,21.31,-0.32,-1.7,-4.22,38.66,-6.24,21.86,-6.52,93.23
expiry,12-13,3534,442,49.97,0.15,17.94,30.67,11.8,26.27,-0.57,-1.85,-4.69,38.14,-6.47,26.6,-6.08,84.6
expiry,13-14,3536,442,50.0,0.17,25.28,38.12,18.5,34.23,-2.24,-5.66,-8.89,33.82,-8.15,29.24,-6.52,73.99
expiry,14-15,3536,442,50.0,0.18,38.97,46.83,29.55,44.63,-3.62,-3.88,-8.98,30.63,-9.11,31.67,-4.72,53.86
non_expiry,09:15-10,6596,1649,49.94,0.17,17.42,26.24,10.11,21.48,-3.5,-3.94,-6.02,36.22,-7.72,23.32,-9.11,111.02
non_expiry,10-11,13186,1649,49.95,0.14,14.64,24.61,8.36,22.21,0.16,-0.49,-2.92,38.68,-5.73,22.71,-5.75,98.15
non_expiry,11-12,13188,1649,49.95,0.13,14.04,25.14,8.74,23.07,-0.13,-1.19,-3.87,38.6,-5.75,23.1,-5.45,89.45
non_expiry,12-13,13190,1649,49.98,0.14,18.34,30.3,12.08,26.53,-0.64,-2.63,-5.59,36.68,-7.17,26.0,-6.25,80.8
non_expiry,13-14,13192,1649,50.0,0.16,25.56,39.08,19.95,34.61,-1.82,-4.35,-7.82,33.93,-7.96,29.98,-5.57,69.61
non_expiry,14-15,13192,1649,50.0,0.16,38.9,46.57,28.93,43.43,-5.75,-6.74,-11.87,29.9,-10.04,31.19,-4.79,50.74
