signal,gap_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,gap<0.2%,6468,147,49.97,0.13,20.84,31.2,14.42,26.09,-0.24,-1.82,-5.6,35.5,-7.98,25.22,-5.9,69.37
BASELINE_every_bar,0.2-0.5%,6730,153,49.97,0.14,20.39,31.23,14.03,25.93,-2.31,-2.98,-6.06,35.97,-7.15,25.47,-5.99,78.86
BASELINE_every_bar,>0.5%,6248,142,49.98,0.19,22.14,32.62,14.95,27.51,-1.73,-2.98,-5.39,36.51,-6.11,26.52,-6.76,99.25
BB_squeeze_break,gap<0.2%,310,123,45.81,0.12,20.32,30.32,14.19,22.24,-9.0,-10.35,-14.83,33.55,-10.76,25.48,-5.17,61.81
BB_squeeze_break,0.2-0.5%,354,129,48.87,0.14,24.86,36.44,15.54,30.27,-2.87,2.02,-1.7,38.98,-5.8,30.23,-3.58,74.23
BB_squeeze_break,>0.5%,320,114,53.75,0.21,29.69,38.12,21.56,32.95,14.97,13.83,10.75,37.81,-3.04,32.5,-0.16,86.57
EMA9x21_trend,gap<0.2%,397,130,44.33,0.13,25.19,35.26,17.38,27.89,-0.88,3.09,-2.52,36.78,-8.67,28.46,-4.94,64.22
EMA9x21_trend,0.2-0.5%,353,133,49.01,0.13,23.51,33.14,15.58,24.36,-4.17,-7.46,-11.7,31.16,-8.98,27.48,-6.07,72.22
EMA9x21_trend,>0.5%,265,107,47.55,0.18,27.92,35.85,16.98,27.76,-4.93,-7.39,-9.97,34.72,-6.04,29.81,-4.57,95.6
LateBreak_1415,gap<0.2%,59,59,49.15,0.19,49.15,54.24,45.76,70.03,45.82,52.13,39.96,44.07,-6.23,40.68,-1.96,38.3
LateBreak_1415,0.2-0.5%,76,76,53.95,0.21,51.32,53.95,43.42,76.6,33.6,51.62,41.15,39.47,-6.25,39.47,0.93,42.17
LateBreak_1415,>0.5%,66,66,53.03,0.23,48.48,53.03,36.36,53.77,25.11,14.61,8.96,31.82,-8.1,33.33,-5.36,58.93
MidBreak_1015_1200,gap<0.2%,94,91,45.74,0.11,17.02,22.34,9.57,18.11,1.4,-5.61,-8.11,36.17,-8.17,20.21,-8.79,91.62
MidBreak_1015_1200,0.2-0.5%,94,93,44.68,0.14,15.96,26.6,7.45,19.61,-2.75,-2.88,-5.14,39.36,-4.86,25.53,-3.88,104.57
MidBreak_1015_1200,>0.5%,99,99,47.47,0.21,16.16,24.24,10.1,20.16,2.27,1.32,-0.53,36.36,-2.79,23.23,-2.36,124.14
ORB30,gap<0.2%,177,141,51.41,0.14,20.9,29.38,14.12,26.24,3.52,4.89,1.41,37.85,-5.59,24.29,-3.33,74.81
ORB30,0.2-0.5%,180,149,50.56,0.18,23.33,36.11,15.0,27.56,6.17,9.96,7.04,36.67,-1.88,31.67,-1.23,89.31
ORB30,>0.5%,180,141,46.11,0.17,21.11,30.0,12.78,20.68,8.51,2.84,0.28,37.22,-3.71,27.22,-4.58,117.36
ORB30_tight,gap<0.2%,159,126,52.2,0.14,22.01,29.56,13.84,25.93,4.77,6.09,2.53,38.99,-5.16,24.53,-3.54,74.27
ORB30_tight,0.2-0.5%,162,134,50.0,0.18,22.22,35.19,15.43,27.32,7.09,9.99,7.16,37.04,-1.52,31.48,-0.74,90.78
ORB30_tight,>0.5%,145,112,45.52,0.17,19.31,28.28,11.03,20.87,2.22,0.3,-2.2,38.62,-3.96,25.52,-4.52,116.49
PDH_PDL,gap<0.2%,117,110,50.43,0.16,20.51,29.06,12.82,20.47,2.31,-0.8,-3.97,36.75,-5.51,26.5,-6.05,86.4
PDH_PDL,0.2-0.5%,112,101,57.14,0.22,25.89,37.5,14.29,31.69,7.42,0.93,-1.89,40.18,-1.38,33.93,-0.56,112.09
PDH_PDL,>0.5%,82,75,45.12,0.21,28.05,40.24,19.51,33.46,-1.84,9.0,6.71,40.24,-6.09,29.27,-4.94,115.23
RSI_mom,gap<0.2%,861,146,47.62,0.12,23.58,31.94,16.96,25.81,-2.28,-3.08,-7.53,34.96,-9.28,26.25,-4.85,60.9
RSI_mom,0.2-0.5%,819,153,43.59,0.14,26.5,36.26,17.22,29.62,0.07,1.1,-2.74,35.16,-5.99,30.77,-4.08,72.17
RSI_mom,>0.5%,693,142,51.52,0.21,28.43,39.83,19.48,34.12,3.92,3.11,0.11,38.67,-4.21,31.89,-3.68,88.63
RangeExp,gap<0.2%,148,91,46.62,0.2,38.51,43.24,28.38,42.15,18.77,21.18,14.09,39.86,-7.64,31.76,-3.35,70.26
RangeExp,0.2-0.5%,146,89,49.32,0.24,41.1,45.21,30.14,37.79,20.12,11.7,7.32,35.62,-0.74,39.73,1.82,82.77
RangeExp,>0.5%,105,66,59.05,0.34,48.57,57.14,35.24,66.93,21.83,18.1,14.51,44.76,3.4,42.86,4.3,83.75
SessMean_cross,gap<0.2%,933,142,46.2,0.11,19.72,29.9,14.9,23.39,-2.69,-1.83,-6.9,35.48,-10.36,23.69,-4.99,61.41
SessMean_cross,0.2-0.5%,935,144,47.17,0.13,20.64,30.48,14.12,24.76,-3.12,-2.62,-6.24,35.72,-8.34,25.13,-6.43,72.91
SessMean_cross,>0.5%,817,130,47.61,0.16,22.28,33.78,16.77,25.49,-0.35,0.54,-2.35,39.78,-5.28,29.13,-3.94,92.56
