signal,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,09:15-10,1768,442,50.0,0.16,15.21,23.64,8.14,18.89,-3.41,-3.8,-5.84,36.54,-7.51,21.55,-9.15,112.72
BASELINE_every_bar,10-11,3536,442,49.94,0.14,12.78,22.82,7.44,20.78,0.57,0.73,-1.61,38.4,-5.3,21.32,-5.73,100.32
BASELINE_every_bar,11-12,3536,442,49.94,0.13,13.46,23.9,8.14,21.31,-0.32,-1.7,-4.22,38.66,-6.24,21.86,-6.52,93.23
BASELINE_every_bar,12-13,3534,442,49.97,0.15,17.94,30.67,11.8,26.27,-0.57,-1.85,-4.69,38.14,-6.47,26.6,-6.08,84.6
BASELINE_every_bar,13-14,3536,442,50.0,0.17,25.28,38.12,18.5,34.23,-2.24,-5.66,-8.89,33.82,-8.15,29.24,-6.52,73.99
BASELINE_every_bar,14-15,3536,442,50.0,0.18,38.97,46.83,29.55,44.63,-3.62,-3.88,-8.98,30.63,-9.11,31.67,-4.72,53.86
BB_squeeze_break,09:15-10,40,26,42.5,0.2,12.5,22.5,10.0,19.65,-14.9,4.75,3.08,35.0,-14.02,17.5,-6.26,148.79
BB_squeeze_break,10-11,25,24,60.0,0.16,20.0,32.0,4.0,30.7,9.41,-1.23,-3.57,48.0,3.87,28.0,5.71,101.91
BB_squeeze_break,11-12,218,121,59.17,0.2,25.69,36.24,13.3,31.4,8.14,10.61,7.97,48.17,2.19,33.03,5.02,95.27
BB_squeeze_break,12-13,256,151,47.27,0.16,21.09,32.81,15.62,26.81,5.94,8.17,5.07,40.23,-4.17,29.69,-4.06,77.97
BB_squeeze_break,13-14,244,161,47.13,0.15,28.69,38.93,21.72,31.68,1.5,0.4,-3.03,31.15,-7.28,31.97,-5.65,75.24
BB_squeeze_break,14-15,167,109,43.11,0.1,26.95,35.33,20.96,23.78,-10.32,-12.82,-17.19,24.55,-15.48,23.95,-8.06,51.25
BB_squeeze_break,15-15:30,34,29,52.94,0.05,32.35,32.35,17.65,19.37,-17.42,-17.42,-35.88,35.29,-27.89,29.41,-4.2,28.38
EMA9x21_trend,09:15-10,116,102,52.59,0.15,15.52,23.28,5.17,19.77,-3.29,-9.12,-10.96,29.31,-8.86,20.69,-9.39,116.61
EMA9x21_trend,10-11,118,96,46.61,0.13,17.8,24.58,8.47,17.93,0.39,-0.89,-3.01,38.14,-6.41,22.88,-5.75,109.96
EMA9x21_trend,11-12,136,112,48.53,0.14,14.71,29.41,9.56,20.46,-1.7,1.64,-0.78,41.91,-3.37,27.94,-5.52,101.18
EMA9x21_trend,12-13,157,128,49.04,0.16,25.48,37.58,17.2,28.96,1.31,1.43,-1.57,38.22,-1.43,35.67,-2.25,84.51
EMA9x21_trend,13-14,188,154,41.49,0.15,24.47,35.11,18.62,30.43,-6.1,-8.96,-12.41,28.72,-11.38,26.6,-7.13,71.81
EMA9x21_trend,14-15,223,172,42.6,0.14,36.32,44.84,28.25,40.95,-10.01,-7.1,-12.34,30.49,-9.34,31.84,-4.0,51.51
EMA9x21_trend,15-15:30,77,73,55.84,0.06,40.26,40.26,19.48,35.75,8.0,8.0,-9.24,38.96,-19.77,29.87,-2.79,24.63
LateBreak_1415,14-15,152,152,52.63,0.26,51.97,57.24,42.76,72.64,40.19,47.09,40.01,40.79,-4.13,38.82,-1.78,52.19
LateBreak_1415,15-15:30,49,49,51.02,0.07,42.86,42.86,38.78,39.05,16.45,16.45,-0.1,30.61,-15.29,34.69,-2.6,25.7
MidBreak_1015_1200,10-11,182,181,42.31,0.13,14.29,21.43,7.14,18.22,-2.03,-4.52,-6.58,35.16,-6.8,20.88,-6.82,110.61
MidBreak_1015_1200,11-12,105,105,52.38,0.16,20.0,29.52,12.38,20.06,4.45,1.47,-0.96,40.95,-2.51,26.67,-1.74,105.99
ORB30,09:15-10,150,150,45.33,0.16,20.0,31.33,10.67,24.62,6.01,5.2,2.88,38.67,-1.92,28.67,-2.3,110.46
ORB30,10-11,183,179,48.09,0.15,13.11,21.86,5.46,21.48,-0.42,-2.3,-4.5,33.88,-5.75,21.86,-5.02,109.03
ORB30,11-12,64,64,54.69,0.18,21.88,31.25,12.5,26.74,12.26,8.16,5.65,46.88,1.41,28.12,5.12,93.04
ORB30,12-13,53,53,49.06,0.14,20.75,28.3,13.21,24.99,-2.9,-17.09,-19.71,28.3,-7.31,26.42,-7.51,78.55
ORB30,13-14,40,40,47.5,0.24,32.5,45.0,27.5,26.95,1.07,10.92,8.14,40.0,-2.65,37.5,-3.88,93.85
ORB30,14-15,38,38,60.53,0.35,50.0,65.79,50.0,89.23,35.98,62.05,55.9,39.47,-4.94,36.84,-3.34,52.37
ORB30,15-15:30,9,9,66.67,0.12,66.67,66.67,44.44,66.93,44.34,44.34,21.32,44.44,-7.19,55.56,-2.12,12.72
ORB30_tight,09:15-10,135,135,43.7,0.15,20.0,28.89,10.37,23.5,6.9,5.79,3.44,39.26,-3.35,25.93,-3.02,108.95
ORB30_tight,10-11,154,152,48.7,0.14,12.99,22.08,5.19,21.91,-0.04,-1.23,-3.52,35.06,-4.97,22.08,-4.7,104.57
