signal,or_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,OR<40%,10384,236,50.0,0.15,19.22,29.37,12.7,25.07,-2.47,-3.77,-6.81,35.81,-7.53,24.11,-6.55,81.29
BASELINE_every_bar,40-70%,7258,165,49.93,0.15,21.82,32.83,15.16,27.09,-1.85,-3.72,-6.71,35.75,-6.88,26.65,-6.02,81.54
BASELINE_every_bar,>70% of typ range,1804,41,50.0,0.19,28.99,40.19,21.73,34.31,6.16,8.72,4.86,37.92,-5.4,31.26,-4.97,82.87
BB_squeeze_break,OR<40%,583,209,48.2,0.15,23.5,32.08,15.09,25.92,-0.12,-1.15,-4.68,34.99,-7.89,26.59,-4.89,75.52
BB_squeeze_break,40-70%,323,126,50.15,0.14,23.53,35.29,16.1,30.1,-7.42,-8.14,-11.84,35.6,-6.69,30.65,-1.73,75.04
BB_squeeze_break,>70% of typ range,78,31,56.41,0.29,42.31,56.41,35.9,64.63,44.26,67.06,61.48,56.41,5.04,46.15,6.24,64.65
EMA9x21_trend,OR<40%,561,200,46.88,0.13,22.46,30.3,16.04,22.52,-4.13,-5.27,-9.89,32.44,-10.81,24.78,-7.81,74.32
EMA9x21_trend,40-70%,362,136,46.13,0.13,27.9,38.67,15.75,29.72,-4.26,-3.85,-7.67,34.25,-4.96,32.04,-2.94,73.33
EMA9x21_trend,>70% of typ range,92,34,48.91,0.18,32.61,45.65,23.91,45.27,7.99,10.68,5.99,45.65,-3.79,36.96,1.35,78.8
LateBreak_1415,OR<40%,112,112,51.79,0.21,46.43,50.0,40.18,50.72,23.91,32.72,23.4,41.07,-8.69,35.71,-3.69,50.63
LateBreak_1415,40-70%,73,73,47.95,0.16,49.32,52.05,36.99,55.9,31.86,26.42,16.91,31.51,-7.68,36.99,-1.45,40.85
LateBreak_1415,>70% of typ range,16,16,75.0,0.74,75.0,87.5,75.0,234.18,119.45,148.09,138.8,50.0,9.85,56.25,7.52,51.15
MidBreak_1015_1200,OR<40%,170,166,44.12,0.14,12.94,21.18,8.82,17.74,-1.61,-0.24,-2.53,35.88,-7.43,19.41,-7.6,108.65
MidBreak_1015_1200,40-70%,98,98,50.0,0.15,20.41,28.57,8.16,27.66,0.79,-5.89,-8.05,39.8,-2.33,27.55,-1.66,106.2
MidBreak_1015_1200,>70% of typ range,19,19,42.11,0.17,26.32,31.58,15.79,16.05,15.53,-2.58,-4.16,36.84,-0.55,31.58,1.57,132.53
ORB30,OR<40%,305,236,46.56,0.15,17.7,26.56,11.15,23.31,4.73,4.45,1.44,37.05,-5.85,23.28,-5.63,95.2
ORB30,40-70%,187,158,52.41,0.18,26.74,38.5,16.04,31.16,2.68,4.09,1.3,38.5,0.14,34.22,1.25,98.86
ORB30,>70% of typ range,45,37,55.56,0.26,28.89,40.0,24.44,32.99,29.37,23.26,19.67,33.33,-5.28,31.11,-3.35,91.01
ORB30_tight,OR<40%,305,236,46.56,0.15,17.7,26.56,11.15,23.31,4.73,4.45,1.44,37.05,-5.85,23.28,-5.63,95.2
ORB30_tight,40-70%,161,136,54.66,0.19,27.95,39.75,18.01,31.73,4.88,7.91,5.0,40.37,0.89,34.78,2.36,97.76
PDH_PDL,OR<40%,160,146,51.88,0.18,21.25,31.25,15.0,20.68,4.22,3.7,0.57,33.12,-9.36,23.75,-12.59,108.2
PDH_PDL,40-70%,122,113,51.64,0.18,22.95,33.61,13.11,31.22,-1.48,-0.99,-3.47,44.26,-1.11,31.97,3.15,103.2
PDH_PDL,>70% of typ range,29,27,48.28,0.29,48.28,62.07,24.14,55.36,15.68,9.56,7.1,48.28,11.53,55.17,15.67,102.96
RSI_mom,OR<40%,1271,236,46.89,0.14,25.65,34.7,16.52,26.93,0.53,-1.09,-4.95,35.8,-7.01,28.64,-5.09,71.99
RSI_mom,40-70%,876,165,47.72,0.14,25.23,35.27,18.49,30.25,-1.31,-0.67,-4.4,35.5,-7.53,28.42,-4.55,72.31
RSI_mom,>70% of typ range,226,40,48.67,0.18,30.97,43.36,22.12,39.2,5.76,10.5,6.65,40.27,-1.39,38.05,1.72,79.09
RangeExp,OR<40%,232,133,51.29,0.23,41.81,46.55,30.17,44.73,12.69,9.1,4.62,37.5,-2.8,36.64,-0.64,75.75
RangeExp,40-70%,122,84,49.18,0.25,39.34,46.72,27.87,43.85,19.57,16.02,11.29,39.34,-1.62,37.7,5.44,91.86
RangeExp,>70% of typ range,45,29,53.33,0.32,51.11,55.56,42.22,54.71,59.48,59.52,49.52,51.11,-0.78,42.22,-6.55,78.55
SessMean_cross,OR<40%,1452,225,46.56,0.13,19.42,29.13,14.19,24.07,-3.02,-3.76,-7.62,36.78,-8.78,24.24,-5.3,75.18
SessMean_cross,40-70%,978,153,47.03,0.13,21.98,33.74,15.64,25.56,-2.65,-1.03,-4.81,37.32,-7.11,27.71,-5.06,75.8
SessMean_cross,>70% of typ range,255,38,49.02,0.14,24.31,34.12,19.22,32.26,4.96,10.79,6.18,35.69,-8.09,27.84,-4.85,69.93
