signal,vol_regime,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,high,5850,133,50.0,0.18,19.33,29.44,13.09,24.08,-2.81,-5.07,-7.29,34.77,-7.3,23.98,-8.37,100.87
BASELINE_every_bar,low,7436,169,49.93,0.13,22.97,33.8,15.71,28.32,0.59,0.84,-3.22,36.65,-7.17,27.12,-4.89,65.7
BASELINE_every_bar,mid,6160,140,50.0,0.16,20.52,31.22,14.24,26.35,-2.58,-4.38,-7.17,36.35,-6.8,25.68,-5.74,85.22
BB_squeeze_break,high,297,114,47.81,0.17,22.56,30.98,14.48,26.4,-5.11,-6.11,-8.88,33.67,-7.5,26.26,-3.0,86.58
BB_squeeze_break,low,351,138,52.71,0.14,26.5,37.89,19.66,32.92,6.19,12.3,7.38,39.89,-6.21,31.62,-3.01,60.45
BB_squeeze_break,mid,336,114,47.62,0.14,25.6,35.71,16.67,28.16,0.98,-1.71,-5.09,36.61,-5.83,30.06,-2.89,74.96
EMA9x21_trend,high,296,114,50.0,0.17,24.66,33.78,14.19,26.48,1.43,-4.34,-7.46,34.46,-6.72,28.04,-5.33,89.77
EMA9x21_trend,low,371,132,45.28,0.12,26.95,36.12,19.68,29.3,-4.8,1.51,-3.89,36.93,-7.95,29.11,-3.66,59.4
EMA9x21_trend,mid,348,124,45.69,0.14,24.14,33.91,15.52,23.98,-5.07,-7.59,-11.85,31.32,-9.4,28.16,-6.85,85.27
LateBreak_1415,high,56,56,53.57,0.22,46.43,50.0,39.29,51.44,13.16,5.24,-0.78,30.36,-8.37,33.93,-2.65,55.52
LateBreak_1415,low,85,85,50.59,0.18,52.94,56.47,43.53,74.33,49.68,63.96,51.65,44.71,-7.51,40.0,-0.27,36.6
LateBreak_1415,mid,60,60,53.33,0.22,48.33,53.33,41.67,58.79,32.57,37.22,28.83,36.67,-4.5,38.33,-3.78,54.72
MidBreak_1015_1200,high,99,98,41.41,0.15,14.14,18.18,10.1,17.79,0.16,-6.6,-8.25,34.34,-7.3,18.18,-8.06,124.81
MidBreak_1015_1200,low,107,107,52.34,0.12,20.56,30.84,13.08,19.13,5.4,6.43,3.51,41.12,-3.71,28.04,-2.85,74.68
MidBreak_1015_1200,mid,81,78,43.21,0.17,13.58,23.46,2.47,22.58,-6.12,-8.65,-10.58,35.8,-4.7,22.22,-3.98,120.18
ORB30,high,161,130,49.69,0.19,21.74,29.81,13.66,25.3,7.82,3.56,1.05,39.13,-2.58,26.09,-2.09,125.19
ORB30,low,202,165,49.5,0.13,20.79,32.67,14.85,26.55,3.71,9.04,5.54,38.12,-5.26,27.72,-3.94,72.82
ORB30,mid,174,136,48.85,0.17,22.99,32.76,13.22,23.77,7.21,4.42,1.6,34.48,-2.97,29.31,-2.9,106.39
ORB30_tight,high,139,111,48.2,0.18,20.86,27.34,11.51,24.75,5.54,2.28,-0.38,38.85,-3.77,23.02,-2.87,120.07
ORB30_tight,low,169,137,51.48,0.14,20.71,33.73,15.98,27.63,6.29,14.27,10.63,40.83,-3.93,28.99,-3.03,73.52
ORB30_tight,mid,158,124,48.1,0.16,22.15,31.65,12.66,23.3,2.5,-0.61,-3.17,34.81,-2.87,29.11,-2.7,106.39
PDH_PDL,high,94,86,54.26,0.23,26.6,34.04,17.02,24.85,7.93,-0.31,-2.72,34.04,-5.05,28.72,-4.36,132.48
PDH_PDL,low,120,110,49.17,0.15,21.67,32.5,15.83,25.13,4.88,9.23,5.79,41.67,-5.09,28.33,-4.15,84.45
PDH_PDL,mid,97,90,51.55,0.22,25.77,39.18,12.37,33.87,-3.93,-3.41,-5.83,40.21,-2.2,32.99,-2.76,116.46
RSI_mom,high,731,133,47.47,0.17,24.62,34.47,15.18,27.74,-0.31,-4.14,-7.02,34.75,-6.58,28.04,-5.86,89.39
RSI_mom,low,897,169,49.5,0.13,27.87,37.9,20.62,32.3,3.05,7.28,2.47,37.68,-6.43,31.22,-2.54,57.17
RSI_mom,mid,745,139,44.7,0.15,25.1,34.36,16.91,27.49,-2.27,-4.16,-7.69,35.57,-7.03,28.72,-4.7,79.03
RangeExp,high,136,79,53.68,0.24,42.65,48.53,30.88,47.86,8.53,6.54,3.36,39.71,0.52,39.71,2.31,87.53
RangeExp,low,146,93,52.74,0.25,46.58,52.05,38.36,54.56,49.7,51.41,43.68,45.21,-0.68,41.1,2.86,61.17
RangeExp,mid,117,74,45.3,0.22,35.9,41.03,21.37,32.99,-3.49,-14.12,-18.43,32.48,-7.3,30.77,-4.37,86.62
SessMean_cross,high,791,123,46.27,0.14,20.35,30.21,14.16,23.03,-3.02,-4.65,-7.58,36.03,-8.3,24.27,-6.69,88.85
SessMean_cross,low,1039,158,46.2,0.11,21.56,31.47,16.36,25.73,-0.44,2.91,-2.08,37.25,-8.99,26.37,-5.14,59.87
SessMean_cross,mid,855,135,48.54,0.15,20.35,32.05,14.74,25.25,-3.35,-3.59,-7.05,37.19,-6.86,26.67,-3.81,80.85
