signal,year,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,2016,1364,31,50.0,0.15,21.63,32.4,15.25,24.71,-0.38,-1.51,-6.66,34.9,-8.08,27.13,-3.97,46.68
BASELINE_every_bar,2017,2288,52,49.96,0.12,21.85,31.91,14.55,26.85,1.52,1.14,-5.01,34.83,-9.54,25.35,-4.16,43.05
BASELINE_every_bar,2018,2288,52,49.96,0.14,22.42,34.27,16.48,30.11,0.29,0.69,-3.28,37.72,-7.18,27.14,-4.17,57.94
BASELINE_every_bar,2019,2286,52,50.0,0.16,21.78,33.25,15.0,28.06,-1.04,-2.08,-5.05,37.4,-6.3,26.73,-5.35,74.77
BASELINE_every_bar,2020,2332,53,50.0,0.26,19.64,29.5,12.78,24.84,-3.76,-6.43,-8.39,35.89,-6.19,25.17,-7.98,107.5
BASELINE_every_bar,2021,2288,52,50.0,0.19,21.2,31.95,13.94,27.75,-2.39,-3.59,-5.58,36.01,-5.79,26.22,-6.93,109.05
BASELINE_every_bar,2022,2288,52,50.0,0.17,21.59,32.3,15.17,28.32,-1.33,-0.1,-2.27,38.11,-5.82,25.74,-6.17,107.13
BASELINE_every_bar,2023,2288,52,49.91,0.13,21.81,33.13,15.34,28.02,-1.58,-2.75,-5.2,36.71,-6.59,26.88,-6.06,89.24
BASELINE_every_bar,2024,2024,46,49.95,0.12,17.84,25.99,11.61,18.88,-4.08,-8.93,-10.71,31.32,-8.98,21.2,-10.64,116.81
LateBreak_1415,2016,12,12,50.0,0.26,66.67,66.67,41.67,67.78,68.14,67.3,45.72,41.67,7.3,58.33,2.84,33.0
LateBreak_1415,2017,23,23,52.17,0.19,56.52,60.87,56.52,201.37,65.12,113.15,87.71,47.83,-8.73,47.83,2.46,16.43
LateBreak_1415,2018,29,29,55.17,0.15,51.72,55.17,41.38,55.9,51.0,30.97,18.05,34.48,-14.59,34.48,-2.04,30.17
LateBreak_1415,2019,24,24,50.0,0.19,45.83,50.0,41.67,50.99,3.95,5.21,-0.42,37.5,-11.85,29.17,-2.62,44.46
LateBreak_1415,2020,22,22,45.45,0.33,36.36,40.91,36.36,42.71,-3.49,-10.25,-13.85,22.73,-11.41,27.27,-9.36,69.4
LateBreak_1415,2021,26,26,53.85,0.33,57.69,61.54,38.46,74.74,33.65,40.06,35.93,50.0,3.67,46.15,0.64,66.21
LateBreak_1415,2022,25,25,68.0,0.23,44.0,52.0,44.0,74.33,83.67,94.27,87.97,44.0,-5.5,36.0,-2.71,56.2
LateBreak_1415,2023,25,25,48.0,0.18,52.0,56.0,44.0,92.48,11.18,44.9,38.83,44.0,-6.46,36.0,-5.11,44.11
LateBreak_1415,2024,15,15,40.0,0.09,40.0,40.0,26.67,36.28,-9.62,-51.0,-53.52,13.33,-6.74,33.33,1.2,68.93
ORB30,2016,36,30,44.44,0.14,19.44,30.56,16.67,17.26,1.66,11.99,7.29,36.11,-11.45,22.22,-5.81,50.53
ORB30,2017,61,52,47.54,0.1,19.67,26.23,16.39,25.71,7.34,8.81,3.19,36.07,-8.43,24.59,-3.59,43.14
ORB30,2018,67,52,47.76,0.14,31.34,35.82,14.93,31.29,25.94,3.55,-1.36,29.85,-4.28,29.85,-1.64,63.94
ORB30,2019,64,51,53.12,0.19,23.44,32.81,14.06,26.22,3.03,-6.93,-9.55,39.06,-0.74,28.12,0.76,79.95
ORB30,2020,66,53,50.0,0.29,21.21,31.82,15.15,21.19,6.11,6.79,4.97,40.91,-0.47,27.27,-1.42,119.84
ORB30,2021,68,51,45.59,0.17,17.65,30.88,8.82,20.86,-3.72,-0.73,-2.47,36.76,-1.7,30.88,-1.95,119.41
ORB30,2022,64,51,59.38,0.18,20.31,34.38,14.06,26.11,9.79,15.57,13.68,43.75,0.48,31.25,0.76,126.72
ORB30,2023,62,50,46.77,0.13,24.19,33.87,14.52,30.22,3.76,16.96,14.38,38.71,-5.73,25.81,-8.01,102.87
ORB30,2024,49,41,46.94,0.13,16.33,28.57,12.24,23.39,-3.78,-0.86,-2.37,32.65,-5.38,26.53,-9.61,149.29
RangeExp,2016,33,19,54.55,0.25,54.55,57.58,36.36,58.43,46.74,37.6,29.78,48.48,7.29,51.52,2.92,44.47
RangeExp,2017,55,32,34.55,0.17,40.0,43.64,36.36,39.78,52.74,57.09,42.52,36.36,-12.61,30.91,-3.57,42.05
RangeExp,2018,47,31,48.94,0.19,53.19,57.45,38.3,63.33,6.82,-1.15,-6.76,40.43,-0.43,44.68,2.76,52.86
RangeExp,2019,52,28,55.77,0.27,48.08,53.85,32.69,58.67,-0.66,-3.16,-6.78,36.54,-0.99,38.46,3.33,72.65
RangeExp,2020,41,28,53.66,0.29,26.83,31.71,24.39,24.35,-4.46,-9.09,-10.86,31.71,-7.12,26.83,-10.74,102.12
RangeExp,2021,52,33,50.0,0.26,36.54,42.31,25.0,35.73,-3.49,0.95,-1.23,40.38,-4.44,32.69,-2.93,107.29
RangeExp,2022,36,24,55.56,0.35,47.22,52.78,36.11,67.24,56.06,55.55,51.32,38.89,1.97,41.67,7.0,112.17
RangeExp,2023,39,25,58.97,0.25,48.72,53.85,28.21,64.72,30.05,22.35,18.87,51.28,5.53,43.59,7.86,96.13
RangeExp,2024,44,26,52.27,0.18,27.27,38.64,20.45,35.8,10.29,0.75,-1.07,36.36,-2.77,34.09,1.18,140.72
