regime,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,BASELINE_every_bar,19446,442,49.97,0.15,21.1,31.67,14.46,26.47,-1.43,-2.59,-5.69,35.99,-7.09,25.72,-6.21,81.54
expiry,BB_squeeze_break,984,366,49.49,0.15,25.0,35.06,17.07,28.82,1.0,1.96,-1.79,36.89,-6.47,29.47,-2.97,74.88
expiry,EMA9x21,1309,405,46.6,0.13,24.29,33.38,16.04,25.93,-4.0,-4.11,-8.3,33.84,-8.69,27.58,-5.61,74.84
expiry,EMA9x21_trend,1015,370,46.8,0.14,25.32,34.68,16.65,26.47,-3.08,-3.32,-7.66,34.29,-8.09,28.47,-5.24,74.32
expiry,LateBreak_1415,201,201,52.24,0.21,49.75,53.73,41.79,66.07,34.4,39.62,30.23,38.31,-6.85,37.81,-1.98,44.94
expiry,MidBreak_1015_1200,287,283,45.99,0.15,16.38,24.39,9.06,19.13,0.34,-2.32,-4.52,37.28,-5.23,23.0,-4.96,109.26
expiry,ORB15,578,438,50.17,0.17,19.9,28.89,12.46,21.8,3.35,2.43,-0.27,35.29,-6.23,24.91,-7.32,104.62
expiry,ORB30,537,431,49.35,0.16,21.79,31.84,13.97,25.06,6.08,5.9,2.92,37.24,-3.72,27.75,-3.04,96.08
expiry,ORB30_tight,466,372,49.36,0.16,21.24,31.12,13.52,24.75,4.78,5.65,2.67,38.2,-3.52,27.25,-2.87,95.93
expiry,PDH_PDL,311,286,51.45,0.18,24.44,35.05,15.11,29.35,3.05,2.41,-0.41,38.91,-4.18,29.9,-3.78,105.87
expiry,RSI_mom,2373,441,47.37,0.14,26.0,35.74,17.78,29.27,0.35,0.17,-3.64,36.11,-6.67,29.46,-4.24,73.04
expiry,RSI_rev,1006,377,45.83,0.15,20.68,30.02,13.22,23.6,-6.99,-10.9,-13.99,32.31,-9.6,23.76,-7.72,85.7
expiry,RangeExp,399,246,50.88,0.24,42.11,47.62,30.83,46.45,20.07,16.9,11.72,39.6,-2.21,37.59,0.55,80.05
expiry,SessMean_cross,2685,416,46.96,0.13,20.82,31.28,15.2,24.76,-2.13,-1.38,-5.28,36.87,-8.11,25.85,-5.17,75.04
non_expiry,BASELINE_every_bar,72544,1649,49.97,0.15,21.85,32.52,15.11,27.33,-1.81,-3.16,-6.38,35.62,-7.37,26.3,-5.89,77.75
non_expiry,BB_squeeze_break,3558,1351,47.08,0.13,26.76,35.78,19.11,28.52,1.5,-2.08,-7.03,32.77,-7.72,29.76,-4.59,67.02
non_expiry,EMA9x21,4872,1516,47.29,0.13,25.39,34.75,17.92,28.29,-1.68,-3.85,-8.39,34.07,-9.05,27.61,-5.85,70.0
non_expiry,EMA9x21_trend,3726,1378,47.05,0.13,25.58,34.49,17.93,27.74,-2.34,-4.68,-9.42,33.66,-9.27,27.62,-6.03,69.18
non_expiry,LateBreak_1415,683,680,52.71,0.16,47.58,51.98,34.7,54.19,16.69,18.68,9.77,35.87,-5.06,40.7,-1.11,45.02
non_expiry,MidBreak_1015_1200,1007,989,47.17,0.14,20.16,28.6,11.12,24.84,3.68,-0.52,-2.88,34.26,-4.4,27.01,-5.32,102.99
non_expiry,ORB15,2159,1623,47.24,0.16,21.82,30.01,13.71,22.58,1.41,-1.55,-4.55,34.37,-6.91,26.54,-8.11,102.41
non_expiry,ORB30,1961,1579,47.78,0.16,24.48,33.45,15.6,27.15,5.63,3.31,-0.02,36.26,-3.73,30.24,-3.61,92.3
non_expiry,ORB30_tight,1606,1259,47.76,0.15,23.54,32.5,14.45,26.24,3.92,2.46,-0.95,36.11,-3.89,29.58,-3.78,91.03
non_expiry,PDH_PDL,1114,1034,51.62,0.18,25.85,33.12,15.8,25.59,6.06,3.14,-0.44,36.27,-5.9,28.19,-8.17,97.9
non_expiry,RSI_mom,8707,1640,47.16,0.13,25.82,34.16,17.41,27.05,-0.56,-2.67,-6.92,33.44,-8.5,27.71,-5.73,71.73
non_expiry,RSI_rev,3617,1362,47.03,0.15,21.54,29.91,14.35,22.62,-8.49,-10.56,-13.83,31.74,-10.81,23.06,-9.19,82.94
non_expiry,RangeExp,1386,903,51.52,0.2,40.76,46.61,28.43,44.42,11.4,6.89,2.77,34.56,-1.27,39.25,-1.02,77.8
non_expiry,SessMean_cross,10213,1524,48.18,0.12,21.08,30.9,14.99,24.57,-2.3,-3.1,-7.05,34.6,-8.7,25.24,-5.6,70.01
expiry_staticIV,BASELINE_every_bar,19446,442,49.97,0.15,18.11,27.96,12.12,23.97,-2.07,-3.79,-6.6,36.12,-6.14,23.6,-5.31,88.34
expiry_staticIV,BB_squeeze_break,984,366,49.49,0.15,19.51,29.88,13.82,23.6,-0.71,-0.29,-3.61,36.08,-6.2,26.02,-3.36,82.57
expiry_staticIV,EMA9x21,1309,405,46.6,0.13,20.7,29.95,13.52,23.69,-3.83,-4.16,-8.01,34.0,-7.23,25.67,-4.09,81.5
expiry_staticIV,EMA9x21_trend,1015,370,46.8,0.14,21.38,31.23,14.58,24.77,-2.87,-3.42,-7.44,34.48,-6.82,26.4,-3.66,81.5
expiry_staticIV,LateBreak_1415,201,201,52.24,0.21,48.76,52.74,41.29,60.73,35.98,39.43,30.19,38.31,-7.38,36.82,-2.53,45.88
expiry_staticIV,MidBreak_1015_1200,287,283,45.99,0.15,13.24,23.0,7.67,18.84,-0.71,-0.31,-2.42,38.68,-2.97,21.6,-3.17,111.91
expiry_staticIV,ORB15,578,438,50.17,0.17,17.99,27.16,11.42,23.03,5.07,5.29,2.65,39.45,-3.78,22.49,-3.47,108.26
expiry_staticIV,ORB30,537,431,49.35,0.16,18.99,30.54,12.66,22.04,5.12,5.74,2.93,38.18,-3.88,24.58,-2.87,99.0
expiry_staticIV,ORB30_tight,466,372,49.36,0.16,17.81,29.18,11.59,21.39,2.58,4.26,1.55,38.84,-3.51,24.25,-3.06,103.06
expiry_staticIV,PDH_PDL,311,286,51.45,0.18,22.51,32.15,15.76,28.75,5.23,5.66,2.9,43.41,-3.29,27.65,-1.77,107.27
expiry_staticIV,RSI_mom,2373,441,47.37,0.14,21.87,31.44,15.89,26.04,-0.71,-0.81,-4.35,35.36,-7.1,26.34,-4.97,78.61
expiry_staticIV,RSI_rev,1006,377,45.83,0.15,19.98,27.14,12.33,22.47,-1.72,-5.59,-9.06,33.7,-7.51,22.56,-5.06,88.78
expiry_staticIV,RangeExp,399,246,50.88,0.24,41.6,49.87,31.08,48.34,28.16,29.49,23.32,41.85,-2.78,36.59,0.4,72.0
expiry_staticIV,SessMean_cross,2685,416,46.96,0.13,17.24,27.04,11.88,21.08,-3.07,-3.66,-7.16,35.79,-7.04,23.09,-4.61,81.49
expiry_CASmodel,BASELINE_every_bar,19446,442,49.97,0.15,17.93,28.35,11.41,24.58,0.88,1.65,-0.95,39.73,-5.07,24.87,-5.22,93.17
expiry_CASmodel,BB_squeeze_break,969,366,49.02,0.15,21.47,31.79,13.52,26.37,5.16,8.08,5.33,40.56,-2.52,29.21,-1.34,88.37
expiry_CASmodel,EMA9x21,1266,400,46.13,0.13,19.91,29.23,12.09,23.28,-0.43,0.51,-2.2,37.91,-5.11,26.7,-4.36,92.12
expiry_CASmodel,EMA9x21_trend,986,368,46.35,0.14,20.59,30.12,12.47,23.38,0.03,0.92,-1.8,38.34,-4.6,27.38,-3.98,91.88
expiry_CASmodel,LateBreak_1415,186,186,52.69,0.21,41.4,45.7,28.49,42.9,25.12,33.3,29.23,47.85,2.52,38.71,2.48,68.37
expiry_CASmodel,MidBreak_1015_1200,287,283,45.99,0.15,15.68,23.69,8.71,18.87,1.34,-0.52,-2.6,39.72,-3.89,22.65,-4.01,115.27
expiry_CASmodel,ORB15,575,438,50.26,0.17,18.26,27.48,11.48,21.15,3.13,2.81,0.59,38.26,-4.89,24.52,-6.28,114.3
expiry_CASmodel,ORB30,534,431,49.06,0.16,19.48,29.96,12.92,23.84,5.93,6.23,3.83,41.01,-2.31,26.97,-2.09,105.13
expiry_CASmodel,ORB30_tight,463,372,49.24,0.16,18.79,29.16,12.53,23.53,5.53,6.84,4.42,42.12,-1.97,26.35,-1.64,104.44
expiry_CASmodel,PDH_PDL,308,283,51.3,0.18,21.1,31.49,12.01,27.29,2.55,2.77,0.53,40.58,-2.61,29.87,-2.45,113.7
expiry_CASmodel,RSI_mom,2304,441,46.92,0.15,21.22,30.82,13.02,26.18,2.53,3.48,0.76,40.1,-3.82,27.52,-3.33,88.25
expiry_CASmodel,RSI_rev,978,370,46.11,0.15,16.26,25.56,9.82,20.81,-4.94,-6.14,-8.42,35.38,-8.44,21.68,-8.0,99.78
expiry_CASmodel,RangeExp,391,243,50.64,0.24,35.04,41.43,22.51,36.25,15.66,12.54,9.72,43.22,1.12,36.32,1.94,99.16
expiry_CASmodel,SessMean_cross,2623,416,46.44,0.13,16.85,27.18,12.16,22.15,0.19,2.71,-0.08,39.92,-5.03,24.78,-4.12,87.13
