signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,19446,442,49.97,0.15,27.43,37.18,20.37,30.27,9.74,7.94,-9.89,29.7,-16.57,27.45,-5.38,40.03
BB_squeeze_break,984,366,49.49,0.15,31.81,40.65,25.0,34.69,14.93,23.4,5.94,29.88,-16.12,32.42,-1.73,33.69
EMA9x21,1309,405,46.6,0.13,28.42,35.83,22.0,27.29,15.99,19.0,-16.17,25.29,-26.22,26.97,-4.59,34.54
EMA9x21_trend,1015,370,46.8,0.14,29.36,36.65,22.36,27.14,22.89,24.35,-15.49,25.62,-26.17,27.59,-4.47,34.19
LateBreak_1415,201,201,52.24,0.21,50.75,54.73,42.29,60.77,110.2,147.91,63.77,23.88,-47.15,33.33,-2.46,9.96
MidBreak_1015_1200,287,283,45.99,0.15,24.74,31.36,15.68,23.75,2.97,-1.91,-6.98,33.45,-7.92,28.92,-5.8,64.05
ORB15,578,438,50.17,0.17,26.47,33.91,18.34,25.81,16.01,10.68,0.17,30.28,-12.72,28.37,-6.97,61.8
ORB30,537,431,49.35,0.16,29.24,38.18,19.55,31.75,21.59,17.76,5.71,32.96,-9.28,33.33,-3.26,54.12
ORB30_tight,466,372,49.36,0.16,29.18,37.77,18.67,31.55,9.72,8.2,-0.84,33.69,-8.95,33.26,-3.01,53.96
PDH_PDL,311,286,51.45,0.18,28.62,36.98,20.9,31.55,11.97,8.04,-5.12,31.83,-12.26,30.87,-3.86,62.24
RSI_mom,2373,441,47.37,0.14,32.11,40.08,24.48,31.2,19.63,21.95,-5.15,28.66,-21.75,30.8,-3.66,32.6
RSI_rev,1006,377,45.83,0.15,26.04,34.69,18.49,25.91,-8.67,-13.95,-26.58,26.34,-20.56,26.04,-5.57,44.39
RangeExp,399,246,50.88,0.24,46.62,50.63,36.59,51.98,205.14,185.07,17.86,29.32,-20.1,39.85,0.12,35.7
SessMean_cross,2685,416,46.96,0.13,26.18,36.13,20.56,26.96,30.74,29.71,-13.66,29.35,-23.5,27.19,-4.27,33.95
