,window,minutes,expiry_var_share_pct,nonexpiry_var_share_pct,expiry_var_per_min_bp,nonexpiry_var_per_min_bp,ratio_expiry_vs_non
0,09:15-09:30,15,15.13,18.03,100.88,120.22,0.84
1,09:30-09:45,15,5.58,6.53,37.23,43.55,0.85
2,09:45-10:15,30,8.01,8.95,26.68,29.83,0.89
3,10:15-11:15,60,11.0,11.93,18.34,19.89,0.92
4,11:15-12:15,60,9.89,9.58,16.48,15.97,1.03
5,12:15-13:15,60,11.55,10.71,19.26,17.85,1.08
6,13:15-14:15,60,15.15,13.89,25.25,23.15,1.09
7,14:15-15:00,45,14.65,13.25,32.55,29.44,1.11
8,15:00-15:15,15,5.94,4.49,39.58,29.9,1.32
9,15:15-15:30,15,3.1,2.64,20.66,17.59,1.17
