regime,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,09:15-10,1072,268,50.0,0.13,15.11,24.35,9.42,19.5,-4.78,-5.03,-7.6,37.03,-7.73,21.92,-3.42,41.51
expiry,10-11,2144,268,49.81,0.11,13.39,23.51,8.3,20.43,0.03,-0.24,-3.27,38.9,-5.78,21.64,-2.05,36.6
expiry,11-12,2144,268,49.95,0.11,14.23,26.17,8.63,21.89,0.27,-1.28,-4.64,39.79,-5.69,24.58,-2.25,33.92
expiry,12-13,2142,268,50.0,0.12,16.85,30.11,10.08,28.02,-1.45,-3.68,-7.3,38.05,-7.98,25.72,-2.61,30.52
expiry,13-14,2144,268,49.95,0.13,25.09,38.48,18.75,33.31,-2.71,-6.26,-10.51,35.17,-9.02,29.48,-2.4,26.43
expiry,14-15,2144,268,49.95,0.14,40.58,49.44,31.06,49.21,-4.46,-3.29,-9.67,33.35,-9.34,33.63,-1.52,19.54
non_expiry,09:15-10,3980,995,49.97,0.15,17.49,27.11,9.1,22.21,-4.41,-4.79,-7.4,36.93,-7.94,23.79,-3.38,40.64
non_expiry,10-11,7960,995,49.92,0.12,14.48,24.77,8.4,22.87,-0.16,-0.49,-3.59,39.28,-6.03,22.91,-2.17,35.96
non_expiry,11-12,7960,995,49.95,0.11,14.82,26.33,8.64,23.58,-0.23,-1.06,-4.47,40.69,-5.51,24.42,-1.76,33.05
non_expiry,12-13,7958,995,49.94,0.12,18.15,30.92,12.18,27.69,-0.57,-1.94,-5.76,37.89,-7.14,26.95,-2.17,30.09
non_expiry,13-14,7960,995,50.0,0.13,26.56,40.73,20.38,36.27,-0.67,-2.82,-7.34,35.77,-7.8,31.42,-1.96,25.88
non_expiry,14-15,7960,995,49.96,0.14,40.15,48.76,31.08,47.45,-0.81,2.76,-4.33,32.35,-10.68,32.11,-1.82,19.01
