signal,gap_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,gap<0.2%,3960,90,49.95,0.11,22.22,33.31,15.13,27.18,-1.85,-2.95,-7.54,37.45,-7.73,27.12,-2.0,26.32
BASELINE_every_bar,0.2-0.5%,4092,93,49.98,0.12,20.55,31.96,14.3,27.35,-1.99,-3.25,-7.14,36.29,-8.21,25.78,-2.5,30.15
BASELINE_every_bar,>0.5%,3738,85,49.89,0.14,21.46,32.88,15.09,27.9,-2.0,-3.23,-6.66,37.45,-6.73,26.78,-2.34,33.56
BB_squeeze_break,gap<0.2%,185,72,53.51,0.09,27.03,34.59,16.76,33.15,-1.17,-0.6,-7.73,36.76,-8.9,29.19,-1.29,21.22
BB_squeeze_break,0.2-0.5%,213,73,52.58,0.13,25.35,33.8,21.13,30.24,15.43,26.21,16.81,40.85,-8.52,27.23,-1.27,28.64
BB_squeeze_break,>0.5%,231,73,45.02,0.1,17.32,25.54,13.85,21.26,-9.93,-14.97,-19.22,29.87,-12.06,22.51,-2.65,28.28
EMA9x21_trend,gap<0.2%,196,75,51.02,0.11,26.53,34.18,16.84,31.66,-1.43,-6.13,-11.44,33.67,-8.99,28.06,-2.27,25.71
EMA9x21_trend,0.2-0.5%,203,81,52.71,0.13,33.5,40.89,21.18,35.68,1.63,-3.71,-8.97,35.96,-3.37,35.96,-1.6,28.88
EMA9x21_trend,>0.5%,174,71,47.7,0.12,22.41,29.31,17.82,27.65,-9.64,-7.12,-12.24,32.18,-10.43,26.44,-2.81,28.64
LateBreak_1415,gap<0.2%,49,49,57.14,0.15,57.14,65.31,46.94,85.71,44.13,54.83,40.17,46.94,-4.65,44.9,0.12,16.24
LateBreak_1415,0.2-0.5%,47,46,44.68,0.12,44.68,51.06,34.04,50.99,10.65,10.96,0.87,36.17,-12.85,34.04,-1.69,18.86
LateBreak_1415,>0.5%,44,44,45.45,0.08,29.55,31.82,27.27,17.22,-18.67,-11.18,-20.7,27.27,-16.14,27.27,-2.56,21.0
MidBreak_1015_1200,gap<0.2%,71,69,52.11,0.12,16.9,29.58,7.04,27.12,-1.48,2.84,-0.86,45.07,-1.08,28.17,-0.16,28.74
MidBreak_1015_1200,0.2-0.5%,69,66,53.62,0.14,20.29,30.43,10.14,19.17,2.48,-0.32,-3.13,30.43,-5.32,28.99,-2.75,37.49
MidBreak_1015_1200,>0.5%,62,61,53.23,0.15,16.13,20.97,11.29,24.49,4.32,3.4,0.49,40.32,-5.52,19.35,-2.22,36.74
ORB30,gap<0.2%,108,89,56.48,0.12,18.52,27.78,9.26,26.47,3.63,4.83,-2.92,41.67,-6.27,25.0,-2.12,28.07
ORB30,0.2-0.5%,125,93,48.8,0.13,20.0,31.2,9.6,21.99,-4.45,-1.67,-5.21,40.0,-6.3,25.6,-1.63,37.4
ORB30,>0.5%,106,82,60.38,0.17,33.96,39.62,18.87,34.25,6.75,11.04,7.74,51.89,4.28,35.85,2.01,35.8
ORB30_tight,gap<0.2%,103,84,57.28,0.12,19.42,29.13,9.71,27.04,5.24,6.07,-1.86,41.75,-5.43,26.21,-1.85,28.14
ORB30_tight,0.2-0.5%,118,87,46.61,0.12,19.49,30.51,9.32,20.09,-5.93,-2.73,-6.33,38.98,-6.62,25.42,-1.61,36.51
ORB30_tight,>0.5%,87,67,60.92,0.16,29.89,34.48,14.94,30.72,5.3,9.64,6.34,54.02,1.47,29.89,0.99,35.57
PDH_PDL,gap<0.2%,71,68,53.52,0.11,18.31,30.99,8.45,23.05,-11.41,-5.24,-9.31,40.85,-7.05,25.35,-1.92,30.71
PDH_PDL,0.2-0.5%,61,57,54.1,0.16,21.31,24.59,8.2,24.72,-1.25,-12.5,-18.41,31.15,-14.19,21.31,-3.55,39.24
PDH_PDL,>0.5%,44,40,52.27,0.15,31.82,36.36,25.0,15.12,-6.05,4.63,1.64,38.64,-3.27,34.09,-1.09,43.83
RSI_mom,gap<0.2%,528,90,50.38,0.11,27.46,37.88,18.75,31.19,0.88,4.83,-1.38,38.45,-5.52,31.63,-1.72,24.51
RSI_mom,0.2-0.5%,513,93,51.07,0.12,24.95,34.11,15.98,28.41,-0.88,-1.57,-7.31,38.99,-9.67,27.49,-2.14,28.06
RSI_mom,>0.5%,419,85,50.12,0.12,24.34,31.03,16.47,22.96,-2.56,-2.48,-7.83,33.17,-10.87,25.06,-3.09,28.33
RangeExp,gap<0.2%,85,57,48.24,0.12,35.29,43.53,23.53,40.23,1.91,-2.11,-11.61,38.82,-6.2,35.29,0.56,25.22
RangeExp,0.2-0.5%,61,44,45.9,0.16,39.34,39.34,22.95,38.87,57.44,49.99,24.35,34.43,-2.54,39.34,1.47,24.64
RangeExp,>0.5%,55,41,54.55,0.17,49.09,50.91,38.18,50.41,11.72,11.12,4.75,45.45,1.25,47.27,-0.43,23.97
SessMean_cross,gap<0.2%,458,85,51.09,0.11,25.55,37.55,18.12,33.92,-0.1,-1.53,-7.09,40.39,-6.4,30.57,-1.4,25.46
SessMean_cross,0.2-0.5%,503,86,50.3,0.11,23.06,35.59,15.11,29.65,2.2,0.36,-5.36,37.18,-4.77,30.42,-0.94,27.68
SessMean_cross,>0.5%,463,81,52.48,0.14,25.27,36.07,16.63,30.39,0.99,3.15,-3.29,38.44,-5.39,31.32,-1.21,30.69
