signal,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,09:15-10,1072,268,50.0,0.13,15.11,24.35,9.42,19.5,-4.78,-5.03,-7.6,37.03,-7.73,21.92,-3.42,41.51
BASELINE_every_bar,10-11,2144,268,49.81,0.11,13.39,23.51,8.3,20.43,0.03,-0.24,-3.27,38.9,-5.78,21.64,-2.05,36.6
BASELINE_every_bar,11-12,2144,268,49.95,0.11,14.23,26.17,8.63,21.89,0.27,-1.28,-4.64,39.79,-5.69,24.58,-2.25,33.92
BASELINE_every_bar,12-13,2142,268,50.0,0.12,16.85,30.11,10.08,28.02,-1.45,-3.68,-7.3,38.05,-7.98,25.72,-2.61,30.52
BASELINE_every_bar,13-14,2144,268,49.95,0.13,25.09,38.48,18.75,33.31,-2.71,-6.26,-10.51,35.17,-9.02,29.48,-2.4,26.43
BASELINE_every_bar,14-15,2144,268,49.95,0.14,40.58,49.44,31.06,49.21,-4.46,-3.29,-9.67,33.35,-9.34,33.63,-1.52,19.54
BB_squeeze_break,09:15-10,10,8,70.0,0.25,0.0,20.0,20.0,22.9,-4.42,12.41,10.56,50.0,0.58,20.0,8.01,49.23
BB_squeeze_break,10-11,12,10,16.67,0.03,8.33,8.33,8.33,6.67,-9.29,-4.56,-7.56,33.33,-18.45,8.33,-8.22,36.22
BB_squeeze_break,11-12,135,72,60.74,0.15,23.7,32.59,17.04,28.65,7.13,12.6,8.83,47.41,0.93,31.11,0.44,32.49
BB_squeeze_break,12-13,166,88,44.58,0.09,14.46,22.29,9.04,21.2,-5.38,-10.83,-14.51,30.12,-11.69,19.88,-3.04,29.32
BB_squeeze_break,13-14,145,90,51.72,0.12,26.21,35.86,21.38,36.96,1.86,5.65,1.1,33.79,-7.41,30.34,-2.0,24.27
BB_squeeze_break,14-15,114,74,42.98,0.08,30.7,39.47,23.68,31.93,-11.09,-5.57,-12.77,29.82,-15.44,26.32,-2.64,19.13
BB_squeeze_break,15-15:30,47,32,55.32,0.06,29.79,29.79,19.15,24.78,39.53,39.53,4.43,38.3,-29.37,25.53,-1.41,15.58
EMA9x21_trend,09:15-10,65,56,50.77,0.12,20.0,21.54,10.77,21.69,-3.98,-10.6,-12.9,30.77,-8.16,21.54,-4.73,43.05
EMA9x21_trend,10-11,61,53,49.18,0.12,13.11,24.59,8.2,18.38,-6.07,-3.43,-6.03,32.79,-10.89,19.67,-5.06,38.2
EMA9x21_trend,11-12,69,58,57.97,0.14,21.74,31.88,13.04,28.25,5.31,4.62,1.61,43.48,-0.23,31.88,-1.45,35.9
EMA9x21_trend,12-13,85,68,48.24,0.1,18.82,25.88,8.24,21.14,2.81,-0.0,-3.6,36.47,-7.65,25.88,-2.79,31.81
EMA9x21_trend,13-14,114,99,46.49,0.14,29.82,40.35,21.93,41.05,-1.72,-1.94,-6.45,31.58,-5.75,34.21,-1.23,24.53
EMA9x21_trend,14-15,113,89,54.87,0.15,43.36,51.33,34.51,51.33,-4.31,-13.04,-19.84,32.74,-6.23,37.17,-0.91,19.45
EMA9x21_trend,15-15:30,66,60,46.97,0.04,36.36,36.36,22.73,32.85,-13.93,-13.93,-27.54,31.82,-15.76,34.85,-0.94,12.78
LateBreak_1415,14-15,111,110,47.75,0.14,45.05,52.25,38.74,55.64,9.74,17.57,8.73,37.84,-7.61,36.94,-1.49,19.98
LateBreak_1415,15-15:30,29,29,55.17,0.05,41.38,41.38,27.59,17.58,26.2,26.2,4.45,34.48,-24.05,31.03,-0.72,10.51
MidBreak_1015_1200,10-11,135,134,51.85,0.12,18.52,28.15,8.89,22.25,1.2,3.14,-0.02,36.3,-4.2,25.93,-1.8,35.32
MidBreak_1015_1200,11-12,67,67,55.22,0.15,16.42,25.37,10.45,24.49,2.57,-0.51,-3.63,43.28,-3.27,25.37,-1.43,35.19
ORB30,09:15-10,98,98,48.98,0.13,24.49,28.57,8.16,26.35,-0.79,0.41,-2.47,44.9,-0.09,27.55,-0.78,37.0
ORB30,10-11,114,112,62.28,0.15,20.18,33.33,7.89,30.11,2.7,4.26,1.04,43.86,0.75,30.7,0.13,36.43
ORB30,11-12,54,53,51.85,0.14,16.67,25.93,9.26,23.8,0.23,-2.94,-6.01,44.44,-4.23,24.07,-1.07,37.49
ORB30,12-13,28,28,57.14,0.11,25.0,28.57,10.71,25.22,6.96,-13.29,-16.7,35.71,-6.01,28.57,-0.25,29.49
ORB30,13-14,13,13,46.15,0.15,30.77,38.46,30.77,30.16,-7.45,-20.85,-23.9,38.46,-14.93,23.08,-3.59,34.82
ORB30,14-15,26,26,50.0,0.18,46.15,61.54,42.31,65.67,-10.82,48.79,41.72,57.69,-5.37,38.46,-1.23,20.46
ORB30,15-15:30,6,6,66.67,0.06,33.33,33.33,33.33,8.91,81.89,81.89,-0.91,33.33,-59.4,16.67,-2.4,3.46
ORB30_tight,09:15-10,93,93,48.39,0.13,23.66,27.96,7.53,25.4,-0.93,-3.94,-6.73,44.09,-0.39,26.88,-0.66,37.01
ORB30_tight,10-11,103,101,62.14,0.14,20.39,32.04,6.8,27.85,3.68,4.17,0.91,44.66,0.46,30.1,0.29,36.03
ORB30_tight,11-12,50,49,50.0,0.14,14.0,24.0,8.0,22.71,-4.53,-2.5,-5.68,44.0,-5.3,22.0,-2.12,36.76
ORB30_tight,12-13,22,22,54.55,0.1,18.18,22.73,9.09,19.56,2.7,-15.58,-19.11,36.36,-9.52,22.73,-1.53,28.74
ORB30_tight,13-14,10,10,50.0,0.18,30.0,40.0,30.0,39.05,-5.95,-9.57,-12.37,40.0,-16.69,20.0,-5.88,36.78
ORB30_tight,14-15,24,24,50.0,0.16,41.67,58.33,37.5,54.95,-10.69,47.92,40.8,54.17,-9.47,33.33,-2.07,20.71
ORB30_tight,15-15:30,6,6,66.67,0.06,33.33,33.33,33.33,8.91,81.89,81.89,-0.91,33.33,-59.4,16.67,-2.4,3.46
PDH_PDL,09:15-10,91,91,54.95,0.12,15.38,21.98,7.69,15.26,-8.28,-9.63,-11.92,34.07,-10.35,20.88,-4.62,44.9
PDH_PDL,10-11,25,25,52.0,0.11,20.0,28.0,4.0,26.08,-0.75,-11.44,-14.65,40.0,-1.76,28.0,1.9,36.71
PDH_PDL,11-12,12,12,50.0,0.15,16.67,25.0,8.33,20.27,-5.83,-7.42,-10.73,33.33,1.9,25.0,0.19,29.87
PDH_PDL,12-13,10,10,70.0,0.15,30.0,50.0,20.0,42.44,23.56,27.64,23.06,60.0,11.35,50.0,3.28,26.95
PDH_PDL,13-14,12,12,58.33,0.15,33.33,33.33,25.0,30.63,6.62,17.56,13.7,33.33,-13.23,25.0,-2.51,27.79
PDH_PDL,14-15,16,16,43.75,0.15,43.75,56.25,31.25,56.93,-23.72,4.92,-1.0,43.75,-5.56,37.5,-1.61,19.74
PDH_PDL,15-15:30,10,10,40.0,0.07,50.0,50.0,30.0,54.82,-24.52,-24.52,-51.06,30.0,-41.27,30.0,-0.73,4.85
RSI_mom,09:15-10,102,83,50.98,0.13,9.8,21.57,2.94,16.46,-11.44,-13.1,-15.73,30.39,-11.99,17.65,-5.55,38.63
RSI_mom,10-11,182,126,48.35,0.09,12.09,18.13,5.49,19.04,-3.63,-8.02,-10.86,34.07,-8.46,17.58,-3.71,37.79
RSI_mom,11-12,218,164,56.42,0.14,20.64,29.82,8.26,27.82,4.13,-0.14,-3.48,43.58,-1.37,29.36,-1.13,33.23
