signal,or_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,OR<40%,6952,158,49.93,0.11,18.69,29.34,12.27,25.03,-3.17,-5.38,-9.49,36.38,-8.78,23.83,-2.58,28.73
BASELINE_every_bar,40-70%,4090,93,49.95,0.13,24.28,36.38,17.58,30.14,-0.74,-0.56,-4.4,37.8,-6.11,29.66,-1.9,31.21
BASELINE_every_bar,>70% of typ range,748,17,50.0,0.19,30.88,43.85,23.53,39.13,2.79,3.53,-0.03,39.17,-4.49,34.76,-1.55,34.35
BB_squeeze_break,OR<40%,421,138,47.27,0.09,19.71,25.65,13.3,22.51,0.41,-1.37,-8.71,31.83,-11.97,22.57,-2.5,26.63
BB_squeeze_break,40-70%,189,69,56.61,0.13,28.57,41.8,25.93,38.55,3.58,15.89,10.27,45.5,-5.19,32.8,-0.27,25.86
BB_squeeze_break,>70% of typ range,19,11,47.37,0.09,36.84,42.11,15.79,48.59,-3.81,-21.82,-29.71,21.05,-11.8,36.84,-0.8,21.93
EMA9x21_trend,OR<40%,339,135,48.38,0.11,24.48,30.97,16.22,26.38,-7.43,-12.29,-17.76,30.38,-9.97,27.14,-2.71,28.14
EMA9x21_trend,40-70%,202,77,54.46,0.13,34.16,41.58,22.77,39.12,5.17,6.9,1.76,41.58,-2.6,36.14,-1.11,27.1
EMA9x21_trend,>70% of typ range,32,15,50.0,0.13,21.88,37.5,18.75,35.84,-4.73,-13.07,-16.59,25.0,-11.16,28.12,-3.6,29.87
LateBreak_1415,OR<40%,93,92,47.31,0.1,37.63,44.09,27.96,39.28,16.12,14.11,0.86,33.33,-16.39,30.11,-2.19,17.59
LateBreak_1415,40-70%,39,39,53.85,0.17,58.97,64.1,56.41,125.44,11.21,45.46,36.65,46.15,-1.35,46.15,0.12,16.44
LateBreak_1415,>70% of typ range,8,8,50.0,0.14,50.0,50.0,37.5,35.6,-11.83,-46.95,-51.41,37.5,4.34,50.0,1.54,22.78
MidBreak_1015_1200,OR<40%,126,121,52.38,0.11,16.67,25.4,6.35,18.45,0.17,0.33,-2.95,36.51,-3.53,24.6,-1.81,34.21
MidBreak_1015_1200,40-70%,64,63,50.0,0.14,17.19,28.12,10.94,28.45,-2.82,0.8,-2.19,43.75,-4.47,26.56,-1.6,35.63
MidBreak_1015_1200,>70% of typ range,12,12,75.0,0.2,33.33,41.67,33.33,36.18,41.16,24.84,22.14,33.33,-4.58,33.33,-0.68,47.26
ORB30,OR<40%,208,158,54.33,0.12,21.63,29.81,8.17,24.34,0.32,3.0,-2.7,42.79,-3.55,26.44,-0.68,33.51
ORB30,40-70%,114,91,54.39,0.15,26.32,35.09,17.54,33.29,3.15,4.53,1.16,47.37,-3.72,29.82,-1.4,35.92
ORB30,>70% of typ range,17,15,64.71,0.27,35.29,52.94,29.41,51.5,7.42,20.15,16.65,41.18,8.99,47.06,4.82,32.84
ORB30_tight,OR<40%,208,158,54.33,0.12,21.63,29.81,8.17,24.34,0.32,3.0,-2.7,42.79,-3.55,26.44,-0.68,33.51
ORB30_tight,40-70%,100,80,54.0,0.15,24.0,34.0,17.0,31.6,2.35,5.17,1.76,47.0,-4.75,28.0,-1.54,35.42
PDH_PDL,OR<40%,96,91,54.17,0.12,18.75,25.0,7.29,18.69,-11.51,-12.41,-16.8,31.25,-9.76,21.88,-2.83,33.37
PDH_PDL,40-70%,71,66,50.7,0.13,23.94,32.39,15.49,21.99,-5.01,-2.1,-6.67,42.25,-8.73,29.58,-2.29,39.8
PDH_PDL,>70% of typ range,9,8,66.67,0.48,55.56,66.67,44.44,88.2,34.32,45.49,41.66,55.56,5.17,44.44,3.77,33.03
RSI_mom,OR<40%,868,158,51.04,0.11,22.81,31.57,14.75,24.71,0.2,-1.71,-7.47,36.75,-9.47,25.69,-2.56,26.39
RSI_mom,40-70%,503,93,50.3,0.12,30.02,38.37,20.68,32.18,-2.31,5.35,-0.66,37.77,-7.55,31.21,-1.85,27.25
RSI_mom,>70% of typ range,89,17,47.19,0.17,29.21,42.7,20.22,39.25,-0.77,-5.64,-10.6,37.08,-4.72,37.08,-1.68,29.47
RangeExp,OR<40%,131,87,49.62,0.16,40.46,45.04,24.43,43.6,25.48,17.37,1.9,36.64,-2.29,41.22,1.45,24.64
RangeExp,40-70%,60,46,45.0,0.14,38.33,41.67,31.67,34.8,12.65,16.74,6.05,45.0,-5.7,36.67,-1.02,25.67
RangeExp,>70% of typ range,10,9,70.0,0.13,50.0,50.0,40.0,61.47,21.36,20.12,14.8,40.0,2.89,40.0,-1.52,23.31
SessMean_cross,OR<40%,851,148,51.59,0.11,22.44,33.73,13.75,29.48,0.43,-2.9,-8.6,37.96,-5.77,29.26,-0.96,26.61
SessMean_cross,40-70%,500,88,50.4,0.13,26.4,39.4,20.2,33.07,0.48,4.87,-1.6,38.6,-5.54,32.2,-1.66,31.08
SessMean_cross,>70% of typ range,73,16,53.42,0.19,36.99,46.58,24.66,43.61,12.59,13.24,8.96,46.58,-2.03,38.36,-0.36,29.91
