signal,vol_regime,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,high,3300,75,49.94,0.16,19.3,29.79,13.12,24.81,-3.23,-5.17,-8.19,35.3,-7.69,24.48,-3.22,37.61
BASELINE_every_bar,low,4092,93,49.95,0.09,22.85,33.92,15.71,28.9,-0.59,-0.77,-5.68,37.71,-7.97,27.27,-1.82,24.75
BASELINE_every_bar,mid,4398,100,49.93,0.13,21.62,33.77,15.28,28.57,-2.24,-3.82,-7.67,37.74,-7.13,27.42,-2.01,30.49
BB_squeeze_break,high,177,66,51.41,0.15,22.03,32.2,19.21,25.62,0.57,1.02,-3.01,35.03,-8.98,25.42,-2.11,32.59
BB_squeeze_break,low,223,77,48.88,0.08,21.08,30.49,17.49,32.08,6.52,16.47,5.08,34.53,-12.64,26.01,-1.65,20.57
BB_squeeze_break,mid,229,75,50.22,0.11,25.33,30.57,15.28,23.96,-3.41,-8.03,-12.62,37.12,-8.02,26.64,-1.65,26.42
EMA9x21_trend,high,137,59,48.18,0.12,23.36,31.39,16.06,21.9,-2.69,-7.39,-10.83,32.12,-8.89,25.55,-3.96,33.78
EMA9x21_trend,low,194,77,50.52,0.1,30.93,39.18,22.16,36.91,2.97,3.21,-3.35,37.11,-5.43,33.51,-1.41,24.04
EMA9x21_trend,mid,242,91,52.07,0.13,27.69,33.88,17.36,30.93,-7.58,-11.58,-16.78,32.64,-8.22,30.58,-1.82,28.84
LateBreak_1415,high,34,34,44.12,0.17,44.12,47.06,35.29,37.33,8.66,27.11,19.56,38.24,-5.27,38.24,-1.81,24.3
LateBreak_1415,low,53,53,54.72,0.13,47.17,58.49,49.06,84.64,31.1,34.78,20.57,43.4,-12.94,37.74,-0.69,15.0
LateBreak_1415,mid,53,52,47.17,0.09,41.51,43.4,24.53,24.03,-1.91,-1.03,-12.39,30.19,-12.78,32.08,-1.66,17.87
MidBreak_1015_1200,high,60,58,45.0,0.15,16.67,26.67,8.33,16.7,3.38,1.45,-0.97,40.0,-3.51,25.0,-2.54,46.65
MidBreak_1015_1200,low,66,63,57.58,0.1,15.15,28.79,12.12,25.88,-0.03,7.52,3.38,40.91,-5.13,27.27,-1.85,28.44
MidBreak_1015_1200,mid,76,75,55.26,0.13,21.05,26.32,7.89,28.84,1.76,-2.54,-5.41,35.53,-3.12,25.0,-0.85,37.84
ORB30,high,93,74,50.54,0.19,22.58,32.26,11.83,25.86,4.94,8.85,6.2,46.24,-0.55,26.88,-0.45,46.65
ORB30,low,118,92,52.54,0.09,22.03,32.2,14.41,25.2,0.19,5.17,-2.71,42.37,-6.04,27.97,-1.33,28.74
ORB30,mid,128,98,60.16,0.15,26.56,33.59,10.94,32.85,0.54,0.39,-3.15,44.53,-1.92,30.47,-0.16,35.1
ORB30_tight,high,85,67,50.59,0.17,20.0,29.41,9.41,23.28,3.58,6.38,3.74,47.06,-1.33,24.71,-0.66,46.08
ORB30_tight,low,110,85,51.82,0.09,21.82,31.82,14.55,23.02,1.14,6.14,-2.05,42.73,-6.9,27.27,-1.77,28.45
ORB30_tight,mid,113,86,59.29,0.14,24.78,31.86,8.85,30.16,-1.14,-0.68,-4.24,43.36,-3.03,28.32,-0.39,34.85
PDH_PDL,high,42,40,57.14,0.23,28.57,40.48,16.67,37.99,2.37,10.88,7.76,47.62,2.32,35.71,1.34,47.99
PDH_PDL,low,70,65,52.86,0.09,21.43,31.43,10.0,22.02,-10.2,-11.32,-17.54,37.14,-10.01,27.14,-1.7,30.92
PDH_PDL,mid,64,60,51.56,0.13,20.31,21.88,12.5,15.44,-8.4,-9.3,-12.65,29.69,-14.16,18.75,-5.29,37.99
RSI_mom,high,402,75,51.24,0.16,23.88,32.34,17.41,23.71,-1.2,-0.68,-4.21,37.31,-6.75,26.87,-3.17,33.32
RSI_mom,low,512,93,54.1,0.1,28.91,40.43,18.55,35.15,3.77,10.62,3.38,41.6,-5.56,33.79,-0.64,22.63
RSI_mom,mid,546,100,46.7,0.11,23.99,30.77,15.57,27.42,-4.59,-8.16,-14.28,32.78,-12.59,24.18,-3.11,26.27
RangeExp,high,48,37,47.92,0.17,33.33,39.58,25.0,32.43,-7.14,-12.67,-16.09,33.33,-1.87,37.5,-0.24,29.05
RangeExp,low,78,53,48.72,0.11,41.03,46.15,28.21,45.31,54.35,40.24,14.69,38.46,-6.9,38.46,0.31,23.2
RangeExp,mid,75,52,50.67,0.17,44.0,45.33,28.0,39.25,5.52,12.68,5.16,44.0,0.19,42.67,1.35,23.8
SessMean_cross,high,370,71,50.81,0.14,23.24,32.97,16.22,29.03,-2.18,-3.14,-6.79,38.38,-6.21,27.3,-2.3,37.66
SessMean_cross,low,453,84,51.88,0.1,25.83,37.09,17.0,31.94,8.0,8.73,1.0,39.74,-4.94,31.79,-0.61,23.85
SessMean_cross,mid,601,97,51.08,0.13,24.46,37.94,16.47,32.11,-2.16,-3.09,-9.0,37.94,-5.48,32.11,-0.91,28.19
