signal,year,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,2019,2022,46,49.8,0.12,21.32,34.22,15.88,28.27,-0.6,-1.72,-7.22,37.73,-8.3,27.5,-1.73,22.23
BASELINE_every_bar,2020,2332,53,50.0,0.16,19.73,29.97,13.21,25.1,-3.62,-6.07,-9.84,36.19,-8.53,24.14,-2.86,29.71
BASELINE_every_bar,2021,2288,52,49.87,0.12,19.71,31.69,12.89,28.14,-3.05,-5.62,-9.13,37.19,-7.5,25.66,-2.47,32.44
BASELINE_every_bar,2022,2288,52,50.0,0.13,22.86,34.4,15.82,29.88,-0.08,2.32,-1.16,39.07,-5.61,28.41,-1.83,36.11
BASELINE_every_bar,2023,2288,52,50.0,0.09,24.04,34.97,16.87,28.24,-1.59,-3.44,-7.62,36.93,-7.14,28.58,-1.89,27.7
BASELINE_every_bar,2024,572,13,50.0,0.1,18.88,26.75,13.29,21.07,-4.4,-6.95,-9.64,29.9,-11.06,20.98,-4.45,40.71
LateBreak_1415,2019,27,26,44.44,0.18,59.26,62.96,40.74,73.55,54.39,59.12,40.3,44.44,-11.76,37.04,-0.63,13.67
LateBreak_1415,2020,26,26,50.0,0.09,46.15,50.0,26.92,49.68,-17.81,-11.62,-17.04,42.31,5.69,50.0,0.83,23.49
LateBreak_1415,2021,31,31,45.16,0.08,32.26,32.26,19.35,17.81,-30.46,-29.18,-42.31,19.35,-24.32,22.58,-3.4,20.78
LateBreak_1415,2022,30,30,46.67,0.11,33.33,40.0,30.0,34.18,18.02,49.09,39.94,30.0,-12.16,33.33,-1.47,16.25
LateBreak_1415,2023,24,24,62.5,0.17,54.17,70.83,70.83,123.85,41.29,25.31,14.22,54.17,-11.04,37.5,-1.69,13.9
LateBreak_1415,2024,2,2,50.0,0.26,50.0,50.0,50.0,189.54,124.33,120.06,112.74,50.0,5.58,50.0,-0.31,24.84
ORB30,2019,57,46,54.39,0.14,22.81,42.11,8.77,37.03,-0.64,8.72,3.88,42.11,0.19,33.33,0.59,25.01
ORB30,2020,67,53,46.27,0.15,22.39,28.36,10.45,23.19,-2.69,1.84,-1.75,46.27,-1.48,25.37,0.36,32.3
ORB30,2021,65,51,67.69,0.15,20.0,30.77,15.38,27.49,3.53,11.79,8.22,50.77,-3.16,29.23,-1.2,34.85
ORB30,2022,68,52,55.88,0.15,25.0,27.94,11.76,27.72,-0.05,-10.5,-13.72,42.65,-4.21,26.47,-0.88,42.83
ORB30,2023,64,50,53.12,0.11,26.56,34.38,15.62,29.28,7.36,5.82,-3.83,37.5,-7.34,28.12,-2.44,31.14
ORB30,2024,18,12,44.44,0.14,33.33,38.89,11.11,22.67,3.91,24.4,21.85,50.0,2.26,33.33,0.95,51.46
RangeExp,2019,45,32,31.11,0.11,31.11,35.56,20.0,27.27,-28.91,-31.06,-39.23,22.22,-13.98,31.11,-1.35,20.22
RangeExp,2020,35,28,48.57,0.16,37.14,40.0,25.71,45.02,-7.57,-17.63,-22.12,34.29,-2.94,37.14,-1.49,23.69
RangeExp,2021,34,22,50.0,0.12,35.29,38.24,26.47,34.28,-0.35,6.08,1.98,38.24,-0.99,35.29,0.93,28.72
RangeExp,2022,33,24,63.64,0.25,63.64,63.64,45.45,93.62,154.79,123.84,78.37,54.55,8.75,60.61,4.28,26.55
RangeExp,2023,44,29,56.82,0.12,38.64,47.73,22.73,45.39,16.77,20.84,8.76,47.73,-3.02,38.64,1.24,26.11
RangeExp,2024,10,7,50.0,0.24,40.0,40.0,30.0,32.03,4.27,28.58,26.07,50.0,-0.37,40.0,-0.09,63.7
