regime,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,BASELINE_every_bar,11790,268,49.94,0.12,21.4,32.71,14.83,27.53,-1.95,-3.14,-7.13,37.05,-7.58,26.55,-2.28,29.85
expiry,BB_squeeze_break,629,218,50.08,0.11,22.89,31.0,17.17,26.94,1.23,3.2,-3.64,35.61,-9.93,26.07,-1.78,26.11
expiry,EMA9x21,741,246,49.8,0.12,26.32,35.09,17.68,30.24,-2.31,-4.51,-9.63,34.55,-7.86,29.82,-2.3,28.22
expiry,EMA9x21_trend,573,227,50.61,0.12,27.75,35.08,18.67,31.0,-2.84,-5.57,-10.81,34.03,-7.44,30.37,-2.2,28.07
expiry,LateBreak_1415,140,139,49.29,0.12,44.29,50.0,36.43,49.73,13.15,19.36,7.85,37.14,-11.01,35.71,-1.33,17.95
expiry,MidBreak_1015_1200,202,196,52.97,0.13,17.82,27.23,9.41,23.03,1.66,1.93,-1.22,38.61,-3.89,25.74,-1.68,35.28
expiry,ORB15,373,266,52.01,0.13,19.84,29.22,10.19,21.08,-3.67,-2.18,-6.4,38.61,-7.12,24.4,-2.87,39.05
expiry,ORB30,339,264,54.87,0.14,23.89,32.74,12.39,27.85,1.62,4.38,-0.43,44.25,-2.98,28.61,-0.65,34.71
expiry,ORB30_tight,308,238,54.22,0.13,22.4,31.17,11.04,27.44,0.98,3.71,-1.26,44.16,-3.94,26.95,-0.96,34.44
expiry,PDH_PDL,176,165,53.41,0.12,22.73,30.11,12.5,23.18,-6.55,-5.29,-9.72,36.93,-8.58,26.14,-2.28,35.63
expiry,RSI_mom,1460,268,50.55,0.12,25.68,34.59,17.12,28.29,-0.72,0.48,-5.31,37.12,-8.52,28.29,-2.26,26.7
expiry,RSI_rev,651,222,46.39,0.11,21.2,30.72,14.29,22.7,-4.25,-7.0,-11.73,31.18,-11.57,23.66,-3.26,30.45
expiry,RangeExp,201,142,49.25,0.15,40.3,44.28,27.36,40.23,21.45,17.32,3.78,39.3,-3.05,39.8,0.56,25.01
expiry,SessMean_cross,1424,252,51.26,0.12,24.58,36.38,16.57,30.99,1.07,0.66,-5.24,38.62,-5.5,30.76,-1.17,27.96
