signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,11790,268,49.94,0.12,29.17,38.72,21.94,31.58,11.84,13.59,-17.78,28.71,-22.86,28.33,-1.9,10.64
BB_squeeze_break,629,218,50.08,0.11,30.68,37.04,22.73,30.16,-0.63,11.54,-17.78,25.44,-33.49,27.98,-1.44,7.54
EMA9x21,741,246,49.8,0.12,31.98,39.27,24.97,29.3,-4.23,-6.62,-35.38,23.35,-32.86,30.09,-1.67,9.39
EMA9x21_trend,573,227,50.61,0.12,34.38,40.14,26.0,29.73,-3.56,-8.46,-39.32,21.99,-33.39,31.59,-1.62,9.23
LateBreak_1415,140,139,49.29,0.12,41.43,43.57,34.29,22.3,371.52,371.95,1.87,12.14,-67.64,32.86,-1.34,1.89
MidBreak_1015_1200,202,196,52.97,0.13,29.21,40.1,20.79,28.83,2.31,2.22,-6.71,33.17,-8.73,34.16,-1.24,15.65
ORB15,373,266,52.01,0.13,27.35,35.92,17.43,23.6,-8.49,-0.95,-12.85,30.29,-17.54,26.81,-2.93,18.7
ORB30,339,264,54.87,0.14,31.27,40.71,22.71,32.11,-0.06,7.85,-6.89,34.81,-14.64,32.45,-1.18,14.47
ORB30_tight,308,238,54.22,0.13,30.19,39.29,21.1,29.54,-0.66,7.4,-7.91,35.06,-15.8,31.17,-1.35,14.0
PDH_PDL,176,165,53.41,0.12,28.41,32.95,15.91,21.06,-5.15,-9.19,-27.73,26.14,-25.18,25.0,-2.3,16.15
RSI_mom,1460,268,50.55,0.12,31.58,38.9,23.84,29.54,97.81,101.21,-16.45,25.82,-33.6,29.25,-1.81,8.09
RSI_rev,651,222,46.39,0.11,27.04,34.56,20.28,23.01,10.22,4.8,-25.07,22.89,-28.58,25.35,-2.31,10.89
RangeExp,201,142,49.25,0.15,45.77,48.76,33.33,44.76,162.58,150.18,-17.69,21.39,-37.67,41.29,-0.27,6.88
SessMean_cross,1424,252,51.26,0.12,31.74,41.36,25.21,34.49,4.69,-0.33,-26.28,29.0,-27.32,31.18,-1.4,9.44
