,window,minutes,expiry_var_share_pct,nonexpiry_var_share_pct,expiry_var_per_min_bp,nonexpiry_var_per_min_bp,ratio_expiry_vs_non
0,09:15-09:30,15,14.12,17.11,94.15,114.05,0.83
1,09:30-09:45,15,6.16,6.65,41.04,44.34,0.93
2,09:45-10:15,30,8.49,9.23,28.29,30.77,0.92
3,10:15-11:15,60,11.7,12.13,19.51,20.22,0.97
4,11:15-12:15,60,10.2,9.49,17.0,15.81,1.08
5,12:15-13:15,60,11.57,10.43,19.28,17.38,1.11
6,13:15-14:15,60,14.95,13.77,24.91,22.95,1.09
7,14:15-15:00,45,14.12,13.52,31.38,30.05,1.04
8,15:00-15:15,15,6.21,5.31,41.42,35.37,1.17
9,15:15-15:30,15,2.48,2.37,16.53,15.8,1.05
