,window,minutes,expiry_var_share_pct,nonexpiry_var_share_pct,expiry_var_per_min_bp,nonexpiry_var_per_min_bp,ratio_expiry_vs_non
0,09:15-09:30,15,28.48,21.81,189.89,145.4,1.31
1,09:30-09:45,15,6.21,6.2,41.4,41.32,1.0
2,09:45-10:15,30,7.97,8.89,26.56,29.63,0.9
3,10:15-11:15,60,11.34,12.59,18.9,20.99,0.9
4,11:15-12:15,60,8.41,10.39,14.01,17.31,0.81
5,12:15-13:15,60,8.97,10.88,14.96,18.13,0.82
6,13:15-14:15,60,10.7,11.76,17.84,19.6,0.91
7,14:15-15:00,45,9.55,10.62,21.22,23.59,0.9
8,15:00-15:15,15,5.79,4.53,38.61,30.17,1.28
9,15:15-15:30,15,2.57,2.35,17.16,15.65,1.1
