regime,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,09:15-10,180,45,50.0,0.13,21.11,32.22,10.0,31.15,1.43,0.65,-0.84,43.33,-4.74,25.56,-7.06,135.11
expiry,10-11,360,45,50.0,0.1,15.0,26.39,8.61,24.54,0.98,1.54,-0.06,42.22,-2.61,25.56,-4.68,127.87
expiry,11-12,360,45,50.0,0.08,16.11,27.78,6.39,26.77,2.11,1.4,-0.34,43.33,-2.64,25.83,-5.76,119.07
expiry,12-13,360,45,50.0,0.09,15.56,28.06,6.94,29.33,1.17,-1.95,-3.77,43.06,-4.46,25.56,-7.83,112.83
expiry,13-14,360,45,50.0,0.1,22.5,34.72,12.5,33.2,-1.39,-6.42,-8.43,34.72,-7.88,27.5,-10.7,102.0
expiry,14-15,360,45,50.0,0.12,33.33,42.78,22.22,39.42,-13.11,-26.56,-28.82,25.0,-7.65,30.83,-7.35,83.91
non_expiry,09:15-10,680,170,50.0,0.12,20.59,30.0,12.06,27.16,-3.34,-2.91,-4.55,39.71,-7.18,25.44,-9.61,121.63
non_expiry,10-11,1360,170,50.0,0.09,18.24,29.93,12.65,25.19,1.15,2.01,0.07,40.15,-3.41,27.72,-4.0,106.35
non_expiry,11-12,1360,170,50.0,0.08,17.28,28.24,10.88,24.17,0.2,-0.26,-2.39,38.82,-5.11,25.59,-6.14,96.83
non_expiry,12-13,1358,170,50.0,0.08,17.6,28.79,12.08,27.2,-0.98,-2.68,-5.03,38.07,-5.94,25.41,-5.59,86.5
non_expiry,13-14,1360,170,50.0,0.08,24.41,37.87,18.53,35.15,-0.89,-2.12,-4.83,35.81,-6.94,30.0,-5.55,76.27
non_expiry,14-15,1360,170,50.0,0.1,39.34,48.6,31.47,47.25,-0.71,3.6,-0.13,34.19,-6.61,33.6,-3.66,60.68
