signal,gap_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,gap<0.2%,792,18,50.0,0.09,20.71,31.69,12.63,29.47,-2.12,-5.55,-7.46,39.52,-4.66,27.02,-6.24,107.59
BASELINE_every_bar,0.2-0.5%,1012,23,50.0,0.1,20.85,32.41,10.38,30.13,-1.27,-5.22,-7.08,37.65,-5.31,26.98,-7.74,111.32
BASELINE_every_bar,>0.5%,176,4,50.0,0.13,18.18,30.68,9.66,30.99,-2.62,-9.77,-11.3,35.23,-5.01,26.14,-8.91,128.22
BB_squeeze_break,gap<0.2%,53,16,52.83,0.09,24.53,32.08,9.43,25.24,9.06,-7.98,-10.13,43.4,-6.59,26.42,-9.12,106.46
BB_squeeze_break,0.2-0.5%,50,19,54.0,0.11,34.0,44.0,10.0,42.84,2.64,-15.43,-17.6,36.0,-0.16,38.0,1.88,98.83
BB_squeeze_break,>0.5%,7,3,28.57,0.07,14.29,14.29,0.0,20.62,-2.4,-46.74,-47.96,0.0,-16.65,14.29,-14.98,123.12
EMA9x21_trend,gap<0.2%,45,16,55.56,0.08,26.67,33.33,13.33,25.68,-2.39,-9.51,-11.86,35.56,-9.77,24.44,-10.8,103.61
EMA9x21_trend,0.2-0.5%,40,16,47.5,0.07,20.0,25.0,10.0,19.01,-18.48,-35.66,-37.49,20.0,-17.66,15.0,-17.85,109.75
EMA9x21_trend,>0.5%,11,3,54.55,0.08,27.27,27.27,27.27,20.79,-13.35,-41.58,-43.75,18.18,-9.32,27.27,-10.7,110.04
LateBreak_1415,gap<0.2%,10,10,30.0,0.04,20.0,20.0,20.0,6.33,-22.78,-54.27,-56.93,20.0,-17.58,20.0,-9.35,52.81
LateBreak_1415,0.2-0.5%,9,9,33.33,0.05,44.44,44.44,44.44,17.55,77.54,59.47,52.31,33.33,-8.6,33.33,-14.1,73.57
LateBreak_1415,>0.5%,2,2,50.0,0.16,50.0,50.0,0.0,62.44,-41.86,-96.96,-98.36,0.0,6.83,50.0,-11.47,94.85
MidBreak_1015_1200,gap<0.2%,9,9,33.33,0.05,22.22,33.33,0.0,21.68,-4.14,5.81,4.12,55.56,9.27,33.33,25.8,122.07
MidBreak_1015_1200,0.2-0.5%,17,16,29.41,0.07,11.76,29.41,5.88,28.26,-2.61,-3.86,-5.42,52.94,-2.65,23.53,0.67,120.53
MidBreak_1015_1200,>0.5%,4,4,25.0,0.09,0.0,0.0,0.0,15.74,-23.96,-5.26,-6.6,25.0,-10.75,0.0,-21.04,145.92
ORB30,gap<0.2%,22,18,40.91,0.08,13.64,18.18,4.55,23.69,-3.88,-6.76,-8.36,36.36,-6.57,18.18,-6.69,116.2
ORB30,0.2-0.5%,27,22,44.44,0.09,22.22,33.33,14.81,26.95,15.43,2.37,0.07,40.74,-2.67,29.63,-4.97,122.56
ORB30,>0.5%,4,4,25.0,0.11,0.0,0.0,0.0,40.94,2.44,6.82,5.44,50.0,-1.4,0.0,-0.46,141.47
ORB30_tight,gap<0.2%,20,16,40.0,0.07,15.0,20.0,5.0,22.64,-4.65,-6.41,-8.02,40.0,-5.38,20.0,-5.33,116.2
ORB30_tight,0.2-0.5%,19,15,42.11,0.08,26.32,26.32,15.79,19.51,16.63,4.9,2.35,36.84,-5.62,26.32,-12.78,123.34
ORB30_tight,>0.5%,3,3,33.33,0.11,0.0,0.0,0.0,44.02,10.94,-0.52,-1.7,33.33,-10.83,0.0,-11.09,159.09
PDH_PDL,gap<0.2%,14,14,78.57,0.17,21.43,28.57,14.29,38.5,6.01,-3.97,-5.68,50.0,7.66,28.57,7.46,123.13
PDH_PDL,0.2-0.5%,7,6,42.86,0.11,28.57,28.57,28.57,17.15,-1.72,5.6,1.91,57.14,-14.79,14.29,-23.81,118.32
PDH_PDL,>0.5%,5,4,0.0,0.07,20.0,20.0,0.0,34.11,-8.57,-23.37,-24.74,20.0,-3.15,20.0,1.26,117.92
RSI_mom,gap<0.2%,91,18,46.15,0.09,19.78,28.57,7.69,29.22,-5.47,-21.09,-23.35,31.87,-7.01,27.47,-9.71,102.76
RSI_mom,0.2-0.5%,124,23,47.58,0.09,27.42,32.26,12.9,28.98,2.76,-0.21,-2.56,43.55,-2.42,29.03,-2.91,106.75
RSI_mom,>0.5%,20,4,50.0,0.11,15.0,25.0,5.0,23.63,-10.73,-44.01,-45.25,10.0,-13.43,20.0,-19.83,122.0
RangeExp,gap<0.2%,19,11,42.11,0.09,15.79,15.79,5.26,26.38,-27.67,-29.73,-31.33,21.05,-14.64,15.79,-18.04,120.12
RangeExp,0.2-0.5%,14,11,57.14,0.16,57.14,57.14,35.71,79.31,44.69,35.88,32.24,50.0,7.61,50.0,5.33,99.0
RangeExp,>0.5%,4,3,25.0,0.03,0.0,25.0,25.0,6.92,-35.56,-35.72,-37.35,25.0,-11.91,25.0,-15.9,111.71
SessMean_cross,gap<0.2%,111,16,44.14,0.09,28.83,37.84,11.71,27.18,-4.28,-3.21,-5.41,43.24,-4.55,28.83,-4.46,99.18
SessMean_cross,0.2-0.5%,137,21,45.99,0.09,24.82,34.31,13.14,29.13,-5.72,-13.72,-15.67,36.5,-6.15,27.74,-6.03,113.18
SessMean_cross,>0.5%,20,3,45.0,0.08,20.0,30.0,10.0,24.84,-15.69,-23.16,-24.79,30.0,-7.75,30.0,-10.6,120.24
