signal,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,09:15-10,180,45,50.0,0.13,21.11,32.22,10.0,31.15,1.43,0.65,-0.84,43.33,-4.74,25.56,-7.06,135.11
BASELINE_every_bar,10-11,360,45,50.0,0.1,15.0,26.39,8.61,24.54,0.98,1.54,-0.06,42.22,-2.61,25.56,-4.68,127.87
BASELINE_every_bar,11-12,360,45,50.0,0.08,16.11,27.78,6.39,26.77,2.11,1.4,-0.34,43.33,-2.64,25.83,-5.76,119.07
BASELINE_every_bar,12-13,360,45,50.0,0.09,15.56,28.06,6.94,29.33,1.17,-1.95,-3.77,43.06,-4.46,25.56,-7.83,112.83
BASELINE_every_bar,13-14,360,45,50.0,0.1,22.5,34.72,12.5,33.2,-1.39,-6.42,-8.43,34.72,-7.88,27.5,-10.7,102.0
BASELINE_every_bar,14-15,360,45,50.0,0.12,33.33,42.78,22.22,39.42,-13.11,-26.56,-28.82,25.0,-7.65,30.83,-7.35,83.91
BB_squeeze_break,09:15-10,4,3,75.0,0.25,50.0,50.0,0.0,54.53,26.7,8.64,7.52,75.0,27.84,50.0,54.08,193.59
BB_squeeze_break,10-11,1,1,0.0,0.08,0.0,0.0,0.0,21.83,-25.61,-49.19,-49.87,0.0,-30.76,0.0,-68.49,221.63
BB_squeeze_break,11-12,22,14,63.64,0.09,22.73,45.45,4.55,41.93,14.78,17.4,15.5,63.64,15.49,45.45,20.49,110.2
BB_squeeze_break,12-13,15,11,26.67,0.05,33.33,40.0,0.0,23.24,-0.16,-2.38,-4.18,73.33,0.15,40.0,-4.03,119.64
BB_squeeze_break,13-14,32,19,53.12,0.09,21.88,25.0,3.12,24.21,-1.52,-31.3,-32.96,15.62,-11.26,25.0,-16.58,107.12
BB_squeeze_break,14-15,31,19,51.61,0.09,29.03,35.48,16.13,31.71,-6.0,-41.25,-43.72,16.13,-17.06,19.35,-16.11,81.42
BB_squeeze_break,15-15:30,5,3,60.0,0.17,60.0,60.0,60.0,145.7,85.23,85.23,79.7,60.0,-1.69,40.0,-0.48,53.69
EMA9x21_trend,09:15-10,10,7,30.0,0.06,20.0,20.0,0.0,17.13,-14.52,-18.29,-19.58,30.0,-14.55,20.0,-21.74,140.46
EMA9x21_trend,10-11,9,7,55.56,0.06,22.22,22.22,11.11,22.07,9.88,-6.08,-7.49,11.11,-9.92,22.22,-21.58,134.49
EMA9x21_trend,11-12,6,6,50.0,0.05,0.0,0.0,0.0,9.4,-10.89,-12.81,-14.35,33.33,-17.46,0.0,-27.65,118.43
EMA9x21_trend,12-13,12,11,75.0,0.09,25.0,25.0,0.0,24.16,-3.76,-9.88,-11.46,50.0,-7.62,25.0,-0.54,116.44
EMA9x21_trend,13-14,19,15,42.11,0.07,10.53,26.32,15.79,27.9,-10.43,-15.15,-17.29,31.58,-19.69,10.53,-21.61,106.46
EMA9x21_trend,14-15,25,22,60.0,0.1,28.0,36.0,12.0,39.46,-20.41,-58.89,-60.48,8.0,-12.85,24.0,-9.98,96.72
EMA9x21_trend,15-15:30,15,12,46.67,0.05,46.67,46.67,40.0,26.16,-7.91,-7.91,-12.5,40.0,-8.14,33.33,-4.92,38.04
LateBreak_1415,14-15,15,15,33.33,0.05,33.33,33.33,26.67,16.9,21.49,-17.69,-21.16,20.0,-11.76,26.67,-13.24,73.57
LateBreak_1415,15-15:30,6,6,33.33,0.06,33.33,33.33,33.33,25.03,10.66,10.66,3.69,33.33,-10.51,33.33,-7.46,34.02
MidBreak_1015_1200,10-11,17,17,17.65,0.05,5.88,17.65,0.0,13.7,-18.02,-16.09,-17.52,35.29,-9.05,17.65,-7.27,129.71
MidBreak_1015_1200,11-12,13,13,46.15,0.11,23.08,38.46,7.69,37.87,9.91,18.39,16.64,69.23,11.48,30.77,21.77,120.53
ORB30,09:15-10,19,19,47.37,0.1,15.79,21.05,5.26,33.02,8.07,-3.19,-4.68,42.11,-2.53,21.05,-2.8,123.84
ORB30,10-11,14,13,28.57,0.06,7.14,14.29,0.0,16.98,-17.18,-16.78,-18.15,28.57,-13.61,14.29,-16.1,143.0
ORB30,11-12,10,10,40.0,0.11,20.0,40.0,20.0,33.06,17.29,21.67,19.71,70.0,10.17,30.0,16.95,112.81
ORB30,12-13,2,2,0.0,0.06,0.0,0.0,0.0,16.13,-19.69,-42.35,-43.94,0.0,-31.72,0.0,-31.76,99.19
ORB30,13-14,2,2,100.0,0.14,0.0,0.0,0.0,15.65,-1.87,-26.3,-27.61,0.0,-31.29,0.0,-41.38,131.25
ORB30,14-15,5,5,40.0,0.08,40.0,40.0,20.0,23.6,-21.67,-49.61,-51.14,20.0,0.02,40.0,-7.79,113.44
ORB30,15-15:30,1,1,100.0,0.28,100.0,100.0,100.0,479.71,406.9,406.9,384.54,100.0,40.79,100.0,11.07,26.14
ORB30_tight,09:15-10,15,15,53.33,0.11,20.0,20.0,6.67,38.12,8.69,3.09,1.61,53.33,-1.81,20.0,-1.47,126.15
ORB30_tight,10-11,14,13,28.57,0.06,7.14,14.29,0.0,16.98,-17.18,-16.78,-18.15,28.57,-13.61,14.29,-16.1,143.0
ORB30_tight,11-12,5,5,20.0,0.05,20.0,20.0,20.0,20.62,16.63,15.72,13.65,40.0,-1.45,20.0,-6.26,109.56
ORB30_tight,12-13,1,1,0.0,0.03,0.0,0.0,0.0,9.7,-1.17,-37.02,-38.48,0.0,-31.52,0.0,-35.21,110.69
ORB30_tight,13-14,1,1,100.0,0.12,0.0,0.0,0.0,20.61,-14.43,-48.5,-49.66,0.0,-31.3,0.0,-40.82,129.4
ORB30_tight,14-15,5,5,40.0,0.08,40.0,40.0,20.0,23.6,-21.67,-49.61,-51.14,20.0,0.02,40.0,-7.79,113.44
ORB30_tight,15-15:30,1,1,100.0,0.28,100.0,100.0,100.0,479.71,406.9,406.9,384.54,100.0,40.79,100.0,11.07,26.14
PDH_PDL,09:15-10,15,15,53.33,0.15,20.0,20.0,6.67,31.41,0.81,-4.2,-5.53,46.67,0.56,20.0,1.09,160.03
PDH_PDL,10-11,2,2,50.0,0.05,0.0,0.0,0.0,7.9,-18.88,-37.55,-38.76,0.0,-31.26,0.0,-42.31,134.37
PDH_PDL,11-12,3,3,0.0,0.07,0.0,0.0,0.0,34.11,-7.43,8.05,6.03,66.67,3.84,0.0,5.06,98.85
PDH_PDL,13-14,3,3,66.67,0.09,0.0,33.33,0.0,37.73,-10.06,-11.92,-13.57,33.33,-5.06,33.33,-7.12,114.32
PDH_PDL,14-15,1,1,100.0,0.25,100.0,100.0,100.0,365.48,-7.63,-98.37,-102.28,0.0,40.4,100.0,10.52,25.04
PDH_PDL,15-15:30,2,2,100.0,0.15,100.0,100.0,100.0,188.9,57.45,57.45,47.79,100.0,2.65,50.0,4.03,28.26
RSI_mom,09:15-10,15,13,53.33,0.16,26.67,40.0,6.67,37.63,15.87,10.78,9.15,60.0,1.21,33.33,5.55,118.96
RSI_mom,10-11,31,24,45.16,0.1,29.03,32.26,9.68,28.31,3.2,2.21,0.46,45.16,-0.29,32.26,-4.35,121.72
RSI_mom,11-12,35,24,54.29,0.07,8.57,14.29,5.71,28.26,0.58,-6.81,-8.32,31.43,-6.33,14.29,-9.92,132.35
